admitidos,año,codigo snies del programa,id genero,semestre
88,2014,1,2,1
51,2014,2,2,1
51,2014,3,1,1
29,2014,4,2,1
49,2014,5,1,1
29,2014,6,1,1
47,2014,7,2,1
131,2014,9,1,1
44,2014,10,1,1
52,2014,11,2,1
46,2014,12,1,1
45,2014,13,2,1
83,2014,14,2,1
47,2014,15,1,1
57,2014,16,2,1
80,2014,17,2,1
87,2014,18,1,1
74,2014,19,1,1
44,2014,20,2,1
56,2014,21,2,1
17,2014,22,2,1
84,2014,23,2,1
69,2014,24,1,1
116,2014,25,2,1
95,2014,26,1,1
72,2014,27,2,1
84,2014,28,1,1
136,2014,29,1,1
74,2014,30,2,1
62,2014,31,2,1
58,2014,32,1,1
69,2014,33,2,1
41,2014,34,2,1
46,2014,35,2,1
70,2014,36,1,1
73,2014,37,1,1
5,2014,38,1,1
1,2014,39,2,1
1,2014,40,2,1
3,2014,41,2,1
2,2014,45,1,1
8,2014,46,2,1
4,2014,47,2,1
6,2014,48,2,1
1,2014,49,1,1
1,2014,50,2,1
5,2014,51,2,1
3,2014,52,1,1
2,2014,53,1,1
10,2014,55,2,1
6,2014,57,2,1
4,2014,58,2,1
2,2014,59,1,1
2,2014,60,1,1
2,2014,61,2,1
2,2014,63,2,1
4,2014,64,1,1
1,2014,65,1,1
1,2014,66,1,1
2,2014,67,2,1
11,2014,79,1,1
6,2014,86,2,1
6,2014,87,2,1
15,2014,88,2,1
23,2014,89,1,1
25,2014,90,2,1
5,2014,92,1,1
8,2014,96,2,1
4,2014,98,1,1
22,2014,104,2,1
28,2014,105,2,1
26,2014,106,2,1
6,2014,107,1,1
15,2014,108,1,1
11,2014,109,2,1
2,2014,110,1,1
6,2014,111,1,1
5,2014,112,1,1
46,2014,113,1,1
48,2014,114,1,1
47,2014,115,2,1
68,2014,116,2,1
96,2014,117,2,1
72,2014,118,2,1
57,2014,119,2,1
70,2014,120,1,1
86,2014,121,2,1
75,2014,122,2,1
90,2014,123,2,1
72,2014,124,2,1
81,2014,125,2,1
74,2014,126,2,1
57,2014,127,2,1
35,2014,128,2,1
35,2014,129,1,1
6,2014,132,2,1
17,2014,134,2,1
13,2014,136,1,1
10,2014,137,2,1
22,2014,139,1,1
15,2014,140,2,1
9,2014,141,1,1
7,2014,142,2,1
69,2014,143,1,1
44,2014,144,2,1
72,2014,146,2,1
72,2014,147,2,1
62,2014,149,2,1
79,2014,150,2,1
92,2014,151,1,1
57,2014,153,2,1
50,2014,154,2,1
70,2014,155,1,1
72,2014,156,2,1
80,2014,157,2,1
71,2014,158,2,1
71,2014,159,2,1
41,2014,161,2,1
1,2014,165,2,1
80,2014,170,2,1
22,2014,172,2,1
17,2014,173,2,1
17,2014,174,1,1
45,2014,175,2,1
44,2014,176,1,1
69,2014,177,2,1
52,2014,178,1,1
49,2014,180,2,1
49,2014,181,1,1
46,2014,182,1,1
54,2014,188,2,1
125,2014,189,2,1
54,2014,190,2,1
64,2014,191,2,1
64,2014,192,1,1
65,2014,193,1,1
11,2014,194,2,1
23,2014,195,2,1
15,2014,197,1,1
20,2014,204,2,1
12,2014,205,2,1
7,2014,207,1,1
52,2014,210,2,1
66,2014,212,1,1
45,2014,213,1,1
36,2014,215,1,1
48,2014,217,1,1
42,2014,218,2,1
35,2014,219,2,1
31,2014,222,2,1
38,2014,223,1,1
25,2014,224,1,1
43,2014,229,2,1
48,2014,230,2,1
50,2014,232,2,1
150,2014,233,1,1
50,2014,234,2,1
51,2014,235,2,1
93,2014,236,2,1
77,2014,238,1,1
129,2014,257,1,1
127,2014,258,2,1
129,2014,260,2,1
105,2014,263,2,1
63,2014,266,2,1
74,2014,267,1,1
132,2014,268,1,1
205,2014,269,2,1
108,2014,270,2,1
307,2014,271,1,1
103,2014,272,2,1
138,2014,273,1,1
41,2014,276,2,1
67,2014,280,1,1
65,2014,281,2,1
31,2014,282,2,1
60,2014,283,2,1
31,2014,284,2,1
61,2014,288,2,1
62,2014,289,2,1
63,2014,290,2,1
59,2014,291,2,1
71,2014,292,1,1
60,2014,293,2,1
69,2014,294,2,1
65,2014,296,1,1
3,2014,297,1,1
2,2014,298,1,1
3,2014,302,1,1
4,2014,303,2,1
1,2014,306,1,1
3,2014,308,2,1
24,2014,310,2,1
8,2014,312,2,1
6,2014,315,1,1
6,2014,317,2,1
73,2014,320,2,1
49,2014,321,1,1
39,2014,325,1,1
83,2014,326,2,1
104,2014,327,1,1
60,2014,337,2,1
60,2014,338,2,1
57,2014,340,1,1
43,2014,341,2,1
46,2014,342,2,1
12,2014,343,1,1
9,2014,344,1,1
119,2014,347,1,1
49,2014,351,2,1
198,2014,352,2,1
279,2014,361,1,1
108,2014,362,2,1
130,2014,363,1,1
185,2014,364,2,1
233,2014,365,1,1
7,2014,366,2,1
2,2014,367,1,1
8,2014,368,1,1
1,2014,369,2,1
3,2014,370,2,1
2,2014,371,1,1
8,2014,372,2,1
3,2014,374,2,1
12,2014,375,2,1
2,2014,376,1,1
2,2014,378,2,1
3,2014,379,1,1
5,2014,380,2,1
7,2014,382,2,1
6,2014,383,2,1
4,2014,384,2,1
13,2014,385,2,1
3,2014,386,2,1
3,2014,387,1,1
2,2014,388,2,1
2,2014,389,1,1
3,2014,390,2,1
2,2014,391,2,1
2,2014,394,1,1
25,2014,395,2,1
27,2014,400,1,1
102,2014,401,2,1
72,2014,403,2,1
83,2014,404,2,1
36,2014,405,1,1
3,2014,407,1,1
17,2014,408,1,1
45,2014,412,1,1
55,2014,413,1,1
31,2014,417,1,1
14,2014,420,2,1
55,2014,426,2,1
67,2014,427,1,1
75,2014,429,1,1
54,2014,430,1,1
76,2014,431,2,1
35,2014,432,2,1
64,2014,434,2,1
63,2014,435,1,1
64,2014,436,2,1
120,2014,437,1,1
106,2014,438,2,1
92,2014,439,2,1
79,2014,440,2,1
77,2014,441,2,1
69,2014,442,1,1
84,2014,444,1,1
80,2014,445,2,1
82,2014,446,2,1
84,2014,448,2,1
82,2014,450,1,1
85,2014,451,1,1
84,2014,452,1,1
87,2014,453,2,1
108,2014,454,2,1
110,2014,455,1,1
99,2014,456,2,1
17,2014,494,2,1
10,2014,510,1,1
15,2014,513,2,1
4,2014,515,1,1
5,2014,516,2,1
6,2014,517,1,1
7,2014,519,2,1
5,2014,521,2,1
28,2014,522,2,1
34,2014,523,2,1
56,2014,530,1,1
227,2014,531,1,1
112,2014,532,1,1
124,2014,535,2,1
124,2014,536,1,1
124,2014,537,2,1
110,2014,538,2,1
68,2014,539,1,1
49,2014,549,2,1
14,2014,551,2,1
38,2014,557,2,1
49,2014,559,2,1
96,2014,570,2,1
52,2014,573,2,1
56,2014,574,1,1
54,2014,575,1,1
51,2014,579,1,1
37,2014,580,2,1
37,2014,581,2,1
48,2014,582,2,1
53,2014,583,2,1
60,2014,584,1,1
60,2014,585,1,1
50,2014,586,2,1
58,2014,587,2,1
45,2014,588,2,1
55,2014,589,2,1
40,2014,591,1,1
62,2014,592,2,1
94,2014,593,2,1
34,2014,594,2,1
43,2014,595,2,1
44,2014,596,2,1
12,2014,677,1,1
180,2014,683,1,1
39,2014,684,2,1
39,2014,685,1,1
43,2014,687,2,1
33,2014,689,2,1
25,2014,690,1,1
74,2014,691,1,1
23,2014,692,2,1
45,2014,693,2,1
5,2014,694,1,1
150,2014,696,1,1
114,2014,697,1,1
81,2014,698,1,1
117,2014,699,2,1
153,2014,700,1,1
142,2014,701,1,1
58,2014,702,2,1
139,2014,703,1,1
37,2014,704,2,1
30,2014,705,1,1
