Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
148,2017,1,1,1
61,2017,2,1,1
62,2017,3,2,1
33,2017,4,1,1
57,2017,5,2,1
31,2017,6,2,1
116,2017,7,2,1
136,2017,9,1,1
63,2017,10,2,1
84,2017,11,1,1
64,2017,12,2,1
54,2017,13,1,1
78,2017,14,1,1
60,2017,15,1,1
67,2017,16,1,1
101,2017,17,1,1
99,2017,18,2,1
93,2017,19,1,1
53,2017,20,1,1
66,2017,21,1,1
44,2017,22,1,1
102,2017,23,1,1
113,2017,24,1,1
129,2017,25,2,1
111,2017,26,1,1
63,2017,27,1,1
88,2017,28,2,1
144,2017,29,1,1
91,2017,30,1,1
76,2017,31,1,1
66,2017,32,1,1
81,2017,33,2,1
40,2017,34,1,1
59,2017,35,2,1
93,2017,36,2,1
72,2017,37,2,1
5,2017,38,1,1
2,2017,39,1,1
3,2017,40,1,1
3,2017,41,2,1
2,2017,45,1,1
10,2017,46,1,1
6,2017,47,1,1
7,2017,48,2,1
2,2017,49,1,1
1,2017,50,1,1
7,2017,51,2,1
6,2017,52,1,1
2,2017,53,1,1
15,2017,55,1,1
7,2017,57,1,1
2,2017,58,2,1
3,2017,59,2,1
2,2017,60,1,1
2,2017,61,1,1
3,2017,64,1,1
1,2017,65,1,1
3,2017,66,1,1
3,2017,67,1,1
46,2017,70,1,1
33,2017,71,1,1
4,2017,79,1,1
30,2017,85,2,1
2,2017,86,2,1
7,2017,87,1,1
6,2017,88,2,1
18,2017,89,1,1
20,2017,90,2,1
16,2017,92,1,1
7,2017,96,1,1
15,2017,98,2,1
17,2017,104,1,1
15,2017,105,1,1
23,2017,106,1,1
15,2017,107,2,1
15,2017,108,1,1
10,2017,109,2,1
5,2017,110,1,1
4,2017,111,2,1
8,2017,112,2,1
93,2017,113,2,1
70,2017,114,1,1
71,2017,115,2,1
99,2017,116,2,1
104,2017,117,1,1
67,2017,118,2,1
66,2017,119,2,1
83,2017,120,2,1
64,2017,121,2,1
89,2017,122,1,1
74,2017,123,1,1
81,2017,124,1,1
62,2017,125,1,1
65,2017,126,2,1
65,2017,127,2,1
44,2017,128,2,1
85,2017,129,2,1
15,2017,132,1,1
19,2017,134,1,1
5,2017,135,1,1
9,2017,136,2,1
13,2017,137,2,1
14,2017,139,1,1
13,2017,140,2,1
4,2017,141,1,1
11,2017,142,1,1
69,2017,143,2,1
53,2017,144,1,1
58,2017,146,1,1
44,2017,147,2,1
42,2017,149,2,1
89,2017,151,2,1
63,2017,153,2,1
43,2017,155,1,1
67,2017,156,2,1
91,2017,157,2,1
