Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
148,2018,1,1,1
65,2018,2,1,1
73,2018,3,2,1
35,2018,4,1,1
64,2018,5,1,1
33,2018,6,1,1
244,2018,7,1,1
150,2018,9,2,1
68,2018,10,1,1
102,2018,11,2,1
79,2018,12,1,1
52,2018,13,1,1
93,2018,14,1,1
60,2018,15,2,1
62,2018,16,1,1
119,2018,17,2,1
146,2018,18,1,1
151,2018,19,1,1
66,2018,20,1,1
73,2018,21,1,1
110,2018,23,1,1
137,2018,24,1,1
151,2018,25,2,1
71,2018,27,1,1
104,2018,28,1,1
162,2018,29,2,1
101,2018,30,2,1
95,2018,31,1,1
69,2018,32,2,1
104,2018,33,1,1
50,2018,34,1,1
66,2018,35,2,1
93,2018,36,1,1
64,2018,37,2,1
6,2018,38,1,1
3,2018,39,1,1
3,2018,40,1,1
2,2018,41,2,1
4,2018,45,2,1
9,2018,46,1,1
5,2018,48,1,1
2,2018,49,1,1
2,2018,50,2,1
8,2018,52,1,1
2,2018,53,2,1
10,2018,55,1,1
6,2018,57,1,1
4,2018,58,1,1
2,2018,59,2,1
2,2018,60,1,1
2,2018,61,2,1
8,2018,63,2,1
5,2018,64,1,1
1,2018,65,2,1
2,2018,66,1,1
5,2018,67,2,1
51,2018,69,1,1
109,2018,70,2,1
32,2018,71,2,1
7,2018,79,1,1
11,2018,80,1,1
8,2018,86,1,1
5,2018,87,1,1
9,2018,88,2,1
19,2018,89,1,1
13,2018,90,2,1
7,2018,92,1,1
16,2018,96,2,1
24,2018,103,1,1
9,2018,104,2,1
23,2018,105,1,1
23,2018,106,2,1
8,2018,107,1,1
24,2018,108,1,1
14,2018,109,1,1
3,2018,110,2,1
1,2018,111,1,1
6,2018,112,1,1
108,2018,113,1,1
78,2018,114,1,1
86,2018,115,2,1
99,2018,116,2,1
109,2018,117,1,1
70,2018,118,1,1
59,2018,119,2,1
84,2018,120,2,1
68,2018,121,2,1
92,2018,122,1,1
93,2018,123,2,1
76,2018,124,1,1
62,2018,125,1,1
69,2018,126,2,1
71,2018,127,1,1
45,2018,128,1,1
74,2018,129,2,1
12,2018,132,1,1
25,2018,134,1,1
9,2018,135,2,1
6,2018,136,2,1
12,2018,137,2,1
9,2018,139,1,1
12,2018,140,2,1
2,2018,142,1,1
95,2018,143,1,1
47,2018,144,1,1
57,2018,146,1,1
43,2018,147,1,1
105,2018,151,2,1
38,2018,155,1,1
71,2018,156,1,1
98,2018,157,1,1
84,2018,158,2,1
87,2018,159,1,1
5,2018,162,2,1
79,2018,169,1,1
41,2018,170,1,1
22,2018,172,1,1
12,2018,173,1,1
52,2018,176,1,1
74,2018,177,2,1
52,2018,178,2,1
53,2018,180,1,1
51,2018,181,2,1
1,2018,188,2,1
113,2018,189,1,1
112,2018,190,2,1
52,2018,191,1,1
51,2018,192,2,1
60,2018,193,1,1
12,2018,194,2,1
18,2018,195,2,1
27,2018,197,2,1
13,2018,204,1,1
9,2018,205,1,1
5,2018,207,2,1
53,2018,210,1,1
66,2018,212,1,1
54,2018,213,2,1
46,2018,215,2,1
52,2018,216,2,1
60,2018,217,2,1
45,2018,218,1,1
31,2018,222,1,1
11,2018,223,1,1
30,2018,224,1,1
25,2018,225,1,1
44,2018,229,1,1
43,2018,230,2,1
45,2018,232,2,1
181,2018,233,1,1
47,2018,234,1,1
49,2018,235,1,1
81,2018,236,2,1
60,2018,238,2,1
28,2018,245,2,1
14,2018,246,1,1
2,2018,252,1,1
105,2018,257,1,1
122,2018,258,2,1
123,2018,260,2,1
106,2018,263,2,1
57,2018,266,1,1
123,2018,267,2,1
177,2018,268,1,1
251,2018,269,1,1
105,2018,270,1,1
352,2018,271,2,1
136,2018,272,1,1
6,2018,275,1,1
34,2018,276,1,1
27,2018,279,2,1
69,2018,281,1,1
54,2018,282,1,1
64,2018,283,2,1
37,2018,284,1,1
64,2018,288,2,1
59,2018,289,1,1
69,2018,290,1,1
72,2018,291,1,1
69,2018,292,1,1
65,2018,293,2,1
65,2018,294,1,1
1,2018,295,1,1
74,2018,296,1,1
3,2018,297,1,1
2,2018,298,1,1
2,2018,300,2,1
3,2018,302,2,1
3,2018,303,2,1
4,2018,305,1,1
3,2018,306,1,1
3,2018,308,1,1
11,2018,311,1,1
11,2018,313,1,1
1,2018,316,2,1
129,2018,320,2,1
157,2018,325,1,1
58,2018,326,2,1
76,2018,327,1,1
55,2018,337,2,1
60,2018,338,2,1
109,2018,340,1,1
45,2018,341,1,1
56,2018,342,1,1
14,2018,343,1,1
49,2018,347,2,1
55,2018,351,2,1
161,2018,352,1,1
13,2018,354,2,1
245,2018,361,2,1
46,2018,362,2,1
123,2018,363,1,1
73,2018,364,2,1
173,2018,365,1,1
11,2018,366,2,1
1,2018,367,1,1
8,2018,368,1,1
1,2018,369,2,1
3,2018,370,1,1
1,2018,371,1,1
10,2018,372,1,1
4,2018,374,1,1
12,2018,375,2,1
2,2018,378,2,1
3,2018,379,2,1
3,2018,380,2,1
7,2018,382,2,1
5,2018,383,1,1
3,2018,384,2,1
15,2018,385,1,1
4,2018,386,2,1
3,2018,388,1,1
1,2018,389,2,1
3,2018,390,1,1
2,2018,391,2,1
1,2018,394,1,1
34,2018,395,1,1
40,2018,401,2,1
63,2018,403,1,1
64,2018,404,1,1
33,2018,405,1,1
4,2018,406,1,1
6,2018,407,1,1
45,2018,412,1,1
72,2018,413,2,1
40,2018,417,1,1
59,2018,426,1,1
60,2018,427,1,1
35,2018,429,2,1
56,2018,430,1,1
69,2018,431,2,1
31,2018,432,1,1
53,2018,434,1,1
65,2018,435,1,1
62,2018,436,2,1
149,2018,437,1,1
116,2018,438,1,1
103,2018,439,1,1
88,2018,440,1,1
59,2018,441,1,1
58,2018,442,1,1
99,2018,444,1,1
96,2018,445,1,1
88,2018,446,2,1
99,2018,448,1,1
115,2018,450,2,1
86,2018,451,1,1
57,2018,452,2,1
87,2018,453,1,1
108,2018,454,1,1
96,2018,455,1,1
52,2018,456,2,1
16,2018,494,2,1
8,2018,507,2,1
21,2018,510,2,1
11,2018,511,1,1
14,2018,513,1,1
9,2018,515,2,1
9,2018,516,2,1
10,2018,517,1,1
9,2018,519,2,1
3,2018,521,1,1
38,2018,522,2,1
32,2018,523,2,1
114,2018,530,1,1
354,2018,531,1,1
102,2018,532,2,1
249,2018,535,2,1
187,2018,536,2,1
201,2018,537,2,1
184,2018,538,1,1
78,2018,539,2,1
47,2018,549,1,1
17,2018,551,2,1
41,2018,557,1,1
56,2018,559,1,1
2,2018,566,2,1
120,2018,570,2,1
57,2018,573,1,1
68,2018,574,1,1
65,2018,575,2,1
1,2018,577,2,1
1,2018,578,1,1
57,2018,579,1,1
96,2018,580,1,1
91,2018,581,2,1
56,2018,582,2,1
37,2018,583,2,1
49,2018,584,2,1
46,2018,585,2,1
38,2018,586,1,1
36,2018,587,1,1
44,2018,588,2,1
36,2018,589,2,1
47,2018,591,2,1
76,2018,592,1,1
61,2018,593,1,1
37,2018,594,2,1
48,2018,595,1,1
52,2018,596,2,1
3,2018,601,1,1
1,2018,602,2,1
2,2018,609,1,1
1,2018,610,1,1
6,2018,611,2,1
1,2018,613,1,1
6,2018,615,1,1
2,2018,616,1,1
1,2018,618,2,1
5,2018,623,2,1
12,2018,626,2,1
7,2018,628,2,1
3,2018,640,1,1
5,2018,642,1,1
1,2018,643,2,1
2,2018,645,2,1
7,2018,658,1,1
4,2018,659,2,1
21,2018,660,2,1
5,2018,662,2,1
9,2018,664,1,1
5,2018,670,2,1
1,2018,672,1,1
2,2018,673,1,1
3,2018,674,1,1
3,2018,676,1,1
6,2018,677,2,1
87,2018,683,1,1
42,2018,684,2,1
33,2018,685,1,1
46,2018,687,1,1
49,2018,689,2,1
2,2018,690,2,1
115,2018,691,1,1
35,2018,692,2,1
50,2018,693,2,1
47,2018,694,1,1
155,2018,696,1,1
67,2018,697,1,1
82,2018,698,1,1
99,2018,699,1,1
144,2018,700,1,1
142,2018,701,2,1
59,2018,702,2,1
103,2018,703,2,1
49,2018,704,1,1
49,2018,705,1,1
53,2018,706,2,1
46,2018,707,2,1
3,2018,709,2,1
4,2018,710,1,1
5,2018,711,2,1
