Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
96,2019,1,1,2
53,2019,2,2,2
61,2019,3,2,2
33,2019,4,1,2
47,2019,5,2,2
30,2019,6,2,2
99,2019,7,1,2
56,2019,8,2,2
139,2019,9,2,2
59,2019,10,1,2
98,2019,11,2,2
45,2019,13,1,2
88,2019,14,2,2
59,2019,15,1,2
52,2019,16,2,2
102,2019,17,1,2
119,2019,18,2,2
123,2019,19,2,2
51,2019,20,2,2
1,2019,21,2,2
71,2019,23,1,2
101,2019,24,1,2
130,2019,25,2,2
70,2019,27,2,2
93,2019,28,2,2
152,2019,29,2,2
85,2019,30,2,2
36,2019,31,1,2
62,2019,32,2,2
81,2019,33,2,2
41,2019,34,2,2
38,2019,35,2,2
78,2019,36,1,2
64,2019,37,1,2
5,2019,48,1,2
2,2019,65,1,2
35,2019,69,2,2
37,2019,70,1,2
11,2019,79,1,2
15,2019,80,1,2
32,2019,85,1,2
3,2019,86,1,2
15,2019,91,2,2
10,2019,92,2,2
15,2019,93,2,2
19,2019,95,1,2
10,2019,96,2,2
14,2019,97,1,2
2,2019,99,1,2
24,2019,100,1,2
12,2019,101,1,2
25,2019,103,1,2
24,2019,104,2,2
24,2019,105,1,2
4,2019,107,2,2
27,2019,108,1,2
6,2019,109,2,2
4,2019,110,1,2
11,2019,111,1,2
2,2019,112,1,2
103,2019,113,2,2
56,2019,114,2,2
69,2019,115,2,2
86,2019,116,2,2
112,2019,117,1,2
54,2019,118,1,2
54,2019,119,2,2
80,2019,120,2,2
70,2019,121,2,2
94,2019,122,2,2
94,2019,123,1,2
67,2019,124,2,2
73,2019,125,1,2
52,2019,126,1,2
73,2019,127,2,2
46,2019,128,2,2
28,2019,129,2,2
7,2019,132,1,2
6,2019,135,1,2
9,2019,136,1,2
7,2019,137,1,2
3,2019,142,1,2
69,2019,143,1,2
29,2019,144,1,2
49,2019,146,1,2
29,2019,147,2,2
79,2019,151,2,2
16,2019,155,1,2
34,2019,156,1,2
