Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
91,2020,1,1,2
51,2020,2,1,2
67,2020,3,2,2
34,2020,4,2,2
52,2020,5,1,2
32,2020,6,1,2
107,2020,7,1,2
49,2020,8,2,2
124,2020,9,1,2
52,2020,10,1,2
84,2020,11,1,2
38,2020,13,1,2
71,2020,14,1,2
49,2020,15,1,2
51,2020,16,1,2
95,2020,17,1,2
117,2020,18,2,2
85,2020,19,1,2
45,2020,20,1,2
91,2020,23,2,2
99,2020,24,2,2
133,2020,25,1,2
66,2020,27,2,2
85,2020,28,2,2
141,2020,29,2,2
91,2020,30,2,2
66,2020,31,2,2
47,2020,32,1,2
75,2020,33,2,2
42,2020,34,2,2
33,2020,35,1,2
71,2020,36,2,2
70,2020,37,1,2
10,2020,48,2,2
1,2020,65,2,2
30,2020,69,1,2
9,2020,70,2,2
16,2020,79,1,2
15,2020,80,1,2
51,2020,85,2,2
4,2020,86,2,2
10,2020,91,1,2
15,2020,92,1,2
17,2020,95,2,2
9,2020,96,1,2
7,2020,97,1,2
21,2020,100,1,2
8,2020,101,1,2
35,2020,104,1,2
24,2020,105,1,2
10,2020,107,1,2
17,2020,108,1,2
5,2020,109,1,2
1,2020,110,2,2
2,2020,111,1,2
3,2020,112,2,2
63,2020,113,2,2
56,2020,114,1,2
57,2020,115,1,2
46,2020,116,1,2
105,2020,117,1,2
47,2020,118,1,2
32,2020,119,1,2
63,2020,120,2,2
84,2020,121,1,2
91,2020,122,2,2
71,2020,123,2,2
61,2020,124,1,2
89,2020,125,1,2
47,2020,126,1,2
67,2020,127,2,2
22,2020,128,1,2
47,2020,129,1,2
16,2020,132,1,2
6,2020,135,1,2
8,2020,136,1,2
5,2020,137,1,2
7,2020,142,1,2
70,2020,143,1,2
48,2020,144,1,2
50,2020,146,1,2
24,2020,147,2,2
82,2020,151,1,2
25,2020,155,2,2
34,2020,156,1,2
62,2020,157,1,2
48,2020,158,1,2
83,2020,159,1,2
15,2020,165,1,2
41,2020,169,2,2
30,2020,170,2,2
2,2020,176,1,2
50,2020,178,2,2
48,2020,180,1,2
