Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
73,2016,1,1,1
43,2016,2,Sin información,1
42,2016,3,1,1
25,2016,4,2,1
41,2016,5,1,1
20,2016,6,Sin información,1
60,2016,7,1,1
86,2016,9,2,1
29,2016,10,1,1
39,2016,11,2,1
40,2016,12,1,1
35,2016,13,1,1
63,2016,14,Sin información,1
33,2016,15,1,1
48,2016,16,1,1
61,2016,17,1,1
43,2016,18,2,1
65,2016,19,1,1
45,2016,20,1,1
45,2016,21,2,1
32,2016,22,1,1
76,2016,23,1,1
60,2016,24,1,1
66,2016,25,Sin información,1
102,2016,26,1,1
34,2016,27,Sin información,1
43,2016,28,Sin información,1
89,2016,29,Sin información,1
78,2016,30,1,1
46,2016,31,1,1
28,2016,32,Sin información,1
72,2016,33,1,1
30,2016,34,Sin información,1
26,2016,35,Sin información,1
66,2016,36,1,1
58,2016,37,1,1
5,2016,38,1,1
3,2016,39,2,1
2,2016,40,1,1
2,2016,41,2,1
2,2016,45,1,1
9,2016,46,2,1
8,2016,47,2,1
6,2016,48,1,1
1,2016,49,1,1
1,2016,50,1,1
6,2016,51,2,1
4,2016,52,1,1
2,2016,53,1,1
13,2016,55,1,1
7,2016,57,2,1
3,2016,58,1,1
3,2016,59,1,1
2,2016,60,2,1
2,2016,61,2,1
8,2016,63,1,1
4,2016,64,1,1
2,2016,66,2,1
2,2016,67,1,1
21,2016,69,2,1
125,2016,70,2,1
27,2016,71,2,1
7,2016,79,1,1
33,2016,85,1,1
8,2016,86,1,1
4,2016,87,1,1
19,2016,88,2,1
43,2016,89,1,1
26,2016,90,1,1
13,2016,92,1,1
15,2016,96,1,1
12,2016,98,2,1
32,2016,103,2,1
23,2016,104,2,1
22,2016,105,1,1
24,2016,106,1,1
15,2016,107,2,1
11,2016,108,2,1
8,2016,109,1,1
2,2016,110,1,1
3,2016,111,1,1
5,2016,112,1,1
40,2016,113,1,1
42,2016,114,1,1
31,2016,115,Sin información,1
55,2016,116,2,1
48,2016,117,Sin información,1
42,2016,118,2,1
51,2016,119,1,1
67,2016,120,2,1
39,2016,121,Sin información,1
75,2016,122,1,1
56,2016,123,Sin información,1
62,2016,124,1,1
34,2016,125,Sin información,1
44,2016,126,2,1
52,2016,127,Sin información,1
37,2016,128,Sin información,1
54,2016,129,1,1
12,2016,132,2,1
27,2016,134,2,1
9,2016,136,1,1
6,2016,137,2,1
11,2016,139,1,1
14,2016,140,1,1
6,2016,141,1,1
7,2016,142,2,1
61,2016,143,Sin información,1
44,2016,144,1,1
84,2016,146,1,1
49,2016,147,2,1
107,2016,149,2,1
69,2016,150,1,1
109,2016,151,1,1
69,2016,153,1,1
63,2016,154,2,1
64,2016,155,2,1
90,2016,156,1,1
115,2016,157,2,1
97,2016,158,2,1
93,2016,159,1,1
23,2016,161,2,1
6,2016,162,2,1
138,2016,169,1,1
25,2016,170,1,1
27,2016,172,2,1
16,2016,173,2,1
46,2016,175,2,1
46,2016,176,2,1
64,2016,177,2,1
46,2016,178,2,1
47,2016,180,2,1
52,2016,181,1,1
50,2016,182,1,1
136,2016,189,1,1
125,2016,190,2,1
63,2016,191,2,1
62,2016,192,2,1
70,2016,193,2,1
17,2016,194,1,1
24,2016,195,2,1
33,2016,197,2,1
21,2016,204,2,1
13,2016,205,1,1
13,2016,207,2,1
72,2016,210,1,1
95,2016,212,2,1
86,2016,213,1,1
47,2016,215,1,1
74,2016,216,2,1
65,2016,217,1,1
66,2016,218,1,1
29,2016,219,1,1
33,2016,222,2,1
30,2016,223,1,1
27,2016,224,2,1
44,2016,229,2,1
46,2016,230,1,1
49,2016,232,1,1
218,2016,233,1,1
45,2016,234,1,1
48,2016,235,2,1
96,2016,236,1,1
69,2016,238,2,1
203,2016,257,2,1
101,2016,258,1,1
104,2016,260,1,1
98,2016,263,2,1
94,2016,266,1,1
117,2016,267,1,1
114,2016,268,1,1
307,2016,269,2,1
152,2016,270,2,1
492,2016,271,2,1
144,2016,272,1,1
119,2016,273,1,1
46,2016,276,1,1
22,2016,278,1,1
66,2016,281,2,1
52,2016,282,1,1
68,2016,283,1,1
30,2016,284,1,1
57,2016,288,1,1
59,2016,289,1,1
65,2016,290,1,1
57,2016,291,2,1
64,2016,292,1,1
65,2016,293,2,1
67,2016,294,1,1
18,2016,295,1,1
65,2016,296,2,1
3,2016,297,1,1
2,2016,298,2,1
2,2016,300,1,1
3,2016,302,2,1
3,2016,303,1,1
3,2016,305,1,1
3,2016,306,1,1
3,2016,308,1,1
16,2016,311,2,1
103,2016,320,1,1
56,2016,321,1,1
160,2016,325,1,1
64,2016,326,1,1
94,2016,327,2,1
53,2016,337,1,1
59,2016,338,2,1
169,2016,340,2,1
57,2016,341,2,1
54,2016,342,2,1
8,2016,343,2,1
79,2016,347,1,1
49,2016,351,1,1
201,2016,352,1,1
285,2016,361,2,1
128,2016,362,1,1
142,2016,363,1,1
94,2016,364,1,1
338,2016,365,2,1
11,2016,366,1,1
1,2016,367,1,1
8,2016,368,1,1
1,2016,369,2,1
3,2016,370,2,1
1,2016,371,1,1
11,2016,372,1,1
