año,codigo snies del programa,id genero,matriculados,semestre
2018,1,1,684,2
2018,2,1,637,2
2018,3,1,363,2
2018,4,2,318,2
2018,5,1,500,2
2018,6,1,263,2
2018,7,1,677,2
2018,8,1,245,2
2018,9,1,1466,2
2018,10,2,430,2
2018,11,1,526,2
2018,12,1,150,2
2018,13,2,433,2
2018,14,1,730,2
2018,15,2,451,2
2018,16,2,431,2
2018,17,1,809,2
2018,18,1,835,2
2018,19,2,751,2
2018,20,1,292,2
2018,21,1,196,2
2018,23,1,688,2
2018,24,1,571,2
2018,25,2,1117,2
2018,27,1,573,2
2018,28,1,760,2
2018,29,1,1124,2
2018,30,2,706,2
2018,31,1,600,2
2018,32,1,423,2
2018,33,1,542,2
2018,34,1,381,2
2018,35,1,272,2
2018,36,2,531,2
2018,37,1,718,2
2018,38,1,26,2
2018,39,2,14,2
2018,40,1,10,2
2018,41,2,9,2
2018,45,2,4,2
2018,46,1,31,2
2018,47,1,24,2
2018,48,2,49,2
2018,49,1,11,2
2018,50,2,6,2
2018,52,2,20,2
2018,53,1,9,2
2018,55,2,40,2
2018,57,2,15,2
2018,58,1,18,2
2018,59,2,4,2
2018,60,1,11,2
2018,61,2,6,2
2018,63,2,8,2
2018,64,2,16,2
2018,65,1,3,2
2018,66,2,9,2
2018,67,2,14,2
2018,69,2,90,2
2018,70,1,131,2
2018,71,2,60,2
2018,79,2,13,2
2018,80,2,23,2
2018,85,2,6,2
2018,86,1,24,2
2018,87,2,14,2
2018,88,1,30,2
2018,89,2,92,2
2018,90,2,38,2
2018,91,1,43,2
2018,92,1,53,2
2018,93,1,7,2
2018,95,2,45,2
2018,96,2,53,2
2018,97,1,30,2
2018,99,1,55,2
2018,100,2,60,2
2018,101,2,57,2
2018,103,2,28,2
2018,104,2,75,2
2018,105,2,81,2
2018,106,1,32,2
2018,107,1,34,2
2018,108,1,78,2
2018,109,2,39,2
2018,110,1,29,2
2018,111,2,33,2
2018,112,1,39,2
2018,113,2,341,2
2018,114,1,338,2
2018,115,2,288,2
2018,116,1,326,2
2018,117,2,860,2
2018,118,2,429,2
2018,119,1,343,2
2018,120,1,473,2
2018,121,1,500,2
2018,122,2,555,2
2018,123,1,587,2
2018,124,1,494,2
2018,125,2,460,2
2018,126,1,533,2
2018,127,1,528,2
2018,128,1,338,2
2018,129,1,180,2
2018,132,1,19,2
2018,134,1,17,2
2018,135,1,18,2
2018,136,2,49,2
2018,137,2,48,2
2018,139,1,31,2
2018,140,1,26,2
2018,142,1,23,2
2018,143,1,342,2
2018,144,1,296,2
2018,146,1,427,2
2018,147,1,252,2
2018,149,1,336,2
2018,150,1,281,2
2018,151,2,756,2
2018,152,2,1,2
2018,153,1,240,2
2018,154,1,236,2
2018,155,2,175,2
2018,156,1,338,2
2018,157,1,382,2
2018,158,1,435,2
2018,159,1,541,2
2018,162,1,5,2
2018,169,1,249,2
2018,170,1,81,2
