año,codigo snies del programa,id genero,matriculados,semestre
2014,1,2,446204,2
2014,2,2,266279,2
2014,3,1,162253,2
2014,4,1,93205,2
2014,5,1,151314,2
2014,6,2,19373,2
2014,7,2,209460,2
2014,8,2,83150,2
2014,9,1,533888,2
2014,10,1,29687,2
2014,11,2,214334,2
2014,12,1,10044,2
2014,13,2,266196,2
2014,14,1,360429,2
2014,15,1,297122,2
2014,16,2,325159,2
2014,17,2,523280,2
2014,18,1,206560,2
2014,19,1,261419,2
2014,20,1,70244,2
2014,21,1,54137,2
2014,22,1,87116,2
2014,23,2,369267,2
2014,24,2,294127,2
2014,25,1,208972,2
2014,26,2,74553,2
2014,27,2,55867,2
2014,28,1,57731,2
2014,29,1,438769,2
2014,30,1,177485,2
2014,31,2,345286,2
2014,32,2,261119,2
2014,33,1,73382,2
2014,34,2,305131,2
2014,35,1,55238,2
2014,36,1,163242,2
2014,37,2,351363,2
2014,40,2,11,2
2014,47,2,23,2
2014,48,1,917,2
2014,50,2,1,2
2014,51,1,85,2
2014,63,2,4,2
2014,65,2,11,2
2014,69,1,4449,2
2014,70,2,5669,2
2014,79,1,145,2
2014,80,2,191,2
2014,85,2,42,2
2014,86,1,2627,2
2014,87,2,513,2
2014,88,1,326,2
2014,89,1,5418,2
2014,90,2,2214,2
2014,91,2,3112,2
2014,92,2,3016,2
2014,93,1,167,2
2014,95,2,465,2
2014,96,1,2129,2
2014,97,2,1310,2
2014,98,2,228,2
2014,99,1,1933,2
2014,100,2,4817,2
2014,101,2,306,2
2014,103,2,2721,2
2014,104,1,2370,2
2014,105,1,2590,2
2014,106,1,3317,2
2014,107,2,329,2
2014,108,1,3148,2
2014,109,1,1510,2
2014,110,1,816,2
2014,111,1,2131,2
2014,112,1,532,2
2014,113,2,166127,2
2014,114,2,17895,2
2014,115,1,85139,2
2014,116,2,168115,2
2014,117,2,610235,2
2014,118,1,98289,2
2014,119,1,106413,2
2014,120,2,35044,2
2014,121,1,248408,2
2014,122,2,50052,2
2014,123,1,222323,2
2014,124,2,231218,2
2014,125,1,343329,2
2014,126,1,143286,2
2014,127,1,215371,2
2014,128,2,19396,2
2014,129,2,10624,2
2014,132,2,67,2
2014,134,2,87,2
2014,135,2,178,2
2014,136,2,4522,2
2014,137,2,2716,2
2014,139,2,3128,2
2014,140,2,1711,2
2014,141,2,85,2
2014,142,2,1519,2
2014,143,1,143164,2
2014,144,1,117156,2
2014,146,2,367135,2
2014,147,1,99258,2
2014,149,2,99424,2
2014,150,2,44524,2
2014,151,2,536196,2
2014,153,1,366145,2
2014,154,1,303174,2
2014,155,2,26242,2
2014,156,2,214127,2
2014,157,1,162199,2
2014,158,2,173254,2
2014,159,2,178359,2
2014,161,2,128,2
2014,162,2,1,2
2014,163,1,2,2
2014,165,1,1718,2
2014,170,1,5357,2
2014,172,2,3524,2
2014,173,2,3943,2
2014,174,2,333,2
2014,175,2,7985,2
2014,176,1,38131,2
2014,177,2,5367,2
2014,178,2,61361,2
2014,180,2,36895,2
2014,181,2,257142,2
2014,182,1,341157,2
2014,187,1,12,2
2014,188,1,13748,2
2014,189,2,422441,2
2014,190,2,402538,2
2014,191,2,396175,2
2014,192,1,144370,2
2014,193,2,304197,2
2014,194,2,48,2
2014,195,2,3159,2
2014,197,2,2341,2
2014,204,2,3218,2
2014,205,1,2012,2
2014,207,2,3316,2
2014,208,1,3163,2
2014,210,1,236150,2
2014,212,1,374153,2
2014,213,2,45148,2
2014,215,2,288126,2
2014,216,2,27168,2
2014,217,2,291221,2
2014,218,2,279173,2
2014,219,1,6250,2
2014,222,1,2029,2
2014,223,2,5419,2
2014,224,1,71139,2
2014,225,2,5929,2
2014,229,2,13272,2
2014,230,2,157236,2
2014,232,2,112109,2
2014,233,1,682846,2
2014,234,1,218287,2
2014,235,2,294291,2
2014,236,1,237538,2
2014,238,2,511162,2
2014,239,2,12,2
2014,240,2,54,2
2014,241,2,65,2
2014,242,2,53,2
2014,243,1,45,2
2014,244,2,65,2
2014,245,2,3926,2
2014,246,1,512,2
2014,252,2,142,2
2014,256,1,54,2
2014,257,1,324284,2
2014,258,2,44764,2
2014,260,2,120176,2
2014,263,1,93275,2
2014,265,1,31,2
2014,266,1,52100,2
2014,267,2,391363,2
2014,268,2,467238,2
2014,269,1,166807,2
2014,270,2,812172,2
2014,271,2,"1,0711,025",2
2014,272,2,850107,2
2014,273,1,449327,2
2014,275,2,3443,2
2014,276,1,4038,2
2014,278,1,219,2
2014,279,2,3418,2
2014,280,2,350209,2
2014,281,1,253308,2
2014,282,2,9167,2
2014,283,1,130134,2
2014,284,2,14048,2
2014,288,2,198306,2
2014,289,1,182152,2
2014,290,1,376111,2
2014,291,2,340283,2
2014,292,1,47854,2
2014,293,1,27424,2
2014,294,2,323285,2
2014,295,1,2536,2
2014,296,2,384186,2
2014,297,1,44,2
2014,298,1,8,2
2014,302,2,5,2
2014,303,2,81,2
2014,305,2,2,2
2014,306,2,24,2
2014,308,2,57,2
2014,315,1,15,2
2014,316,2,2,2
2014,317,1,58,2
2014,320,2,444181,2
2014,321,2,248167,2
2014,325,2,83295,2
2014,326,1,301288,2
2014,327,1,249465,2
2014,332,2,133,2
2014,334,2,31,2
2014,337,1,209102,2
2014,338,1,240284,2
2014,340,1,11266,2
2014,341,1,8965,2
2014,342,2,365100,2
2014,343,2,3162,2
2014,344,1,129,2
2014,347,1,1358,2
2014,351,1,17795,2
