año,codigo snies del programa,id genero,matriculados,semestre
2017,1,1,688,1
2017,2,1,612,1
2017,3,2,343,1
2017,4,1,307,1
2017,5,1,479,1
2017,6,2,287,1
2017,7,1,568,1
2017,8,2,229,1
2017,9,2,1455,1
2017,10,2,379,1
2017,11,2,529,1
2017,12,1,168,1
2017,13,1,432,1
2017,14,2,772,1
2017,15,1,442,1
2017,16,1,486,1
2017,17,1,816,1
2017,18,1,788,1
2017,19,1,677,1
2017,20,2,285,1
2017,21,2,226,1
2017,22,1,211,1
2017,23,1,683,1
2017,24,2,472,1
2017,25,1,1145,1
2017,26,2,837,1
2017,27,1,578,1
2017,28,2,772,1
2017,29,1,1139,1
2017,30,1,678,1
2017,31,1,648,1
2017,32,2,396,1
2017,33,2,504,1
2017,34,1,417,1
2017,35,1,274,1
2017,36,2,504,1
2017,37,1,744,1
2017,38,1,24,1
2017,39,1,12,1
2017,40,1,7,1
2017,41,1,10,1
2017,45,1,4,1
2017,46,1,31,1
2017,47,1,25,1
2017,48,2,26,1
2017,49,1,10,1
2017,50,2,6,1
2017,51,2,21,1
2017,52,2,17,1
2017,53,1,9,1
2017,55,1,41,1
2017,57,1,12,1
2017,58,1,17,1
2017,59,2,5,1
2017,60,1,9,1
2017,61,2,6,1
2017,64,1,15,1
2017,65,1,1,1
2017,66,1,6,1
2017,67,1,13,1
2017,69,2,79,1
2017,70,2,105,1
2017,71,1,33,1
2017,79,1,14,1
2017,80,1,13,1
2017,85,1,60,1
2017,86,2,41,1
2017,87,1,19,1
2017,88,2,34,1
2017,89,1,111,1
2017,90,2,54,1
2017,91,2,36,1
2017,92,1,48,1
2017,93,2,7,1
2017,95,1,45,1
2017,96,1,62,1
2017,97,2,20,1
2017,98,1,54,1
2017,99,1,35,1
2017,100,2,50,1
2017,101,2,34,1
2017,103,2,27,1
2017,104,1,97,1
2017,105,1,108,1
2017,106,1,49,1
2017,107,2,46,1
2017,108,2,63,1
2017,109,2,20,1
2017,110,1,32,1
2017,111,2,43,1
2017,112,2,46,1
2017,113,2,319,1
2017,114,1,300,1
2017,115,1,250,1
2017,116,2,314,1
2017,117,1,871,1
2017,118,1,455,1
2017,119,1,427,1
2017,120,1,456,1
2017,121,2,535,1
2017,122,2,569,1
2017,123,1,559,1
2017,124,1,500,1
2017,125,2,532,1
2017,126,2,497,1
2017,127,1,576,1
2017,128,1,325,1
2017,129,1,183,1
2017,132,2,27,1
2017,134,2,18,1
2017,135,2,32,1
2017,136,2,53,1
2017,137,2,53,1
2017,139,1,34,1
2017,140,1,33,1
2017,141,1,19,1
2017,142,2,34,1
2017,143,1,336,1
2017,144,1,323,1
2017,146,1,441,1
2017,147,2,275,1
2017,149,1,491,1
2017,150,2,450,1
2017,151,1,722,1
2017,152,2,2,1
2017,153,1,477,1
2017,154,2,404,1
2017,155,2,208,1
2017,156,1,330,1
2017,157,1,360,1
2017,158,1,420,1
2017,159,1,536,1
2017,162,1,4,1
2017,165,1,20,1
2017,169,2,294,1
2017,170,2,89,1
2017,172,1,57,1
2017,173,1,51,1
2017,174,2,32,1
2017,175,2,207,1
2017,176,1,209,1
2017,177,1,407,1
2017,178,1,415,1
2017,180,2,481,1
2017,181,1,406,1
2017,182,1,434,1
2017,188,2,185,1
2017,189,1,856,1
2017,190,1,840,1
2017,191,2,594,1
2017,192,2,525,1
2017,193,1,537,1
2017,194,1,16,1
2017,195,1,41,1
2017,197,1,41,1
2017,204,2,43,1
2017,205,1,34,1
2017,207,1,52,1
2017,208,2,17,1
2017,210,2,421,1
2017,212,1,568,1
2017,213,2,493,1
2017,215,1,362,1
2017,216,2,351,1
2017,217,1,468,1
2017,218,1,460,1
2017,219,1,109,1
2017,222,1,102,1
2017,223,1,108,1
2017,224,2,256,1
2017,225,2,79,1
2017,229,1,259,1
2017,230,2,354,1
2017,232,1,264,1
2017,233,2,2042,1
2017,234,1,523,1
2017,235,1,583,1
2017,236,1,917,1
2017,238,1,674,1
2017,245,1,50,1
2017,246,1,34,1
2017,252,1,24,1
2017,256,2,23,1
2017,257,1,567,1
2017,258,1,438,1
2017,260,1,244,1
2017,262,2,1,1
2017,263,1,421,1
2017,266,1,240,1
2017,267,1,737,1
2017,268,1,707,1
2017,269,2,1121,1
2017,270,1,1015,1
2017,271,2,1100,1
2017,272,1,956,1
2017,275,2,46,1
2017,276,1,133,1
2017,278,2,18,1
2017,279,2,24,1
2017,281,2,587,1
2017,282,2,193,1
2017,283,1,281,1
2017,284,1,149,1
2017,288,1,463,1
2017,289,1,297,1
2017,290,1,487,1
2017,291,2,551,1
2017,292,2,556,1
2017,293,1,359,1
2017,294,1,658,1
2017,295,2,132,1
2017,296,1,615,1
2017,297,2,9,1
2017,298,1,9,1
2017,300,1,2,1
2017,302,1,9,1
2017,303,2,8,1
2017,305,1,9,1
2017,306,2,7,1
2017,308,1,14,1
2017,310,2,30,1
2017,311,1,16,1
2017,312,2,15,1
2017,313,1,11,1
2017,314,1,9,1
2017,316,2,5,1
2017,320,2,359,1
2017,321,1,3,1
2017,325,2,388,1
2017,326,2,288,1
2017,327,2,724,1
2017,332,2,59,1
2017,337,1,305,1
2017,338,1,554,1
2017,340,1,996,1
2017,341,2,284,1
2017,342,2,416,1
2017,343,1,71,1
2017,344,1,23,1
2017,347,1,122,1
2017,351,2,281,1
2017,352,2,675,1
2017,354,2,13,1
2017,358,1,7,1
2017,361,2,1693,1
2017,362,2,251,1
2017,363,1,1240,1
2017,364,2,391,1
2017,365,2,660,1
2017,366,2,36,1
2017,367,2,4,1
2017,368,1,34,1
2017,369,1,5,1
2017,370,2,9,1
2017,371,2,7,1
2017,372,2,37,1
2017,374,1,11,1
2017,375,1,45,1
2017,376,1,3,1
2017,378,1,9,1
2017,379,1,14,1
2017,380,1,12,1
2017,382,1,29,1
2017,383,2,25,1
2017,384,1,15,1
2017,385,1,52,1
2017,386,1,15,1
2017,388,1,15,1
2017,389,1,8,1
2017,390,1,14,1
2017,391,2,10,1
2017,394,2,10,1
2017,395,1,100,1
2017,400,1,40,1
2017,401,1,410,1
2017,403,1,581,1
2017,404,1,492,1
2017,405,1,280,1
2017,406,1,40,1
2017,407,2,56,1
2017,408,2,104,1
2017,409,1,2,1
2017,412,2,356,1
2017,413,1,608,1
2017,417,1,118,1
2017,420,1,279,1
2017,426,2,472,1
2017,427,1,486,1
2017,428,2,76,1
2017,429,1,524,1
2017,430,1,558,1
2017,431,1,468,1
2017,432,1,246,1
2017,433,1,1,1
2017,434,2,607,1
2017,435,2,545,1
2017,436,1,435,1
2017,437,1,1089,1
2017,438,1,605,1
2017,439,1,736,1
2017,440,2,716,1
2017,441,2,326,1
2017,442,2,341,1
2017,444,1,574,1
2017,445,1,550,1
2017,446,1,543,1
2017,447,1,25,1
2017,448,1,631,1
2017,450,1,689,1
2017,451,2,287,1
2017,452,1,550,1
2017,453,1,282,1
2017,454,1,223,1
2017,455,1,398,1
2017,456,1,671,1
2017,458,1,1,1
2017,466,1,1,1
2017,478,2,49,1
2017,481,1,19,1
2017,482,2,6,1
2017,483,1,3,1
2017,494,2,17,1
2017,503,2,38,1
2017,504,1,46,1
2017,507,1,9,1
2017,510,2,22,1
2017,511,2,19,1
2017,513,1,14,1
2017,515,1,40,1
2017,516,1,66,1
2017,517,2,22,1
2017,519,1,44,1
2017,521,1,18,1
2017,522,1,195,1
2017,523,2,341,1
2017,530,2,557,1
2017,531,2,2226,1
2017,532,1,631,1
2017,535,1,1061,1
2017,536,1,929,1
2017,537,1,867,1
2017,538,2,883,1
2017,539,2,293,1
2017,549,1,212,1
2017,551,2,144,1
2017,555,1,202,1
2017,557,1,219,1
2017,559,1,295,1
2017,565,2,124,1
2017,566,1,184,1
2017,568,2,150,1
2017,569,1,167,1
2017,570,1,685,1
2017,571,1,192,1
2017,572,2,172,1
2017,573,1,281,1
2017,574,1,357,1
2017,575,2,266,1
2017,576,2,167,1
2017,577,2,199,1
2017,578,2,96,1
2017,579,1,422,1
2017,580,1,582,1
2017,581,1,585,1
2017,582,2,209,1
2017,583,2,288,1
2017,584,2,305,1
2017,585,2,295,1
2017,586,2,295,1
2017,587,1,306,1
2017,588,2,258,1
2017,589,1,282,1
2017,590,2,1,1
2017,591,1,397,1
2017,592,1,269,1
2017,593,2,278,1
2017,594,1,171,1
2017,595,2,134,1
2017,596,1,291,1
2017,599,2,5,1
2017,601,2,16,1
2017,602,2,12,1
2017,603,1,20,1
2017,604,1,12,1
2017,605,2,18,1
2017,607,1,5,1
2017,608,1,5,1
2017,609,1,12,1
2017,610,1,8,1
2017,611,1,24,1
2017,612,1,10,1
2017,613,1,6,1
2017,614,1,4,1
2017,615,2,18,1
2017,616,1,14,1
2017,622,2,9,1
2017,626,1,54,1
2017,628,2,43,1
2017,633,2,5,1
2017,636,1,13,1
2017,640,1,6,1
2017,642,1,18,1
2017,643,2,9,1
2017,645,1,143,1
2017,650,2,48,1
2017,651,2,59,1
2017,652,1,42,1
2017,654,2,18,1
2017,655,1,68,1
2017,656,1,37,1
2017,657,1,61,1
2017,658,2,44,1
2017,659,1,35,1
2017,660,2,363,1
2017,662,1,73,1
2017,663,2,30,1
2017,664,1,43,1
2017,670,1,49,1
2017,672,1,17,1
2017,673,2,15,1
2017,674,2,29,1
2017,676,2,40,1
2017,677,1,51,1
2017,678,1,23,1
2017,679,1,21,1
2017,680,1,35,1
2017,683,2,512,1
2017,684,2,325,1
2017,685,1,264,1
2017,687,2,191,1
2017,689,2,238,1
2017,690,1,219,1
2017,691,2,699,1
2017,692,2,173,1
2017,693,1,441,1
2017,694,1,312,1
2017,695,1,10,1
2017,696,1,1398,1
2017,697,1,1124,1
2017,698,1,516,1
2017,699,1,853,1
2017,700,1,1564,1
2017,701,1,1244,1
2017,702,2,472,1
2017,703,2,1305,1
2017,704,2,292,1
2017,705,1,171,1
2017,706,1,553,1
2017,707,2,392,1
2017,709,1,13,1
2017,710,1,12,1
2017,711,2,20,1
2017,712,1,3,1
2017,713,2,5,1
2017,714,1,12,1
2017,716,1,18,1
2017,717,2,5,1
2017,719,1,3,1
2017,726,2,10,1
2017,728,1,36,1
2017,731,1,9,1
2017,732,1,27,1
2017,733,2,27,1
2017,736,2,447,1
2017,737,2,719,1
2017,738,1,497,1
2017,739,1,422,1
2017,740,1,890,1
2017,741,1,347,1
2017,742,1,916,1
2017,744,2,137,1
2017,745,2,172,1
2017,746,2,243,1
2017,747,1,491,1
2017,748,1,280,1
2017,749,1,15,1
2017,750,1,35,1
2017,751,1,5,1
2017,753,1,17,1
2017,754,2,8,1
2017,755,2,3,1
2017,756,1,22,1
2017,759,1,9,1
2017,761,2,8,1
2017,762,1,15,1
2017,766,2,43,1
2017,767,1,145,1
2017,770,2,31,1
2017,772,2,7,1
2017,773,2,23,1
2017,774,2,7,1
2017,775,2,3,1
2017,776,2,4,1
2017,777,2,265,1
2017,779,1,311,1
2017,783,1,199,1
2017,786,2,765,1
2017,788,1,305,1
2017,789,2,659,1
2017,790,1,241,1
2017,791,1,376,1
2017,794,2,108,1
2017,796,2,21,1
2017,799,2,230,1
2017,800,1,225,1
2017,801,2,2,1
2017,803,1,249,1
2017,805,2,287,1
2017,807,2,275,1
2017,808,1,315,1
2017,809,1,141,1
2017,810,2,372,1
2017,811,1,389,1
2017,817,1,25,1
2017,818,1,131,1
2017,819,1,238,1
2017,827,1,813,1
2017,829,2,196,1
2017,831,1,198,1
2017,834,1,723,1
2017,835,1,470,1
2017,839,2,86,1
2017,841,2,2,1
2017,842,2,483,1
2017,843,2,16,1
2017,847,2,14,1
2017,849,1,2,1
2017,850,1,37,1
2017,851,1,2,1
2017,852,2,370,1
2017,854,2,887,1
2017,855,2,1799,1
2017,856,1,528,1
2017,857,1,635,1
2017,858,1,2,1
2017,863,1,1,1
2017,866,2,303,1
2017,870,1,542,1
2017,873,2,225,1
2017,882,1,523,1
2017,884,2,408,1
2017,885,2,466,1
2017,889,2,361,1
2017,895,2,16,1
2017,898,1,366,1
2017,902,2,266,1
2017,904,1,380,1
2017,906,2,359,1
2017,907,2,365,1
2017,908,1,464,1
2017,910,2,667,1
2017,913,1,553,1
2017,914,1,351,1
2017,915,1,655,1
2017,916,2,583,1
2017,917,1,1202,1
2017,918,1,956,1
2017,919,2,943,1
2017,920,1,1090,1
2017,921,1,552,1
2017,923,1,41,1
2017,925,2,1017,1
2017,926,1,535,1
2017,927,1,1,1
2017,933,1,28,1
2017,935,2,629,1
2017,936,2,30,1
2017,937,2,68,1
2017,943,1,177,1
2017,944,1,373,1
2017,946,1,350,1
2017,947,1,534,1
2017,948,1,179,1
2017,949,2,1762,1
2017,950,1,956,1
2017,951,1,1174,1
2017,952,2,658,1
2017,953,2,1650,1
2017,954,2,643,1
2017,955,2,131,1
2017,956,1,164,1
2017,957,2,86,1
2017,958,1,299,1
2017,959,1,857,1
2017,960,1,601,1
2017,961,1,1417,1
2017,962,2,918,1
2017,964,2,308,1
2017,965,2,69,1
2017,967,1,19,1
2017,968,2,5,1
2017,969,2,7,1
2017,970,2,2,1
2017,971,1,10,1
2017,972,1,4,1
2017,973,1,32,1
2017,974,1,3,1
2017,975,2,2,1
2017,976,1,2,1
2017,977,1,8,1
2017,978,2,15,1
2017,979,2,8,1
2017,980,2,21,1
2017,981,1,23,1
2017,982,1,6,1
2017,983,1,3,1
2017,984,2,12,1
2017,985,1,22,1
2017,986,1,11,1
2017,988,1,8,1
2017,990,1,28,1
2017,991,1,34,1
2017,992,1,16,1
2017,994,1,5,1
2017,995,2,8,1
2017,998,2,24,1
2017,999,2,23,1
2017,1001,2,51,1
2017,1002,2,3,1
2017,1003,1,52,1
2017,1005,1,30,1
2017,1006,1,23,1
2017,1007,1,14,1
2017,1008,1,85,1
2017,1009,2,41,1
2017,1010,2,93,1
2017,1012,1,470,1
2017,1018,1,27,1
2017,1019,1,19,1
2017,1020,1,42,1
2017,1021,1,12,1
2017,1025,1,39,1
2017,1026,1,27,1
2017,1027,1,51,1
2017,1028,1,30,1
2017,1029,2,36,1
2017,1030,1,21,1
2017,1033,1,37,1
2017,1036,2,64,1
2017,1037,1,10,1
2017,1038,1,14,1
2017,1039,2,542,1
2017,1040,2,966,1
2017,1041,2,217,1
2017,1042,2,174,1
2017,1043,1,259,1
2017,1044,1,604,1
2017,1046,2,81,1
2017,1047,1,54,1
2017,1050,1,69,1
2017,1053,1,661,1
2017,1054,2,400,1
2017,1056,2,346,1
2017,1059,2,273,1
2017,1060,1,105,1
2017,1061,2,235,1
2017,1062,1,216,1
2017,1063,2,91,1
2017,1070,1,2,1
2017,1071,2,3,1
2017,1072,1,1,1
2017,1074,1,6,1
2017,1077,1,22,1
2017,1078,1,548,1
2017,1079,2,295,1
2017,1080,1,914,1
2017,1081,1,505,1
