año,codigo snies del programa,id genero,matriculados,semestre
2015,1,2,637,2
2015,2,2,559,2
2015,3,1,369,2
2015,4,2,294,2
2015,5,1,485,2
2015,6,2,266,2
2015,7,1,612,2
2015,8,2,240,2
2015,9,1,1452,2
2015,10,2,369,2
2015,11,2,548,2
2015,12,1,139,2
2015,13,2,466,2
2015,14,1,789,2
2015,15,1,422,2
2015,16,1,488,2
2015,17,1,802,2
2015,18,2,801,2
2015,19,2,685,2
2015,20,2,303,2
2015,21,1,192,2
2015,22,2,202,2
2015,23,2,660,2
2015,24,2,418,2
2015,25,1,1159,2
2015,26,2,821,2
2015,27,2,632,2
2015,28,1,769,2
2015,29,1,1188,2
2015,30,2,666,2
2015,31,2,626,2
2015,32,2,405,2
2015,33,1,457,2
2015,34,1,442,2
2015,35,1,302,2
2015,36,2,430,2
2015,37,2,737,2
2015,40,2,2,2
2015,47,2,5,2
2015,48,1,27,2
2015,51,2,14,2
2015,61,1,1,2
2015,63,2,6,2
2015,65,2,2,2
2015,66,2,1,2
2015,69,2,64,2
2015,70,2,148,2
2015,71,2,68,2
2015,79,1,17,2
2015,80,1,24,2
2015,85,2,29,2
2015,86,1,51,2
2015,87,1,20,2
2015,88,1,40,2
2015,89,2,71,2
2015,90,2,45,2
2015,91,2,45,2
2015,92,2,45,2
2015,93,2,11,2
2015,95,1,45,2
2015,96,2,49,2
2015,97,2,20,2
2015,98,1,39,2
2015,99,2,44,2
2015,100,1,50,2
2015,101,1,43,2
2015,103,2,46,2
2015,104,2,106,2
2015,105,1,133,2
2015,106,1,44,2
2015,107,2,39,2
2015,108,1,78,2
2015,109,2,30,2
2015,110,1,30,2
2015,111,2,43,2
2015,112,2,40,2
2015,113,1,309,2
2015,114,2,314,2
2015,115,2,252,2
2015,116,2,313,2
2015,117,2,837,2
2015,118,1,435,2
2015,119,2,501,2
2015,120,1,428,2
2015,121,2,612,2
2015,122,2,559,2
2015,123,2,589,2
2015,124,2,492,2
2015,125,1,607,2
2015,126,1,463,2
2015,127,1,582,2
2015,128,2,309,2
2015,129,2,153,2
2015,132,2,17,2
2015,134,1,16,2
2015,135,2,33,2
2015,136,2,59,2
2015,137,1,46,2
2015,139,1,59,2
2015,140,1,25,2
2015,141,1,14,2
2015,142,2,29,2
2015,143,2,306,2
2015,144,2,292,2
2015,146,2,489,2
2015,147,1,320,2
2015,149,2,535,2
2015,150,2,557,2
2015,151,2,724,2
2015,153,2,504,2
2015,154,2,503,2
2015,155,1,249,2
2015,156,2,352,2
2015,157,1,360,2
2015,158,2,428,2
2015,159,2,532,2
2015,161,1,19,2
2015,163,1,6,2
2015,165,2,36,2
2015,170,1,76,2
2015,172,1,46,2
2015,173,2,64,2
2015,174,2,35,2
2015,175,1,182,2
2015,176,2,182,2
2015,177,1,387,2
2015,178,1,427,2
2015,180,2,482,2
2015,181,2,415,2
2015,182,1,445,2
2015,187,2,2,2
2015,188,1,189,2
2015,189,1,866,2
2015,190,1,921,2
2015,191,2,593,2
2015,192,1,545,2
2015,193,1,534,2
2015,194,1,25,2
2015,195,2,89,2
2015,197,1,66,2
2015,204,2,49,2
2015,205,2,50,2
2015,207,2,49,2
2015,208,2,67,2
2015,210,1,380,2
2015,212,2,558,2
2015,213,2,480,2
2015,215,2,413,2
2015,216,2,347,2
2015,217,2,500,2
2015,218,1,469,2
2015,222,1,60,2
2015,223,1,78,2
2015,224,2,238,2
2015,225,1,86,2
2015,229,2,233,2
2015,230,2,372,2
2015,232,2,222,2
2015,233,2,1748,2
2015,234,1,528,2
2015,235,2,580,2
2015,236,1,855,2
2015,238,2,662,2
2015,239,1,3,2
2015,240,1,9,2
2015,241,2,12,2
2015,242,2,9,2
2015,243,2,9,2
2015,244,1,11,2
2015,245,2,76,2
2015,252,1,18,2
2015,256,1,14,2
2015,257,2,598,2
2015,258,2,480,2
2015,260,2,288,2
2015,263,2,361,2
2015,265,2,5,2
2015,266,2,175,2
2015,267,2,732,2
2015,268,2,716,2
2015,269,2,1004,2
2015,270,1,998,2
2015,271,2,961,2
2015,272,1,904,2
2015,273,1,797,2
2015,275,2,78,2
2015,276,2,83,2
2015,278,1,20,2
2015,279,1,44,2
2015,281,2,557,2
2015,282,1,161,2
2015,283,2,256,2
2015,284,2,163,2
2015,288,1,521,2
2015,289,1,312,2
2015,290,2,497,2
2015,291,1,596,2
2015,292,1,538,2
2015,293,1,314,2
2015,294,2,581,2
2015,295,2,118,2
2015,296,1,599,2
2015,297,2,8,2
2015,298,1,8,2
2015,302,1,8,2
2015,303,1,10,2
2015,305,2,5,2
2015,306,2,6,2
2015,308,2,12,2
2015,310,1,25,2
2015,311,2,19,2
2015,312,2,12,2
2015,314,1,11,2
2015,316,2,6,2
2015,320,2,597,2
2015,321,2,405,2
2015,325,2,382,2
2015,326,2,552,2
2015,327,1,739,2
2015,332,2,27,2
2015,334,1,1,2
2015,337,1,322,2
2015,338,2,525,2
2015,340,2,624,2
2015,341,1,298,2
2015,342,1,481,2
2015,343,1,75,2
2015,344,2,26,2
2015,347,1,935,2
2015,351,1,304,2
2015,352,2,624,2
2015,354,1,60,2
2015,358,2,68,2
2015,361,2,1683,2
2015,362,2,430,2
2015,363,1,532,2
2015,364,2,459,2
2015,365,1,1309,2
2015,371,2,2,2
2015,372,2,5,2
2015,376,1,1,2
2015,395,1,61,2
2015,399,2,1,2
2015,400,1,69,2
2015,401,2,54,2
2015,403,2,72,2
2015,404,1,35,2
2015,405,1,299,2
2015,406,1,1,2
2015,407,2,45,2
2015,408,2,164,2
2015,409,2,3,2
2015,412,2,327,2
2015,413,2,627,2
2015,417,2,169,2
2015,420,1,273,2
2015,426,1,487,2
2015,429,1,96,2
2015,430,2,550,2
2015,432,2,240,2
2015,433,1,1,2
2015,438,1,619,2
2015,439,2,760,2
2015,440,2,745,2
2015,441,1,319,2
2015,444,2,608,2
2015,445,2,543,2
2015,446,1,584,2
2015,448,2,628,2
2015,450,2,684,2
2015,451,1,465,2
2015,452,1,564,2
2015,453,2,251,2
2015,454,1,216,2
2015,455,2,326,2
2015,456,2,68,2
2015,458,2,28,2
2015,460,2,9,2
2015,462,1,19,2
2015,463,1,9,2
2015,464,2,37,2
2015,465,1,3,2
2015,466,2,13,2
2015,467,2,13,2
2015,468,2,9,2
2015,469,2,13,2
2015,470,2,3,2
2015,471,2,13,2
2015,472,1,40,2
2015,473,2,20,2
2015,474,1,15,2
2015,476,2,3,2
2015,477,2,9,2
2015,478,1,29,2
2015,479,2,10,2
2015,481,2,10,2
2015,482,2,8,2
2015,484,1,23,2
2015,485,2,9,2
2015,494,2,42,2
2015,503,2,18,2
2015,504,2,18,2
2015,507,2,13,2
2015,510,1,9,2
2015,511,2,19,2
2015,512,2,1,2
2015,513,2,10,2
2015,515,2,25,2
2015,516,1,56,2
2015,517,1,28,2
2015,519,2,53,2
2015,521,2,24,2
2015,522,2,184,2
2015,523,1,324,2
2015,530,1,548,2
2015,532,2,638,2
2015,535,1,1118,2
2015,536,1,935,2
2015,537,1,880,2
2015,538,2,860,2
2015,539,1,308,2
2015,540,2,758,2
2015,549,1,181,2
2015,551,1,157,2
2015,555,2,245,2
2015,557,2,192,2
2015,559,2,263,2
2015,565,2,122,2
2015,566,1,180,2
2015,568,2,158,2
2015,569,1,166,2
2015,570,2,498,2
2015,571,1,208,2
2015,572,2,189,2
2015,573,1,231,2
2015,574,1,337,2
2015,575,1,214,2
2015,576,2,187,2
2015,577,1,223,2
2015,578,1,82,2
2015,579,1,419,2
2015,580,1,498,2
2015,581,2,551,2
2015,582,2,171,2
2015,583,2,249,2
2015,584,1,264,2
2015,585,1,240,2
2015,586,1,256,2
2015,587,2,307,2
2015,588,2,232,2
2015,589,2,244,2
2015,590,2,5,2
2015,591,2,387,2
2015,592,1,247,2
2015,593,1,222,2
2015,594,1,128,2
2015,595,2,105,2
2015,596,2,301,2
2015,599,2,12,2
2015,600,1,2,2
2015,601,2,11,2
2015,602,2,10,2
2015,603,2,20,2
2015,604,1,10,2
2015,605,2,16,2
2015,606,2,4,2
2015,607,2,5,2
2015,608,1,6,2
2015,609,2,12,2
2015,610,1,8,2
2015,611,2,24,2
2015,612,1,12,2
2015,613,2,6,2
2015,614,1,3,2
2015,615,1,28,2
2015,616,2,16,2
2015,618,1,1,2
2015,621,2,7,2
2015,622,2,8,2
2015,623,1,10,2
2015,626,1,51,2
2015,628,1,29,2
2015,633,1,14,2
2015,636,1,13,2
2015,640,1,10,2
2015,642,1,16,2
2015,643,2,17,2
2015,645,1,134,2
2015,650,1,60,2
2015,651,2,72,2
2015,652,2,62,2
2015,654,1,18,2
2015,655,2,81,2
2015,656,1,44,2
2015,657,1,65,2
2015,658,1,43,2
2015,659,1,44,2
2015,660,1,366,2
2015,662,1,90,2
2015,663,2,32,2
2015,664,2,30,2
2015,670,1,42,2
2015,672,2,22,2
2015,673,1,15,2
2015,674,1,28,2
2015,676,2,38,2
2015,677,2,49,2
2015,678,1,22,2
2015,679,2,18,2
2015,680,2,32,2
2015,683,1,524,2
2015,684,2,313,2
2015,685,2,264,2
2015,687,2,175,2
2015,689,2,229,2
2015,690,1,217,2
2015,691,1,696,2
2015,692,2,182,2
2015,693,1,453,2
2015,694,1,291,2
2015,695,1,16,2
2015,696,2,1373,2
2015,697,2,1293,2
2015,698,1,507,2
2015,699,2,870,2
2015,700,2,1561,2
2015,701,2,156,2
2015,702,2,493,2
2015,703,1,1432,2
2015,704,1,250,2
2015,705,1,123,2
2015,706,2,540,2
2015,707,2,371,2
2015,715,1,12,2
2015,717,2,12,2
2015,719,2,14,2
2015,726,1,14,2
2015,728,2,58,2
2015,731,2,15,2
2015,732,1,29,2
2015,733,2,34,2
2015,736,1,447,2
2015,737,1,683,2
2015,738,2,471,2
2015,739,1,421,2
2015,740,2,876,2
2015,741,1,363,2
2015,742,2,909,2
2015,744,1,140,2
2015,745,1,194,2
2015,746,2,225,2
2015,747,2,494,2
2015,748,2,270,2
2015,749,1,8,2
2015,750,2,16,2
2015,751,1,3,2
2015,753,1,8,2
2015,754,1,6,2
2015,755,1,4,2
2015,756,2,15,2
2015,758,1,1,2
2015,759,2,7,2
2015,760,1,47,2
2015,761,1,8,2
2015,762,2,15,2
2015,766,1,23,2
2015,767,1,48,2
2015,770,2,21,2
2015,772,1,20,2
2015,774,2,2,2
2015,777,1,182,2
2015,779,2,382,2
2015,783,2,124,2
2015,786,2,657,2
2015,788,1,380,2
2015,789,2,517,2
2015,790,1,218,2
2015,791,1,852,2
2015,794,2,14,2
2015,796,1,5,2
2015,799,1,276,2
2015,800,1,249,2
2015,801,1,303,2
2015,803,1,227,2
2015,805,2,311,2
2015,807,1,314,2
2015,808,1,351,2
2015,809,1,43,2
2015,810,2,403,2
2015,811,1,438,2
2015,817,2,32,2
2015,818,2,50,2
2015,819,2,259,2
2015,827,2,971,2
2015,829,1,225,2
2015,831,1,242,2
2015,834,2,810,2
2015,835,1,565,2
2015,839,2,138,2
2015,841,2,7,2
2015,842,1,436,2
2015,843,2,40,2
2015,847,2,35,2
2015,849,1,4,2
2015,850,1,78,2
2015,852,2,386,2
2015,854,1,468,2
2015,855,1,1538,2
2015,856,1,468,2
2015,857,2,594,2
2015,858,1,4,2
2015,863,2,4,2
2015,866,1,546,2
2015,870,1,499,2
2015,873,2,198,2
2015,882,2,454,2
2015,884,2,382,2
2015,885,2,413,2
2015,889,1,344,2
2015,895,1,10,2
2015,898,2,374,2
2015,902,1,263,2
2015,904,2,442,2
2015,906,2,346,2
2015,907,1,321,2
2015,908,2,430,2
2015,910,2,734,2
2015,911,1,3,2
2015,912,1,3,2
2015,913,2,619,2
2015,914,2,357,2
2015,915,2,652,2
2015,916,2,580,2
2015,917,1,1242,2
2015,918,2,1064,2
2015,919,1,1001,2
2015,920,2,1163,2
2015,921,2,552,2
2015,923,2,38,2
2015,924,1,4,2
2015,925,2,1037,2
2015,926,1,526,2
2015,933,1,28,2
2015,935,1,560,2
2015,936,2,31,2
2015,937,1,80,2
2015,943,2,154,2
2015,944,2,335,2
2015,946,2,325,2
2015,947,2,588,2
2015,948,2,210,2
2015,949,1,520,2
2015,950,1,824,2
2015,951,2,1112,2
2015,952,1,549,2
2015,953,2,1590,2
2015,954,2,703,2
2015,955,1,114,2
2015,956,1,131,2
2015,957,2,96,2
2015,958,2,232,2
2015,959,2,713,2
2015,960,2,510,2
2015,961,1,1382,2
2015,962,2,915,2
2015,964,2,279,2
2015,965,1,49,2
2015,967,2,18,2
2015,968,2,25,2
2015,969,2,8,2
2015,971,2,16,2
2015,972,2,17,2
2015,973,2,42,2
2015,974,2,4,2
2015,975,2,2,2
2015,976,1,6,2
2015,977,2,8,2
2015,978,2,9,2
2015,979,2,5,2
2015,980,2,29,2
2015,981,1,24,2
2015,982,2,6,2
2015,983,1,6,2
2015,984,1,34,2
2015,985,1,24,2
2015,986,1,18,2
2015,988,2,8,2
2015,990,1,28,2
2015,991,2,25,2
2015,992,2,19,2
2015,994,1,16,2
2015,995,1,8,2
2015,997,1,16,2
2015,998,2,18,2
2015,999,1,20,2
2015,1001,2,57,2
2015,1002,1,5,2
2015,1003,1,37,2
2015,1005,2,32,2
2015,1006,2,12,2
2015,1007,1,16,2
2015,1008,1,78,2
2015,1009,2,31,2
2015,1010,2,82,2
2015,1012,2,435,2
2015,1018,2,33,2
2015,1019,1,27,2
2015,1020,1,51,2
2015,1021,1,19,2
2015,1025,1,41,2
2015,1026,2,98,2
2015,1028,1,42,2
2015,1029,1,56,2
2015,1030,1,26,2
2015,1033,1,33,2
2015,1036,1,70,2
2015,1037,1,8,2
2015,1038,2,10,2
2015,1039,2,455,2
2015,1040,2,1061,2
2015,1041,1,208,2
2015,1042,2,113,2
2015,1043,2,198,2
2015,1044,1,685,2
2015,1046,2,70,2
2015,1047,2,67,2
2015,1050,1,102,2
2015,1053,1,851,2
2015,1054,2,318,2
2015,1056,1,520,2
2015,1059,1,292,2
2015,1060,1,151,2
2015,1061,2,335,2
2015,1062,1,268,2
2015,1063,1,98,2
2015,1069,1,1,2
2015,1070,2,2,2
2015,1071,2,2,2
2015,1072,1,2,2
2015,1074,2,32,2
2015,1077,2,16,2
2015,1078,2,517,2
2015,1079,2,261,2
2015,1080,1,816,2
2015,1081,1,522,2
2015,1082,1,12,2
2015,1083,1,254,2
2015,1084,2,629,2
2015,1085,2,241,2
2015,1086,2,381,2
2015,1087,2,101,2
2015,1088,2,4,2
2015,1091,2,52,2
2015,1092,1,21,2
2015,1094,2,30,2
2015,1096,2,116,2
2015,1097,2,898,2
2015,1098,1,1152,2
2015,1099,1,120,2
2015,1101,2,90,2
2015,1102,2,316,2
2015,1103,2,721,2
2015,1104,1,62,2
2015,1110,1,642,2
2015,1111,1,128,2
2015,1112,1,1600,2
2015,1113,1,212,2
2015,1114,2,804,2
2015,1115,2,445,2
2015,1116,2,377,2
2015,1117,1,259,2
2015,1120,2,105,2
2015,1121,1,18,2
2015,1125,2,91,2
2015,1126,1,78,2
2015,1131,1,37,2
2015,1132,1,20,2
2015,1136,2,49,2
2015,1138,2,216,2
2015,1143,1,1099,2
2015,1144,2,1136,2
2015,1145,1,2,2
2015,1146,2,1025,2
2015,1147,1,555,2
2015,1148,2,235,2
2015,1149,2,126,2
2015,1150,1,437,2
2015,1151,2,408,2
2015,1152,1,275,2
2015,1153,2,28,2
2015,1155,1,479,2
2015,1156,2,90,2
2015,1158,1,208,2
2015,1163,2,22,2
2015,1166,2,135,2
2015,1169,1,1743,2
2015,1170,1,1364,2
2015,1172,1,488,2
2015,1173,2,571,2
2015,1175,2,421,2
2015,1176,2,91,2
2015,1178,1,466,2
2015,1179,2,541,2
2015,1180,1,362,2
2015,1185,1,14,2
2015,1192,2,997,2
2015,1193,2,315,2
2015,1195,2,665,2
2015,1196,2,512,2
2015,1197,2,60,2
2015,1198,1,10,2
2015,1199,1,141,2
2015,1200,2,195,2
2015,1201,2,179,2
2015,1202,1,329,2
2015,1203,2,323,2
2015,1204,2,21,2
2015,1205,1,1114,2
2015,1206,1,3,2
2015,1207,1,8,2
2015,1208,1,11,2
2015,1210,2,15,2
2015,1211,2,6,2
2015,1212,2,12,2
2015,1213,2,9,2
2015,1214,1,9,2
2015,1216,2,8,2
2015,1217,1,14,2
2015,1218,2,16,2
2015,1219,2,22,2
2015,1220,2,30,2
2015,1224,2,20,2
2015,1227,1,77,2
2015,1228,1,36,2
2015,1229,2,31,2
2015,1236,2,186,2
2015,1237,2,929,2
2015,1238,1,594,2
2015,1239,2,534,2
2015,1240,1,598,2
2015,1241,1,72,2
2015,1242,2,81,2
2015,1244,2,995,2
2015,1246,2,155,2
2015,1247,1,782,2
2015,1248,1,350,2
2015,1249,1,386,2
2015,1250,1,573,2
2015,1251,2,257,2
2015,1252,2,163,2
2015,1254,2,177,2
2015,1256,1,54,2
2015,1258,1,16,2
2015,1261,1,28,2
2015,1263,1,9,2
2015,1264,2,33,2
2015,1265,2,197,2
2015,1266,1,23,2
