año,codigo snies del programa,graduados,id genero,semestre
2011,1,37,1,1
2011,2,32,2,1
2011,3,51,2,1
2011,4,20,2,1
2011,5,31,2,1
2011,6,12,2,1
2011,7,66,1,1
2011,8,23,2,1
2011,9,122,2,1
2011,10,25,1,1
2011,11,51,1,1
2011,12,31,1,1
2011,13,39,1,1
2011,14,64,1,1
2011,15,40,2,1
2011,16,31,1,1
2011,17,65,1,1
2011,18,56,1,1
2011,19,72,2,1
2011,20,15,2,1
2011,21,22,1,1
2011,22,17,1,1
2011,23,62,2,1
2011,24,14,1,1
2011,25,35,1,1
2011,26,38,1,1
2011,27,23,2,1
2011,28,47,1,1
2011,29,67,2,1
2011,30,54,2,1
2011,31,46,1,1
2011,32,27,1,1
2011,33,20,1,1
2011,34,24,2,1
2011,35,23,1,1
2011,36,38,2,1
2011,37,58,2,1
2011,38,5,2,1
2011,39,1,1,1
2011,40,2,2,1
2011,41,2,2,1
2011,45,2,1,1
2011,46,9,2,1
2011,47,3,1,1
2011,48,10,2,1
2011,49,1,1,1
2011,50,2,1,1
2011,51,4,1,1
2011,52,5,1,1
2011,53,2,2,1
2011,55,13,1,1
2011,57,5,2,1
2011,58,3,1,1
2011,59,2,1,1
2011,60,2,1,1
2011,61,1,1,1
2011,63,3,2,1
2011,64,3,2,1
2011,65,2,2,1
2011,66,3,2,1
2011,67,2,1,1
2011,69,8,1,1
2011,70,107,1,1
2011,79,10,2,1
2011,85,20,2,1
2011,86,1,1,1
2011,87,2,2,1
2011,88,6,1,1
2011,89,9,1,1
2011,90,5,1,1
2011,91,23,1,1
2011,92,4,1,1
2011,93,4,1,1
2011,95,3,1,1
2011,96,3,2,1
2011,97,2,1,1
2011,99,2,1,1
2011,100,2,1,1
2011,101,6,1,1
2011,102,5,1,1
2011,103,8,1,1
2011,104,2,1,1
2011,105,12,1,1
2011,106,7,2,1
2011,107,13,1,1
2011,108,18,1,1
2011,109,3,1,1
2011,110,2,1,1
2011,111,4,1,1
2011,112,3,1,1
2011,113,20,2,1
2011,114,21,2,1
2011,115,40,1,1
2011,116,17,1,1
2011,117,42,2,1
2011,118,9,2,1
2011,119,32,2,1
2011,120,9,2,1
2011,121,54,2,1
2011,122,40,1,1
2011,123,39,1,1
2011,124,16,1,1
2011,125,42,1,1
2011,126,4,2,1
2011,127,55,2,1
2011,128,30,2,1
2011,129,8,1,1
2011,132,2,1,1
2011,134,15,1,1
2011,135,3,1,1
2011,136,7,1,1
2011,137,4,2,1
2011,139,8,1,1
2011,140,6,2,1
2011,141,6,1,1
2011,142,5,2,1
2011,143,9,2,1
2011,144,10,1,1
2011,146,40,2,1
2011,147,21,1,1
2011,149,53,2,1
2011,150,40,1,1
2011,151,35,2,1
2011,152,35,1,1
2011,153,35,2,1
2011,154,48,2,1
2011,155,18,2,1
2011,156,30,1,1
2011,157,26,2,1
2011,158,25,1,1
2011,159,27,2,1
2011,165,3,1,1
2011,170,11,1,1
2011,172,6,1,1
