año,codigo snies del programa,graduados,id genero,semestre
2009,1,41,1,2
2009,2,33,2,2
2009,3,27,2,2
2009,4,14,2,2
2009,5,42,1,2
2009,6,6,2,2
2009,7,81,2,2
2009,8,25,1,2
2009,9,95,2,2
2009,10,56,2,2
2009,11,47,2,2
2009,12,15,2,2
2009,13,31,1,2
2009,14,44,1,2
2009,15,23,2,2
2009,16,30,1,2
2009,17,15,1,2
2009,18,66,2,2
2009,19,65,1,2
2009,20,10,2,2
2009,21,10,2,2
2009,22,11,1,2
2009,23,13,1,2
2009,24,7,1,2
2009,25,16,1,2
2009,26,29,1,2
2009,27,18,1,2
2009,28,22,2,2
2009,29,27,2,2
2009,30,32,2,2
2009,31,27,2,2
2009,32,13,2,2
2009,33,10,1,2
2009,34,20,1,2
2009,35,11,2,2
2009,36,42,2,2
2009,37,20,1,2
2009,42,13,2,2
2009,48,3,1,2
2009,51,8,2,2
2009,63,11,2,2
2009,69,15,1,2
2009,70,84,1,2
2009,71,8,1,2
2009,74,1,1,2
2009,77,2,1,2
2009,79,18,1,2
2009,85,10,1,2
2009,86,6,2,2
2009,87,1,2,2
2009,88,11,2,2
2009,89,10,2,2
2009,90,2,1,2
2009,91,3,1,2
2009,92,12,1,2
2009,93,3,2,2
2009,94,2,1,2
2009,96,8,1,2
2009,97,1,1,2
2009,98,1,1,2
2009,99,1,1,2
2009,100,5,1,2
2009,101,2,2,2
2009,102,4,2,2
2009,103,3,2,2
2009,104,5,1,2
2009,105,4,1,2
2009,106,6,1,2
2009,107,9,1,2
2009,108,16,1,2
2009,110,5,2,2
2009,111,7,2,2
2009,113,25,1,2
2009,114,7,2,2
2009,115,20,1,2
2009,116,1,1,2
2009,117,25,1,2
2009,118,5,1,2
2009,119,8,2,2
2009,120,5,2,2
2009,121,24,2,2
2009,122,15,2,2
2009,123,14,2,2
2009,124,1,1,2
2009,125,16,1,2
2009,126,2,2,2
2009,127,37,1,2
2009,128,8,1,2
2009,129,4,1,2
2009,135,1,1,2
2009,136,3,1,2
2009,137,6,1,2
2009,139,2,2,2
2009,140,4,1,2
2009,141,4,1,2
2009,142,1,1,2
2009,143,28,1,2
2009,144,16,1,2
2009,146,25,2,2
2009,147,34,2,2
2009,149,66,1,2
2009,150,72,1,2
