año,codigo snies del programa,graduados,id genero,semestre
2005,1,121,2,2
2005,2,97,2,2
2005,3,94,1,2
2005,4,14,1,2
2005,5,50,2,2
2005,6,16,1,2
2005,7,102,1,2
2005,8,37,1,2
2005,9,260,2,2
2005,10,90,1,2
2005,11,48,2,2
2005,12,16,2,2
2005,13,102,2,2
2005,14,104,1,2
2005,15,65,1,2
2005,16,167,2,2
2005,17,70,2,2
2005,18,71,1,2
2005,19,79,2,2
2005,20,47,2,2
2005,21,26,1,2
2005,22,15,1,2
2005,23,105,2,2
2005,24,41,2,2
2005,25,132,2,2
2005,26,119,2,2
2005,27,67,1,2
2005,28,108,2,2
2005,29,147,1,2
2005,30,66,1,2
2005,31,50,2,2
2005,32,30,2,2
2005,33,19,2,2
2005,34,55,2,2
2005,35,39,2,2
2005,36,33,1,2
2005,37,46,1,2
2005,41,1,2,2
2005,46,4,2,2
2005,47,1,1,2
2005,50,1,2,2
2005,51,6,2,2
2005,53,1,2,2
2005,57,2,2,2
2005,58,1,2,2
2005,62,5,2,2
2005,64,1,1,2
2005,69,3,2,2
2005,70,54,2,2
2005,71,24,2,2
2005,74,7,1,2
2005,75,3,2,2
2005,77,3,1,2
2005,79,3,2,2
2005,82,1,1,2
2005,84,1,1,2
2005,85,10,2,2
2005,86,2,1,2
2005,87,4,2,2
2005,88,3,2,2
2005,89,16,2,2
2005,90,5,2,2
2005,92,2,2,2
2005,94,4,1,2
2005,95,4,1,2
2005,96,7,2,2
2005,98,1,2,2
2005,99,1,1,2
2005,100,4,1,2
2005,101,1,1,2
2005,102,1,1,2
2005,104,1,1,2
2005,105,9,1,2
2005,106,11,2,2
2005,107,10,1,2
2005,108,2,2,2
2005,109,2,2,2
2005,111,1,1,2
2005,112,1,1,2
2005,113,10,1,2
2005,114,13,2,2
2005,115,20,2,2
2005,116,7,1,2
2005,117,54,2,2
2005,118,6,1,2
2005,119,18,2,2
2005,120,21,1,2
2005,121,44,2,2
2005,122,16,1,2
2005,123,20,2,2
2005,124,25,2,2
2005,125,29,1,2
2005,126,14,1,2
2005,127,34,2,2
2005,128,13,1,2
2005,129,4,1,2
2005,131,2,2,2
2005,134,5,2,2
2005,135,2,1,2
2005,137,2,2,2
2005,139,1,2,2
2005,141,1,1,2
2005,142,2,2,2
2005,143,26,2,2
2005,144,20,2,2
2005,146,40,2,2
2005,147,33,1,2
2005,148,1,2,2
2005,149,53,1,2
2005,150,55,2,2
2005,151,55,1,2
2005,152,37,1,2
2005,153,56,1,2
2005,154,38,2,2
2005,155,31,1,2
2005,156,39,2,2
2005,157,48,2,2
2005,158,55,2,2
2005,159,35,2,2
2005,161,11,2,2
2005,162,3,1,2
2005,164,2,2,2
2005,166,7,1,2
2005,167,6,1,2
2005,168,5,2,2
