año,codigo snies del programa,graduados,id genero,semestre
2001,2,21,2,2
2001,3,16,1,2
2001,7,57,1,2
2001,8,11,1,2
2001,9,145,2,2
2001,10,27,1,2
2001,11,64,1,2
2001,12,9,2,2
2001,13,15,2,2
2001,14,29,2,2
2001,15,28,1,2
2001,16,20,1,2
2001,17,61,2,2
2001,18,41,1,2
2001,19,40,1,2
2001,20,11,2,2
2001,21,7,2,2
2001,22,6,1,2
2001,23,24,2,2
2001,24,9,2,2
2001,25,45,1,2
2001,26,55,2,2
2001,27,53,1,2
2001,28,50,2,2
2001,29,56,1,2
2001,42,8,2,2
2001,44,6,2,2
2001,51,6,2,2
2001,62,1,1,2
2001,68,5,1,2
2001,71,33,2,2
2001,73,12,2,2
2001,74,4,1,2
2001,75,1,2,2
2001,76,4,1,2
2001,77,7,1,2
2001,78,6,1,2
2001,80,1,1,2
2001,87,1,2,2
2001,88,4,2,2
2001,89,15,2,2
2001,90,3,1,2
2001,91,6,2,2
2001,93,3,1,2
2001,94,2,1,2
2001,96,2,1,2
2001,98,1,1,2
2001,100,2,2,2
2001,101,1,1,2
2001,113,19,2,2
2001,114,18,2,2
2001,115,3,1,2
2001,116,5,2,2
2001,117,68,2,2
2001,118,7,2,2
2001,119,7,1,2
2001,120,13,1,2
2001,121,33,1,2
2001,122,23,1,2
2001,123,19,1,2
2001,124,12,2,2
2001,125,36,1,2
2001,126,7,2,2
2001,127,33,1,2
2001,128,14,1,2
2001,129,1,1,2
2001,133,4,1,2
2001,134,1,1,2
2001,135,4,2,2
2001,141,1,1,2
2001,143,17,1,2
2001,144,14,1,2
2001,146,10,1,2
2001,147,32,2,2
2001,148,74,1,2
2001,149,61,1,2
2001,150,23,2,2
2001,151,113,2,2
2001,152,34,2,2
2001,153,36,1,2
2001,154,61,1,2
2001,155,13,1,2
2001,156,10,1,2
2001,157,29,1,2
2001,158,26,2,2
2001,159,28,1,2
2001,161,1,2,2
2001,162,6,1,2
2001,163,14,1,2
2001,164,2,1,2
2001,166,59,2,2
2001,167,1,1,2
2001,168,5,2,2
2001,169,5,2,2
2001,170,12,1,2
2001,171,1,2,2
2001,172,8,1,2
2001,173,3,2,2
2001,175,10,2,2
2001,176,10,1,2
2001,177,34,2,2
2001,178,26,2,2
2001,180,38,1,2
2001,181,23,2,2
2001,182,23,2,2
2001,186,28,2,2
2001,188,11,1,2
2001,189,36,1,2
2001,190,35,2,2
2001,191,14,2,2
2001,192,14,2,2
2001,193,18,2,2
2001,208,5,1,2
2001,210,8,2,2
2001,211,24,1,2
2001,212,14,1,2
2001,213,18,2,2
2001,214,55,1,2
2001,215,22,1,2
2001,216,6,1,2
2001,217,38,1,2
2001,218,16,2,2
2001,219,255,1,2
2001,224,1,2,2
2001,226,4,2,2
2001,227,7,2,2
2001,231,4,1,2
2001,232,4,1,2
2001,233,26,2,2
2001,234,25,2,2
2001,235,24,2,2
2001,236,46,1,2
2001,238,38,2,2
2001,257,19,2,2
2001,258,5,1,2
2001,259,15,2,2
2001,260,20,2,2
2001,262,9,1,2
2001,263,1,1,2
2001,264,1,2,2
2001,265,25,2,2
2001,266,1,1,2
2001,267,29,1,2
2001,268,16,2,2
2001,270,26,1,2
2001,271,56,1,2
2001,272,27,1,2
2001,273,16,2,2
2001,274,2,1,2
2001,275,2,1,2
2001,276,19,1,2
2001,280,42,2,2
2001,281,31,1,2
2001,282,3,1,2
2001,283,25,1,2
2001,284,1,2,2
2001,285,68,2,2
2001,288,28,1,2
2001,289,21,2,2
2001,290,43,1,2
2001,291,37,1,2
2001,292,25,2,2
2001,294,23,2,2
2001,297,1,1,2
2001,302,1,2,2
2001,303,1,1,2
2001,306,1,1,2
2001,310,12,1,2
2001,315,1,1,2
2001,316,3,2,2
2001,320,18,1,2
2001,321,8,1,2
2001,322,12,2,2
2001,323,20,2,2
2001,324,16,2,2
2001,325,25,1,2
2001,326,10,1,2
2001,327,54,2,2
2001,329,14,2,2
2001,330,19,1,2
2001,331,7,2,2
2001,334,20,2,2
2001,335,20,2,2
2001,336,24,1,2
2001,337,64,1,2
2001,338,42,1,2
2001,341,5,1,2
2001,342,13,2,2
2001,343,2,1,2
2001,344,1,1,2
2001,348,12,1,2
2001,349,2,1,2
2001,351,12,1,2
2001,360,40,1,2
2001,361,47,2,2
2001,362,40,2,2
2001,363,85,1,2
2001,364,55,1,2
2001,365,63,1,2
2001,366,1,1,2
2001,381,7,1,2
2001,382,2,1,2
2001,383,1,1,2
2001,385,1,1,2
2001,393,2,2,2
2001,395,35,2,2
2001,398,3,2,2
2001,399,1,1,2
2001,400,8,2,2
2001,401,23,1,2
2001,402,3,2,2
2001,405,3,1,2
2001,406,8,1,2
2001,409,8,1,2
2001,410,35,2,2
2001,411,44,2,2
2001,412,32,2,2
2001,413,44,1,2
2001,415,29,1,2
2001,417,9,1,2
2001,418,37,2,2
2001,419,1,1,2
2001,420,18,2,2
2001,424,5,2,2
2001,425,9,2,2
2001,427,58,1,2
2001,428,92,1,2
2001,429,19,1,2
2001,430,52,2,2
2001,431,11,2,2
2001,432,25,1,2
2001,433,33,1,2
2001,434,22,2,2
2001,435,27,2,2
2001,436,16,1,2
2001,437,70,1,2
2001,438,24,2,2
2001,439,47,1,2
2001,440,29,2,2
2001,441,9,1,2
2001,442,2,1,2
2001,443,3,1,2
2001,444,39,2,2
2001,445,20,2,2
2001,446,15,1,2
2001,447,22,2,2
2001,448,23,1,2
2001,449,9,1,2
2001,450,27,2,2
2001,451,19,2,2
2001,452,18,1,2
2001,453,5,2,2
2001,454,7,2,2
2001,455,5,1,2
2001,456,2,1,2
2001,458,7,1,2
2001,460,2,2,2
2001,461,10,2,2
2001,462,6,2,2
2001,463,2,1,2
2001,464,7,2,2
2001,465,2,2,2
2001,466,2,1,2
2001,467,1,2,2
2001,468,3,2,2
2001,469,3,1,2
2001,470,3,1,2
2001,471,2,2,2
2001,472,5,2,2
2001,473,3,2,2
2001,474,4,2,2
2001,477,1,1,2
2001,478,7,2,2
2001,479,3,1,2
2001,480,3,2,2
2001,481,2,1,2
2001,483,4,1,2
2001,484,6,1,2
2001,485,2,1,2
2001,486,6,1,2
