año,codigo snies del programa,graduados,id genero,semestre
2009,1,54,1,1
2009,2,30,1,1
2009,3,49,1,1
2009,4,19,1,1
2009,5,39,2,1
2009,6,28,1,1
2009,7,95,1,1
2009,8,7,2,1
2009,9,78,2,1
2009,10,22,2,1
2009,11,38,2,1
2009,12,20,1,1
2009,13,29,2,1
2009,14,31,2,1
2009,15,33,2,1
2009,16,34,2,1
2009,17,40,2,1
2009,18,60,1,1
2009,19,63,1,1
2009,20,23,1,1
2009,21,15,1,1
2009,22,19,2,1
2009,23,93,2,1
2009,24,41,1,1
2009,25,165,2,1
2009,26,85,1,1
2009,27,22,1,1
2009,28,71,1,1
2009,29,112,2,1
2009,30,64,1,1
2009,31,31,1,1
2009,32,8,2,1
2009,33,34,1,1
2009,34,28,2,1
2009,35,29,2,1
2009,36,40,2,1
2009,37,82,2,1
2009,38,6,2,1
2009,40,2,1,1
2009,41,2,2,1
2009,42,1,2,1
2009,44,2,2,1
2009,45,2,2,1
2009,46,7,1,1
2009,47,4,2,1
2009,48,10,2,1
2009,50,2,2,1
2009,52,4,1,1
2009,53,2,2,1
2009,55,12,2,1
2009,58,3,1,1
2009,59,2,1,1
2009,60,2,1,1
2009,61,2,1,1
2009,62,20,1,1
2009,64,3,2,1
2009,66,2,2,1
2009,67,1,1,1
2009,69,8,1,1
2009,70,192,2,1
2009,71,62,1,1
2009,75,1,2,1
2009,77,6,2,1
2009,79,12,1,1
2009,80,2,1,1
2009,82,1,1,1
2009,85,21,2,1
2009,86,7,1,1
2009,87,2,1,1
2009,88,12,2,1
2009,89,19,1,1
2009,90,7,1,1
2009,91,10,1,1
2009,92,6,1,1
2009,93,3,1,1
2009,94,7,2,1
2009,95,3,1,1
2009,96,2,2,1
2009,97,2,2,1
2009,98,2,1,1
2009,99,5,1,1
2009,100,7,1,1
2009,101,2,1,1
2009,102,6,2,1
2009,103,1,2,1
2009,104,8,1,1
2009,105,9,2,1
2009,106,8,2,1
2009,107,20,1,1
2009,108,13,2,1
2009,109,3,2,1
2009,110,1,1,1
2009,111,5,1,1
2009,113,8,1,1
2009,114,26,2,1
2009,115,23,2,1
2009,116,6,1,1
2009,117,74,1,1
2009,118,22,1,1
2009,119,38,1,1
2009,120,22,1,1
2009,121,52,2,1
2009,122,47,2,1
2009,123,37,1,1
2009,124,34,1,1
2009,125,69,2,1
2009,126,12,1,1
2009,127,40,1,1
2009,128,10,2,1
2009,129,7,2,1
2009,131,6,1,1
2009,134,2,1,1
2009,135,2,2,1
2009,136,10,2,1
2009,137,6,2,1
2009,139,13,1,1
2009,140,4,2,1
2009,141,5,1,1
2009,142,4,2,1
2009,143,14,1,1
2009,144,14,2,1
2009,146,28,1,1
2009,147,23,1,1
2009,149,42,1,1
2009,150,54,1,1
2009,151,40,2,1
2009,152,33,2,1
2009,153,30,2,1
2009,154,34,2,1
2009,155,22,1,1
2009,156,22,1,1
2009,157,33,2,1
2009,158,40,2,1
2009,159,35,1,1
2009,161,31,1,1
2009,162,7,1,1
2009,163,1,1,1
2009,165,1,1,1
2009,166,10,2,1
2009,170,2,2,1
2009,172,1,2,1
2009,173,15,2,1
2009,174,5,1,1
2009,175,1,2,1
2009,176,3,2,1
2009,177,37,2,1
2009,178,46,2,1
2009,180,37,1,1
2009,181,17,1,1
2009,182,21,1,1
2009,186,2,1,1
2009,188,26,2,1
2009,189,44,1,1
2009,190,25,2,1
2009,191,34,1,1
2009,192,8,1,1
2009,193,27,1,1
2009,204,2,2,1
2009,205,1,1,1
2009,207,2,1,1
2009,208,20,1,1
2009,210,18,2,1
2009,211,17,2,1
2009,212,22,2,1
2009,213,20,1,1
2009,215,16,1,1
2009,216,22,2,1
2009,217,33,2,1
2009,218,16,1,1
2009,222,1,1,1
2009,223,5,2,1
2009,224,3,2,1
2009,225,5,1,1
2009,226,1,2,1
2009,229,3,2,1
2009,230,36,1,1
2009,231,47,2,1
2009,232,7,2,1
2009,233,49,1,1
2009,234,28,2,1
2009,235,16,2,1
2009,236,28,1,1
2009,238,50,2,1
2009,245,24,1,1
2009,246,3,1,1
2009,252,4,2,1
2009,254,2,2,1
2009,257,19,1,1
2009,258,6,1,1
2009,259,17,2,1
2009,260,17,2,1
2009,263,1,1,1
2009,266,4,2,1
2009,267,2,2,1
2009,268,13,2,1
2009,269,18,1,1
2009,270,27,2,1
2009,271,73,1,1
2009,272,18,1,1
2009,273,20,2,1
2009,276,2,1,1
2009,278,3,1,1
2009,279,3,1,1
2009,280,41,2,1
2009,281,40,2,1
2009,282,8,1,1
2009,283,27,1,1
2009,284,27,2,1
2009,285,1,1,1
2009,288,42,2,1
2009,289,39,1,1
2009,290,45,1,1
2009,291,44,2,1
2009,292,66,2,1
2009,293,4,2,1
2009,294,41,2,1
2009,295,9,1,1
2009,296,32,2,1
2009,297,2,1,1
2009,298,1,2,1
2009,306,3,1,1
2009,308,1,1,1
2009,310,30,2,1
2009,311,2,1,1
2009,313,2,2,1
2009,314,10,2,1
2009,315,3,2,1
2009,320,44,2,1
2009,321,1,1,1
2009,325,1,1,1
2009,326,9,2,1
2009,327,11,2,1
2009,332,32,2,1
2009,335,1,2,1
2009,338,33,2,1
2009,340,38,1,1
2009,341,18,1,1
2009,342,33,2,1
2009,343,8,2,1
2009,344,7,2,1
2009,347,56,2,1
2009,351,6,1,1
2009,354,1,1,1
2009,356,5,1,1
2009,357,4,1,1
2009,360,27,1,1
2009,361,24,1,1
2009,362,5,2,1
2009,363,28,1,1
2009,364,29,2,1
2009,365,6,1,1
2009,366,7,1,1
2009,368,2,1,1
2009,369,1,2,1
2009,370,2,2,1
2009,372,3,2,1
2009,374,1,1,1
2009,375,7,1,1
2009,377,1,1,1
2009,378,1,1,1
2009,379,2,1,1
2009,380,1,1,1
2009,381,2,2,1
2009,383,1,1,1
2009,384,2,2,1
2009,385,13,2,1
2009,387,1,1,1
2009,389,1,1,1
2009,393,3,1,1
2009,395,1,2,1
2009,400,21,1,1
2009,401,60,1,1
2009,403,47,2,1
2009,404,48,2,1
2009,412,31,1,1
2009,413,51,1,1
2009,416,1,1,1
2009,417,10,2,1
2009,420,35,2,1
2009,426,30,2,1
2009,427,79,2,1
2009,428,109,2,1
2009,429,50,1,1
2009,430,53,1,1
2009,431,38,2,1
2009,432,2,2,1
2009,433,16,1,1
2009,434,54,2,1
2009,435,32,1,1
2009,436,23,1,1
2009,437,61,2,1
2009,438,29,1,1
2009,439,68,1,1
2009,440,57,1,1
2009,441,8,2,1
2009,442,6,2,1
2009,444,46,2,1
2009,445,24,2,1
2009,446,47,1,1
2009,447,53,2,1
2009,448,47,1,1
2009,450,45,1,1
2009,451,30,1,1
2009,452,51,1,1
2009,453,16,1,1
2009,454,9,2,1
2009,455,20,2,1
2009,456,61,1,1
2009,471,1,1,1
2009,482,1,1,1
2009,490,2,1,1
2009,492,24,2,1
2009,493,1,1,1
2009,494,7,1,1
2009,503,4,2,1
2009,504,1,2,1
2009,507,5,2,1
2009,511,1,1,1
2009,512,3,1,1
2009,513,1,1,1
2009,516,6,1,1
2009,517,4,1,1
2009,519,7,2,1
2009,522,11,2,1
2009,523,8,2,1
2009,530,19,2,1
2009,531,32,2,1
2009,532,65,1,1
2009,535,16,1,1
2009,536,35,2,1
2009,537,24,2,1
2009,538,40,2,1
2009,539,8,1,1
2009,540,32,1,1
