año,codigo snies del programa,graduados,id genero,semestre
2010,1,31,2,2
2010,2,21,1,2
2010,3,19,2,2
2010,4,22,2,2
2010,5,33,1,2
2010,6,12,1,2
2010,7,92,2,2
2010,9,90,2,2
2010,10,10,2,2
2010,13,55,2,2
2010,14,52,1,2
2010,15,24,1,2
2010,16,21,2,2
2010,17,73,1,2
2010,18,111,2,2
2010,19,57,1,2
2010,20,8,1,2
2010,21,13,1,2
2010,22,3,1,2
2010,23,44,1,2
2010,24,2,2,2
2010,25,10,1,2
2010,26,19,1,2
2010,27,12,1,2
2010,28,12,1,2
2010,29,20,2,2
2010,30,26,2,2
2010,31,34,1,2
2010,32,18,1,2
2010,33,19,2,2
2010,34,6,1,2
2010,35,19,1,2
2010,36,23,2,2
2010,37,34,2,2
2010,51,2,2,2
2010,53,1,1,2
2010,65,2,1,2
2010,69,13,1,2
2010,70,41,1,2
2010,71,15,1,2
2010,77,2,1,2
2010,79,14,1,2
2010,85,13,2,2
2010,86,5,2,2
2010,87,3,2,2
2010,88,12,1,2
2010,89,4,2,2
2010,90,4,1,2
2010,91,3,1,2
2010,92,5,1,2
2010,93,4,1,2
2010,95,3,1,2
2010,96,2,1,2
2010,98,2,2,2
2010,99,1,2,2
2010,101,1,1,2
2010,102,3,1,2
2010,103,1,1,2
2010,104,8,2,2
2010,105,6,2,2
2010,106,9,2,2
2010,107,14,2,2
2010,108,14,1,2
2010,109,5,2,2
2010,111,5,2,2
2010,112,3,1,2
2010,113,10,2,2
2010,114,30,1,2
2010,115,11,1,2
2010,116,6,1,2
2010,117,41,2,2
2010,118,18,2,2
2010,119,39,2,2
2010,120,18,2,2
2010,121,42,1,2
2010,122,38,1,2
2010,123,38,2,2
2010,124,19,1,2
2010,125,59,1,2
2010,126,9,2,2
2010,127,57,1,2
2010,128,12,2,2
2010,129,2,1,2
2010,132,2,1,2
2010,135,2,1,2
2010,136,4,1,2
2010,137,2,1,2
2010,139,6,2,2
2010,141,2,1,2
2010,142,7,1,2
2010,143,8,1,2
2010,144,9,1,2
2010,146,35,1,2
2010,147,26,2,2
2010,149,66,1,2
2010,150,77,1,2
2010,151,40,1,2
2010,152,54,2,2
2010,153,45,2,2
2010,154,38,1,2
2010,155,27,2,2
2010,156,24,2,2
2010,157,39,1,2
2010,158,53,1,2
2010,159,46,1,2
2010,161,3,2,2
2010,163,4,1,2
2010,165,4,2,2
2010,170,9,2,2
2010,172,16,2,2
2010,173,22,2,2
2010,174,1,2,2
2010,175,5,2,2
2010,176,7,1,2
2010,177,18,2,2
2010,178,21,1,2
2010,180,26,1,2
2010,181,30,1,2
2010,182,5,1,2
2010,187,1,1,2
2010,188,14,2,2
2010,189,19,2,2
2010,190,12,2,2
2010,191,23,2,2
2010,192,13,2,2
2010,193,16,2,2
2010,194,6,2,2
2010,195,250,2,2
2010,197,57,1,2
2010,204,4,1,2
2010,205,6,2,2
2010,207,6,1,2
2010,208,13,2,2
2010,210,8,1,2
2010,211,17,1,2
2010,212,19,1,2
2010,213,23,1,2
2010,215,14,1,2
2010,216,21,2,2
2010,217,32,1,2
2010,218,21,2,2
2010,222,2,2,2
2010,223,8,2,2
2010,224,1,2,2
2010,225,1,1,2
2010,229,2,2,2
2010,230,18,1,2
2010,232,9,2,2
2010,233,62,2,2
2010,234,19,2,2
2010,235,31,2,2
2010,236,44,2,2
2010,238,55,1,2
2010,240,2,1,2
2010,241,2,1,2
2010,242,2,2,2
2010,243,3,1,2
2010,244,3,2,2
2010,245,30,1,2
2010,256,1,1,2
2010,257,61,1,2
2010,258,33,1,2
2010,260,22,1,2
2010,262,1,1,2
2010,263,30,2,2
2010,265,3,1,2
2010,266,13,1,2
2010,267,70,1,2
2010,268,43,2,2
2010,269,46,1,2
2010,270,63,1,2
2010,271,141,2,2
2010,272,40,1,2
2010,273,44,2,2
2010,275,8,2,2
2010,276,30,1,2
2010,278,2,1,2
2010,279,9,1,2
2010,280,38,2,2
2010,281,21,1,2
2010,282,4,1,2
2010,283,11,2,2
2010,284,5,2,2
2010,288,29,1,2
2010,289,15,2,2
2010,290,47,2,2
2010,291,31,2,2
2010,292,28,2,2
2010,293,32,2,2
2010,294,41,2,2
2010,295,2,2,2
2010,296,20,1,2
2010,298,1,2,2
2010,301,1,2,2
2010,303,1,1,2
2010,308,1,1,2
2010,310,38,1,2
2010,311,2,2,2
2010,316,2,2,2
2010,320,51,2,2
2010,321,127,2,2
2010,325,67,2,2
2010,326,33,2,2
2010,327,45,2,2
2010,332,12,2,2
2010,335,1,2,2
2010,337,33,2,2
2010,338,3,2,2
2010,340,2,2,2
2010,341,3,1,2
2010,342,15,2,2
2010,343,9,2,2
2010,344,19,1,2
2010,347,5,1,2
2010,351,40,1,2
2010,352,74,1,2
2010,360,39,1,2
2010,361,94,1,2
2010,362,11,2,2
2010,363,87,1,2
2010,364,44,2,2
2010,365,16,2,2
2010,366,1,1,2
2010,367,3,1,2
2010,372,3,2,2
2010,375,1,2,2
2010,381,12,1,2
2010,382,1,1,2
2010,383,1,2,2
2010,385,4,1,2
2010,387,1,1,2
2010,389,1,2,2
2010,390,1,2,2
2010,393,14,1,2
2010,395,4,1,2
2010,400,2,1,2
2010,401,60,2,2
2010,402,1,2,2
2010,403,43,1,2
2010,404,35,1,2
2010,405,26,2,2
2010,406,8,1,2
2010,407,2,1,2
2010,408,25,2,2
2010,409,24,2,2
2010,412,3,2,2
2010,413,54,2,2
2010,417,10,1,2
2010,420,7,2,2
2010,421,1,2,2
