año,codigo snies del programa,graduados,id genero,semestre
2002,2,14,1,1
2002,3,17,1,1
2002,4,2,1,1
2002,5,18,2,1
2002,6,6,1,1
2002,7,49,2,1
2002,8,9,1,1
2002,9,122,2,1
2002,10,34,2,1
2002,11,6,1,1
2002,12,12,1,1
2002,13,9,2,1
2002,14,38,2,1
2002,15,14,1,1
2002,16,8,2,1
2002,17,41,1,1
2002,18,26,2,1
2002,19,31,1,1
2002,20,8,2,1
2002,21,2,1,1
2002,22,5,1,1
2002,23,31,2,1
2002,24,16,2,1
2002,25,41,1,1
2002,26,53,2,1
2002,27,35,2,1
2002,28,35,1,1
2002,29,59,1,1
2002,30,4,2,1
2002,31,4,1,1
2002,32,3,1,1
2002,33,5,1,1
2002,34,1,1,1
2002,35,4,2,1
2002,36,9,2,1
2002,37,24,1,1
2002,38,3,1,1
2002,39,2,1,1
2002,40,4,1,1
2002,41,2,2,1
2002,46,10,2,1
2002,47,2,2,1
2002,48,15,2,1
2002,49,2,1,1
2002,50,5,2,1
2002,52,5,1,1
2002,53,3,2,1
2002,54,1,1,1
2002,55,11,1,1
2002,57,2,1,1
2002,58,4,1,1
2002,60,2,1,1
2002,61,1,2,1
2002,62,18,2,1
2002,64,9,2,1
2002,65,1,1,1
2002,66,3,2,1
2002,67,1,1,1
2002,71,7,2,1
2002,73,4,1,1
2002,74,2,1,1
2002,75,2,1,1
2002,77,7,1,1
2002,79,8,1,1
2002,80,3,1,1
2002,81,2,1,1
2002,82,1,2,1
2002,86,2,1,1
2002,87,2,1,1
2002,88,1,1,1
2002,89,3,2,1
2002,90,3,2,1
2002,91,1,1,1
2002,92,3,1,1
2002,93,3,1,1
2002,94,1,2,1
2002,98,2,2,1
2002,99,2,1,1
2002,100,3,1,1
2002,101,1,1,1
2002,104,2,1,1
2002,105,2,1,1
2002,107,4,2,1
2002,110,1,1,1
2002,111,1,1,1
2002,113,14,1,1
2002,114,6,1,1
2002,115,2,1,1
2002,116,10,1,1
2002,117,49,1,1
2002,118,7,2,1
2002,119,19,1,1
2002,120,11,1,1
2002,121,60,2,1
2002,122,15,1,1
2002,123,14,1,1
2002,124,4,1,1
2002,125,32,1,1
2002,126,7,1,1
2002,127,20,1,1
2002,129,2,1,1
2002,132,2,1,1
2002,134,1,1,1
2002,135,5,2,1
2002,142,1,2,1
2002,143,6,1,1
2002,144,10,1,1
2002,146,3,2,1
2002,147,2,1,1
2002,149,3,1,1
2002,150,4,2,1
2002,151,24,2,1
2002,152,5,1,1
2002,155,4,1,1
2002,156,1,1,1
2002,157,3,2,1
2002,158,2,2,1
2002,159,8,2,1
2002,162,1,2,1
2002,163,6,2,1
2002,166,36,2,1
2002,168,3,1,1
2002,169,3,1,1
2002,170,1,1,1
2002,171,1,1,1
2002,173,1,1,1
2002,175,5,2,1
2002,176,2,2,1
2002,177,36,2,1
2002,178,21,1,1
2002,180,31,1,1
2002,181,9,2,1
2002,182,18,2,1
2002,186,5,1,1
2002,188,18,2,1
