año,codigo snies del programa,id genero,inscritos,semestre
2014,38,2,129,1
2014,39,2,65,1
2014,40,2,125,1
2014,41,2,198,1
2014,45,2,7,1
2014,46,2,175,1
2014,47,1,70,1
2014,48,2,403,1
2014,49,1,48,1
2014,50,2,68,1
2014,51,2,87,1
2014,52,2,156,1
2014,53,2,91,1
2014,55,1,342,1
2014,57,2,61,1
2014,58,2,202,1
2014,59,2,8,1
2014,60,2,76,1
2014,61,1,73,1
2014,63,2,2,1
2014,64,1,260,1
2014,65,1,1,1
2014,66,2,24,1
2014,67,1,70,1
2014,79,2,13,1
2014,86,2,7,1
2014,87,2,20,1
2014,88,1,55,1
2014,89,1,25,1
2014,90,1,36,1
2014,92,2,17,1
2014,96,1,16,1
2014,98,2,5,1
2014,104,1,48,1
2014,105,2,37,1
2014,106,2,43,1
2014,107,2,27,1
2014,108,2,22,1
2014,109,1,27,1
2014,110,1,5,1
2014,111,2,12,1
2014,112,1,8,1
2014,132,2,13,1
2014,134,1,19,1
2014,135,2,3,1
2014,136,2,16,1
2014,137,2,14,1
2014,139,2,48,1
2014,140,1,16,1
2014,141,2,18,1
2014,142,2,8,1
2014,146,2,486,1
2014,147,2,84,1
2014,149,2,1184,1
2014,150,2,173,1
2014,151,1,1362,1
2014,153,1,1169,1
2014,154,2,472,1
2014,155,2,78,1
2014,156,1,95,1
2014,157,2,222,1
2014,158,2,142,1
2014,159,2,328,1
2014,161,2,41,1
2014,162,2,1,1
2014,165,2,5,1
2014,170,2,109,1
2014,172,2,76,1
2014,173,2,19,1
2014,174,2,13,1
2014,175,2,65,1
2014,176,2,88,1
2014,177,2,102,1
2014,178,2,88,1
2014,180,1,221,1
2014,181,2,76,1
2014,182,1,144,1
2014,188,2,252,1
2014,189,2,148,1
2014,190,2,200,1
2014,191,1,134,1
2014,192,2,171,1
2014,193,1,74,1
2014,194,1,12,1
2014,195,1,27,1
2014,197,1,15,1
2014,204,2,23,1
2014,205,2,12,1
2014,207,2,7,1
2014,210,2,47,1
2014,212,2,112,1
2014,213,1,159,1
2014,215,2,151,1
2014,217,1,208,1
2014,218,1,301,1
2014,219,2,41,1
2014,222,1,58,1
2014,223,2,60,1
2014,224,2,57,1
2014,229,2,112,1
2014,230,1,1091,1
2014,232,1,113,1
2014,233,1,1084,1
2014,234,2,439,1
2014,235,1,611,1
2014,236,2,973,1
2014,238,2,437,1
2014,257,1,72,1
2014,258,1,66,1
2014,260,1,78,1
2014,263,1,160,1
2014,266,2,58,1
2014,267,2,654,1
2014,268,1,194,1
2014,269,1,252,1
2014,270,2,165,1
2014,271,2,514,1
2014,272,1,219,1
2014,273,1,125,1
2014,275,2,5,1
2014,276,1,42,1
2014,278,2,8,1
2014,279,2,24,1
2014,280,2,169,1
2014,281,1,394,1
2014,282,2,39,1
2014,283,2,276,1
2014,284,1,132,1
2014,288,1,327,1
2014,289,1,88,1
2014,290,1,433,1
2014,291,1,1297,1
2014,292,1,386,1
2014,293,1,64,1
2014,294,2,465,1
2014,296,1,518,1
2014,297,1,3,1
2014,298,1,2,1
2014,302,2,3,1
2014,303,1,4,1
2014,306,1,1,1
2014,308,1,3,1
2014,310,2,24,1
2014,312,2,8,1
2014,315,2,6,1
2014,317,2,6,1
2014,320,1,184,1
2014,321,2,113,1
2014,325,2,338,1
2014,326,1,106,1
2014,327,2,133,1
2014,337,2,150,1
2014,338,1,347,1
2014,340,2,164,1
2014,341,1,63,1
2014,342,2,361,1
2014,343,1,13,1
2014,344,1,9,1
2014,347,1,176,1
2014,351,2,64,1
2014,352,1,201,1
2014,361,1,513,1
2014,362,2,141,1
2014,363,2,176,1
2014,364,1,219,1
2014,365,2,500,1
2014,366,1,111,1
2014,367,1,6,1
2014,368,1,89,1
2014,369,1,27,1
2014,370,2,116,1
2014,371,1,8,1
2014,372,1,69,1
2014,374,2,19,1
2014,375,1,273,1
2014,376,2,5,1
2014,377,1,1,1
2014,378,1,31,1
2014,379,2,24,1
2014,380,1,26,1
2014,382,1,54,1
2014,383,2,86,1
2014,384,2,10,1
2014,385,1,220,1
2014,386,1,21,1
2014,387,2,40,1
2014,388,2,4,1
2014,389,2,5,1
2014,390,2,30,1
2014,391,1,78,1
2014,394,2,16,1
2014,395,2,61,1
2014,400,1,10,1
2014,401,2,167,1
2014,403,2,1409,1
2014,404,1,363,1
2014,405,2,344,1
2014,407,1,19,1
2014,408,2,94,1
2014,412,2,141,1
2014,413,2,733,1
2014,417,2,76,1
2014,420,1,578,1
2014,426,2,395,1
2014,427,1,2146,1
2014,429,2,865,1
2014,430,2,1847,1
2014,431,1,263,1
2014,432,1,60,1
2014,434,2,2056,1
2014,435,1,577,1
2014,436,2,234,1
2014,437,2,1775,1
2014,438,2,374,1
2014,439,2,1365,1
2014,440,2,933,1
2014,441,1,139,1
2014,442,1,168,1
2014,444,2,1169,1
2014,445,2,381,1
2014,446,2,464,1
2014,448,1,977,1
2014,450,1,466,1
2014,451,2,128,1
2014,452,1,376,1
2014,453,2,123,1
2014,454,1,103,1
2014,455,1,94,1
2014,456,2,350,1
2014,489,2,8,1
2014,494,2,21,1
2014,510,2,19,1
2014,513,1,30,1
2014,515,1,5,1
2014,516,1,8,1
2014,517,1,6,1
2014,519,1,13,1
2014,521,1,8,1
2014,522,1,168,1
2014,523,2,208,1
2014,530,2,2113,1
2014,531,1,2791,1
2014,532,2,258,1
2014,535,1,3043,1
2014,536,2,1936,1
2014,537,2,740,1
2014,538,1,1040,1
2014,539,1,245,1
2014,549,2,91,1
2014,551,2,97,1
2014,557,1,72,1
2014,559,2,266,1
2014,570,2,1093,1
2014,573,2,204,1
2014,574,2,374,1
2014,575,2,141,1
2014,579,1,199,1
2014,580,1,254,1
2014,581,2,368,1
2014,582,2,123,1
2014,583,2,398,1
2014,584,2,288,1
2014,585,1,160,1
2014,586,2,190,1
2014,587,2,355,1
2014,588,2,220,1
2014,589,1,295,1
2014,591,1,114,1
2014,592,1,233,1
2014,593,1,195,1
2014,594,2,86,1
2014,595,2,110,1
2014,596,1,148,1
2014,677,2,17,1
2014,683,1,180,1
2014,684,1,144,1
2014,685,1,92,1
2014,687,1,67,1
2014,689,1,223,1
2014,690,2,123,1
2014,691,2,817,1
2014,692,2,120,1
2014,693,1,177,1
2014,694,1,5,1
2014,696,1,661,1
2014,697,1,1066,1
2014,698,2,271,1
2014,699,2,291,1
2014,700,1,558,1
2014,701,1,578,1
2014,702,2,304,1
2014,703,1,569,1
2014,704,1,136,1
2014,705,2,83,1
2014,706,2,677,1
2014,707,1,161,1
2014,709,2,3,1
2014,710,1,4,1
2014,711,1,5,1
2014,712,1,1,1
2014,713,1,2,1
2014,714,2,4,1
2014,715,2,15,1
2014,716,2,4,1
2014,728,2,9,1
2014,731,2,2,1
2014,732,1,5,1
2014,733,1,2,1
