Codigo SNIES del programa,Año,Semestre,ID Sexo,Inscripciones
1,2019,2,1,96
2,2019,2,1,53
3,2019,2,1,61
4,2019,2,2,33
5,2019,2,1,47
6,2019,2,2,30
7,2019,2,2,99
8,2019,2,1,56
9,2019,2,1,139
10,2019,2,1,59
11,2019,2,1,98
13,2019,2,2,45
14,2019,2,2,88
15,2019,2,1,59
16,2019,2,2,52
17,2019,2,1,102
18,2019,2,1,119
19,2019,2,2,123
20,2019,2,2,51
21,2019,2,2,1
23,2019,2,1,71
24,2019,2,1,101
25,2019,2,2,130
27,2019,2,2,70
28,2019,2,1,93
29,2019,2,2,152
30,2019,2,1,84
31,2019,2,2,36
32,2019,2,1,62
33,2019,2,1,81
34,2019,2,2,41
35,2019,2,1,38
36,2019,2,1,78
37,2019,2,2,64
48,2019,2,1,521
65,2019,2,1,3
69,2019,2,1,59
70,2019,2,1,43
79,2019,2,2,12
80,2019,2,2,42
85,2019,2,1,91
86,2019,2,1,4
91,2019,2,1,16
92,2019,2,1,19
93,2019,2,2,28
95,2019,2,2,26
96,2019,2,1,11
97,2019,2,1,17
99,2019,2,1,2
100,2019,2,1,37
101,2019,2,2,36
103,2019,2,1,27
104,2019,2,1,59
105,2019,2,2,26
107,2019,2,1,7
108,2019,2,2,28
109,2019,2,2,12
110,2019,2,2,8
111,2019,2,2,16
112,2019,2,2,6
113,2019,2,2,103
114,2019,2,2,56
115,2019,2,1,69
116,2019,2,1,86
117,2019,2,1,112
118,2019,2,2,54
119,2019,2,1,54
120,2019,2,1,80
121,2019,2,1,70
122,2019,2,2,94
123,2019,2,2,94
124,2019,2,1,67
125,2019,2,2,73
126,2019,2,1,52
127,2019,2,1,73
128,2019,2,1,46
129,2019,2,1,28
132,2019,2,2,11
135,2019,2,1,8
136,2019,2,1,12
137,2019,2,1,9
142,2019,2,2,5
143,2019,2,2,68
144,2019,2,2,29
146,2019,2,1,290
147,2019,2,1,31
151,2019,2,1,533
155,2019,2,2,20
156,2019,2,1,50
157,2019,2,1,108
158,2019,2,1,85
159,2019,2,1,162
165,2019,2,2,4
169,2019,2,1,54
172,2019,2,2,7
173,2019,2,1,7
176,2019,2,1,1
178,2019,2,1,197
180,2019,2,2,292
181,2019,2,1,185
188,2019,2,1,248
189,2019,2,1,330
190,2019,2,1,421
191,2019,2,1,140
192,2019,2,2,188
193,2019,2,1,207
194,2019,2,1,12
195,2019,2,1,24
197,2019,2,1,28
210,2019,2,1,139
212,2019,2,1,186
213,2019,2,2,131
215,2019,2,2,118
216,2019,2,1,99
217,2019,2,1,142
218,2019,2,2,105
224,2019,2,1,51
225,2019,2,2,79
229,2019,2,2,105
230,2019,2,1,306
232,2019,2,1,2
233,2019,2,1,450
234,2019,2,2,206
235,2019,2,1,247
236,2019,2,1,299
238,2019,2,2,153
239,2019,2,1,14
240,2019,2,1,128
241,2019,2,1,82
242,2019,2,1,51
243,2019,2,1,117
244,2019,2,2,78
245,2019,2,1,32
257,2019,2,2,111
267,2019,2,1,434
268,2019,2,1,202
269,2019,2,2,204
270,2019,2,2,95
271,2019,2,2,263
272,2019,2,1,108
275,2019,2,2,2
278,2019,2,1,1
279,2019,2,1,20
281,2019,2,1,5
288,2019,2,1,112
289,2019,2,2,207
290,2019,2,1,55
291,2019,2,1,233
292,2019,2,1,7
293,2019,2,2,344
294,2019,2,1,128
296,2019,2,2,74
297,2019,2,2,1
310,2019,2,1,29
312,2019,2,2,8
313,2019,2,1,15
314,2019,2,1,1
320,2019,2,2,182
325,2019,2,2,296
326,2019,2,2,53
327,2019,2,1,85
337,2019,2,1,113
338,2019,2,1,189
340,2019,2,2,276
341,2019,2,2,66
342,2019,2,2,30
343,2019,2,2,8
347,2019,2,1,133
351,2019,2,2,50
354,2019,2,1,9
358,2019,2,1,13
361,2019,2,1,392
362,2019,2,1,135
363,2019,2,2,190
364,2019,2,1,99
365,2019,2,1,178
395,2019,2,1,83
401,2019,2,2,97
403,2019,2,1,1017
404,2019,2,2,249
405,2019,2,2,191
406,2019,2,1,10
407,2019,2,1,43
412,2019,2,2,83
413,2019,2,1,435
417,2019,2,2,45
426,2019,2,2,291
427,2019,2,1,701
429,2019,2,1,660
430,2019,2,1,627
431,2019,2,1,167
432,2019,2,1,46
434,2019,2,2,847
435,2019,2,2,345
436,2019,2,2,152
437,2019,2,1,915
438,2019,2,1,251
439,2019,2,1,585
440,2019,2,1,450
441,2019,2,2,105
442,2019,2,2,119
444,2019,2,1,569
445,2019,2,2,165
446,2019,2,1,174
448,2019,2,1,243
450,2019,2,2,169
451,2019,2,2,120
452,2019,2,1,249
453,2019,2,1,129
454,2019,2,1,138
455,2019,2,1,140
456,2019,2,2,272
458,2019,2,1,232
460,2019,2,1,224
462,2019,2,2,108
463,2019,2,2,72
464,2019,2,1,406
465,2019,2,1,3
466,2019,2,1,106
467,2019,2,1,108
468,2019,2,1,103
469,2019,2,1,191
471,2019,2,1,40
472,2019,2,1,235
473,2019,2,2,113
474,2019,2,2,209
476,2019,2,1,5
477,2019,2,1,71
479,2019,2,1,239
481,2019,2,2,34
483,2019,2,1,15
484,2019,2,2,354
485,2019,2,1,34
494,2019,2,1,26
503,2019,2,2,32
504,2019,2,1,50
515,2019,2,2,12
516,2019,2,1,9
517,2019,2,1,6
519,2019,2,1,23
522,2019,2,1,86
523,2019,2,1,93
530,2019,2,1,618
531,2019,2,1,544
532,2019,2,2,307
535,2019,2,1,451
536,2019,2,1,226
537,2019,2,2,137
538,2019,2,1,354
539,2019,2,2,190
578,2019,2,1,146
677,2019,2,2,11
683,2019,2,1,88
684,2019,2,2,99
685,2019,2,1,35
687,2019,2,2,49
689,2019,2,2,55
690,2019,2,2,133
691,2019,2,2,275
692,2019,2,2,98
693,2019,2,2,117
694,2019,2,2,137
696,2019,2,2,223
697,2019,2,2,85
698,2019,2,2,138
699,2019,2,1,103
700,2019,2,1,231
701,2019,2,1,184
702,2019,2,2,54
703,2019,2,1,108
704,2019,2,1,50
705,2019,2,2,38
706,2019,2,1,85
707,2019,2,1,74
726,2019,2,2,5
728,2019,2,2,2
731,2019,2,1,3
732,2019,2,1,3
733,2019,2,1,2
736,2019,2,2,335
737,2019,2,2,1574
738,2019,2,1,261
739,2019,2,1,339
740,2019,2,2,512
741,2019,2,1,95
742,2019,2,2,366
744,2019,2,2,23
745,2019,2,2,24
746,2019,2,1,87
747,2019,2,1,342
748,2019,2,1,93
749,2019,2,2,156
750,2019,2,1,372
751,2019,2,1,50
753,2019,2,2,176
754,2019,2,2,110
755,2019,2,2,16
756,2019,2,1,204
759,2019,2,2,116
762,2019,2,2,232
766,2019,2,1,60
770,2019,2,2,87
774,2019,2,2,6
776,2019,2,1,18
779,2019,2,1,134
786,2019,2,2,401
788,2019,2,1,403
790,2019,2,1,253
791,2019,2,2,140
794,2019,2,2,42
799,2019,2,1,65
800,2019,2,1,70
801,2019,2,1,231
803,2019,2,2,56
805,2019,2,1,50
807,2019,2,2,208
808,2019,2,2,125
809,2019,2,2,93
810,2019,2,2,95
811,2019,2,1,79
818,2019,2,2,31
819,2019,2,2,50
831,2019,2,1,4
834,2019,2,2,254
835,2019,2,2,221
839,2019,2,2,40
842,2019,2,1,69
852,2019,2,2,226
855,2019,2,1,207
856,2019,2,1,151
870,2019,2,2,153
873,2019,2,2,44
882,2019,2,2,132
884,2019,2,2,113
885,2019,2,1,117
889,2019,2,2,83
895,2019,2,2,10
898,2019,2,1,221
902,2019,2,2,64
906,2019,2,1,313
907,2019,2,2,215
908,2019,2,1,139
913,2019,2,2,85
915,2019,2,1,168
916,2019,2,2,118
917,2019,2,2,118
918,2019,2,2,485
919,2019,2,2,205
920,2019,2,1,364
921,2019,2,1,111
925,2019,2,1,188
926,2019,2,1,130
933,2019,2,2,2
936,2019,2,2,9
937,2019,2,1,3
943,2019,2,2,47
944,2019,2,1,48
946,2019,2,1,121
947,2019,2,1,71
948,2019,2,2,13
949,2019,2,2,345
950,2019,2,1,289
951,2019,2,1,498
952,2019,2,2,196
953,2019,2,2,573
954,2019,2,1,61
955,2019,2,1,33
956,2019,2,2,34
957,2019,2,2,17
958,2019,2,2,75
959,2019,2,1,104
960,2019,2,1,49
961,2019,2,1,275
962,2019,2,1,258
964,2019,2,1,66
965,2019,2,2,34
968,2019,2,1,79
972,2019,2,2,31
973,2019,2,1,160
974,2019,2,1,2
975,2019,2,2,2
979,2019,2,2,25
983,2019,2,2,1
984,2019,2,1,85
986,2019,2,2,2
990,2019,2,2,37
995,2019,2,1,4
998,2019,2,1,15
1001,2019,2,1,71
1007,2019,2,2,11
1008,2019,2,2,59
1009,2019,2,2,45
1010,2019,2,1,14
1012,2019,2,1,28
1018,2019,2,2,6
