Año,Codigo SNIES del programa,ID Sexo,Inscripciones,Semestre
2017,1,1,117,2
2017,2,1,52,2
2017,3,2,60,2
2017,4,1,31,2
2017,5,1,51,2
2017,6,1,29,2
2017,7,2,122,2
2017,8,2,52,2
2017,9,2,133,2
2017,10,1,59,2
2017,11,1,80,2
2017,13,1,42,2
2017,14,1,75,2
2017,15,2,60,2
2017,16,2,40,2
2017,17,2,98,2
2017,18,1,117,2
2017,19,2,119,2
2017,20,1,51,2
2017,23,1,92,2
2017,24,1,110,2
2017,25,2,117,2
2017,26,1,108,2
2017,27,2,57,2
2017,28,2,87,2
2017,29,2,135,2
2017,30,2,82,2
2017,31,2,66,2
2017,32,2,60,2
2017,33,2,70,2
2017,34,1,38,2
2017,35,1,54,2
2017,36,1,86,2
2017,37,2,64,2
2017,48,2,484,2
2017,65,1,2,2
2017,69,1,60,2
2017,70,1,74,2
2017,71,1,73,2
2017,79,1,17,2
2017,80,1,30,2
2017,85,1,67,2
2017,86,2,7,2
2017,91,1,22,2
2017,92,1,23,2
2017,93,1,16,2
2017,95,1,29,2
2017,96,2,23,2
2017,97,1,20,2
2017,98,1,18,2
2017,99,1,40,2
2017,100,1,38,2
2017,101,1,23,2
2017,104,2,47,2
2017,105,1,29,2
2017,107,2,12,2
2017,108,2,31,2
2017,109,1,18,2
2017,110,2,4,2
2017,111,1,8,2
2017,112,1,3,2
2017,113,1,81,2
2017,114,2,69,2
2017,115,2,62,2
2017,116,1,81,2
2017,117,2,96,2
2017,118,1,59,2
2017,119,2,63,2
2017,120,1,78,2
2017,121,2,60,2
2017,122,1,82,2
2017,123,1,95,2
2017,124,1,66,2
2017,125,2,55,2
2017,126,2,61,2
2017,127,1,62,2
2017,128,1,41,2
2017,129,2,61,2
2017,132,2,17,2
2017,135,2,5,2
2017,136,2,23,2
2017,137,2,16,2
2017,141,2,8,2
2017,142,1,8,2
2017,143,2,75,2
2017,144,2,42,2
2017,146,2,371,2
2017,147,2,53,2
2017,151,2,795,2
2017,155,1,1,2
2017,156,2,71,2
2017,157,2,150,2
2017,158,1,106,2
2017,159,1,214,2
2017,161,1,13,2
2017,165,2,13,2
2017,169,2,95,2
2017,170,2,22,2
2017,172,1,31,2
2017,173,1,6,2
2017,177,1,146,2
2017,178,1,119,2
2017,180,1,245,2
2017,181,2,106,2
2017,188,1,320,2
2017,189,2,184,2
2017,190,1,261,2
2017,191,1,161,2
2017,192,2,94,2
2017,193,1,108,2
2017,194,1,8,2
2017,195,2,15,2
2017,197,1,5,2
2017,207,2,1,2
2017,210,1,78,2
2017,212,2,113,2
2017,213,1,110,2
2017,215,2,64,2
2017,216,1,71,2
2017,217,2,143,2
2017,218,1,96,2
2017,224,2,86,2
2017,229,1,138,2
2017,230,1,1107,2
2017,233,2,1480,2
2017,234,1,482,2
2017,235,2,703,2
2017,236,2,1104,2
2017,238,1,414,2
2017,239,1,13,2
2017,240,1,187,2
2017,241,1,94,2
2017,242,2,106,2
2017,243,2,174,2
2017,244,2,110,2
2017,245,1,46,2
2017,257,2,190,2
2017,258,1,88,2
2017,260,2,1,2
2017,267,1,761,2
2017,268,2,287,2
2017,269,2,221,2
2017,270,2,98,2
2017,271,2,344,2
2017,272,2,149,2
2017,275,2,14,2
2017,279,1,5,2
2017,281,2,11,2
2017,282,2,1,2
2017,283,1,1,2
2017,288,1,9,2
2017,289,2,18,2
2017,290,2,11,2
2017,291,1,516,2
2017,292,1,3,2
2017,293,2,435,2
2017,294,2,199,2
2017,296,2,132,2
2017,310,2,27,2
2017,312,2,11,2
2017,314,1,13,2
2017,316,2,1,2
2017,320,1,224,2
2017,325,2,591,2
2017,326,1,55,2
2017,327,1,138,2
2017,337,2,162,2
2017,338,2,299,2
2017,340,1,289,2
2017,341,2,42,2
2017,342,2,55,2
2017,343,1,8,2
2017,344,2,3,2
2017,347,2,106,2
2017,351,2,59,2
2017,352,2,144,2
2017,361,2,474,2
2017,362,1,57,2
2017,363,1,133,2
2017,364,2,68,2
2017,365,1,113,2
2017,380,1,1,2
2017,395,1,58,2
2017,401,2,105,2
2017,403,2,1429,2
2017,404,2,211,2
2017,405,2,245,2
2017,406,2,12,2
2017,407,1,42,2
2017,412,1,101,2
2017,413,1,436,2
2017,417,1,53,2
2017,420,2,513,2
