año,codigo snies del programa,id genero,inscritos,semestre
2018,1,1,103,2
2018,2,1,56,2
2018,3,2,71,2
2018,4,1,31,2
2018,5,2,55,2
2018,6,1,28,2
2018,7,1,159,2
2018,8,1,56,2
2018,9,1,127,2
2018,10,2,64,2
2018,11,1,87,2
2018,13,2,44,2
2018,14,2,81,2
2018,15,2,56,2
2018,16,1,53,2
2018,17,2,99,2
2018,18,1,134,2
2018,19,1,137,2
2018,20,1,52,2
2018,23,1,92,2
2018,24,1,119,2
2018,25,2,129,2
2018,27,2,64,2
2018,28,2,88,2
2018,29,1,133,2
2018,30,1,91,2
2018,31,1,41,2
2018,32,2,63,2
2018,33,1,84,2
2018,34,2,44,2
2018,35,2,40,2
2018,36,1,81,2
2018,37,2,66,2
2018,47,2,135,2
2018,48,1,534,2
2018,65,2,2,2
2018,69,2,80,2
2018,70,2,37,2
2018,71,1,35,2
2018,79,1,13,2
2018,80,1,31,2
2018,86,2,4,2
2018,89,2,33,2
2018,91,2,20,2
2018,92,2,28,2
2018,95,2,32,2
2018,96,2,9,2
2018,97,1,19,2
2018,99,1,50,2
2018,100,1,30,2
2018,101,1,34,2
2018,104,1,41,2
2018,105,1,36,2
2018,107,1,17,2
2018,108,2,33,2
2018,109,2,9,2
2018,110,1,4,2
2018,111,1,5,2
2018,112,1,4,2
2018,113,1,104,2
2018,114,1,83,2
2018,115,2,86,2
2018,116,1,92,2
2018,117,2,102,2
2018,118,1,51,2
2018,119,1,52,2
2018,120,2,77,2
2018,121,2,64,2
2018,122,1,95,2
2018,123,2,99,2
2018,124,1,73,2
2018,125,2,71,2
2018,126,2,69,2
2018,127,1,69,2
2018,128,2,50,2
2018,129,1,71,2
2018,132,2,15,2
2018,135,1,2,2
2018,136,2,13,2
2018,137,1,16,2
2018,142,1,7,2
2018,143,2,89,2
2018,144,1,40,2
2018,146,1,356,2
2018,147,1,49,2
2018,151,1,757,2
2018,155,1,47,2
2018,156,1,70,2
2018,157,1,122,2
2018,158,1,102,2
2018,159,1,193,2
2018,161,2,5,2
2018,165,2,8,2
2018,169,1,59,2
2018,173,2,10,2
2018,178,1,167,2
2018,180,2,201,2
2018,181,1,103,2
2018,188,1,260,2
2018,189,1,183,2
2018,190,1,257,2
2018,191,1,96,2
2018,192,1,75,2
2018,193,1,121,2
2018,194,1,16,2
2018,195,1,42,2
2018,197,1,33,2
2018,207,1,6,2
2018,210,1,56,2
2018,212,2,96,2
2018,213,1,97,2
2018,215,1,60,2
2018,216,1,92,2
2018,217,2,113,2
2018,218,1,81,2
2018,224,1,60,2
2018,229,1,107,2
2018,230,1,858,2
2018,233,2,984,2
2018,234,2,409,2
2018,235,2,574,2
2018,236,2,728,2
2018,238,1,334,2
2018,239,2,6,2
2018,240,1,150,2
2018,241,1,78,2
2018,242,1,65,2
2018,243,2,125,2
2018,244,1,103,2
2018,245,2,45,2
2018,252,1,3,2
2018,257,1,134,2
2018,258,1,81,2
2018,267,1,743,2
2018,268,1,245,2
2018,269,2,192,2
2018,270,2,103,2
2018,271,2,313,2
2018,272,1,135,2
2018,275,2,10,2
2018,278,2,11,2
2018,281,1,2,2
2018,288,2,216,2
2018,289,2,344,2
2018,290,1,65,2
2018,291,2,893,2
2018,292,2,5,2
2018,293,2,4,2
2018,294,1,203,2
2018,296,2,87,2
2018,310,2,40,2
2018,312,2,11,2
2018,314,1,1,2
2018,320,1,245,2
2018,325,1,389,2
2018,326,1,86,2
2018,327,2,163,2
2018,337,1,179,2
2018,338,2,263,2
2018,340,2,150,2
2018,341,2,54,2
2018,342,2,64,2
2018,343,2,7,2
2018,347,2,54,2
2018,351,2,54,2
2018,352,2,110,2
2018,354,1,10,2
2018,358,1,11,2
2018,361,1,326,2
2018,362,2,63,2
2018,363,2,89,2
2018,364,2,61,2
2018,365,2,147,2
2018,395,1,81,2
2018,401,1,144,2
2018,403,1,1491,2
2018,404,2,241,2
2018,405,2,302,2
2018,406,1,10,2
2018,407,1,51,2
2018,412,1,111,2
2018,413,1,443,2
2018,417,2,68,2
2018,426,1,352,2
2018,427,1,1185,2
2018,429,1,860,2
2018,430,2,1027,2
2018,431,1,258,2
2018,432,2,72,2
2018,434,2,1354,2
2018,435,2,606,2
2018,436,2,222,2
2018,437,2,1349,2
2018,438,1,400,2
2018,439,1,933,2
2018,440,2,748,2
2018,441,2,123,2
2018,442,2,156,2
2018,444,1,759,2
2018,445,1,258,2
2018,446,1,232,2
2018,448,1,460,2
2018,450,1,220,2
2018,451,1,163,2
2018,452,2,335,2
2018,453,1,148,2
2018,454,2,146,2
2018,455,1,143,2
2018,456,2,372,2
2018,458,2,203,2
2018,460,1,206,2
2018,462,1,119,2
2018,463,1,65,2
2018,464,2,429,2
2018,465,1,1,2
2018,466,1,82,2
2018,467,1,104,2
2018,468,1,95,2
2018,469,1,160,2
2018,471,1,26,2
2018,472,2,257,2
2018,473,2,101,2
2018,474,2,204,2
2018,476,1,6,2
2018,477,2,82,2
2018,479,2,215,2
2018,481,1,48,2
2018,483,1,23,2
2018,484,1,360,2
2018,485,2,27,2
2018,494,2,21,2
2018,504,1,58,2
2018,515,2,10,2
2018,516,2,26,2
2018,517,1,6,2
2018,519,2,14,2
2018,521,1,6,2
2018,522,1,248,2
2018,523,1,153,2
2018,530,1,2300,2
2018,531,2,1760,2
2018,532,1,818,2
2018,535,2,1960,2
2018,536,1,1041,2
2018,537,1,390,2
2018,538,2,1128,2
2018,539,2,445,2
2018,578,2,169,2
2018,677,2,11,2
2018,683,2,80,2
2018,684,2,90,2
2018,685,2,57,2
2018,687,2,50,2
2018,689,2,76,2
2018,690,2,120,2
2018,691,2,489,2
2018,692,2,112,2
2018,693,2,174,2
2018,694,2,81,2
2018,696,1,947,2
2018,697,1,524,2
2018,698,2,149,2
2018,699,1,343,2
2018,700,1,805,2
2018,701,1,594,2
2018,702,2,73,2
2018,703,2,661,2
2018,704,1,37,2
2018,705,2,34,2
2018,706,1,125,2
2018,707,2,60,2
2018,728,1,10,2
2018,731,1,1,2
2018,732,1,6,2
2018,733,2,3,2
2018,736,1,433,2
2018,737,1,1916,2
2018,738,1,319,2
2018,739,2,442,2
2018,740,1,675,2
2018,741,1,199,2
2018,742,1,481,2
2018,744,2,38,2
2018,745,2,50,2
2018,746,1,103,2
2018,747,1,423,2
2018,748,1,114,2
2018,749,1,116,2
2018,750,2,339,2
2018,751,1,31,2
2018,753,2,140,2
2018,754,1,73,2
2018,755,2,11,2
2018,756,2,207,2
2018,759,1,94,2
2018,762,1,244,2
2018,766,1,37,2
2018,770,2,31,2
2018,774,2,4,2
2018,775,2,4,2
2018,776,2,8,2
2018,779,1,140,2
2018,786,1,542,2
2018,788,2,281,2
2018,789,2,1,2
2018,790,1,170,2
2018,791,1,139,2
2018,794,1,76,2
2018,796,2,13,2
2018,799,1,44,2
2018,800,1,48,2
2018,801,2,161,2
2018,803,2,68,2
2018,805,2,40,2
2018,807,1,144,2
2018,808,2,108,2
2018,809,1,65,2
2018,810,2,88,2
2018,811,2,65,2
2018,818,1,34,2
2018,819,1,91,2
2018,831,1,743,2
2018,834,2,356,2
2018,835,2,433,2
2018,839,2,38,2
2018,842,1,66,2
2018,852,1,276,2
2018,855,1,187,2
2018,856,2,133,2
2018,857,1,50,2
2018,870,2,153,2
2018,873,1,34,2
2018,882,1,131,2
2018,884,2,114,2
2018,885,2,127,2
2018,889,2,112,2
2018,895,1,16,2
2018,898,1,257,2
2018,902,2,83,2
2018,906,2,377,2
2018,907,2,227,2
2018,908,1,132,2
2018,913,2,103,2
2018,915,1,224,2
2018,916,2,133,2
2018,917,1,236,2
2018,918,2,637,2
2018,919,2,331,2
2018,920,2,687,2
2018,921,2,110,2
2018,925,2,142,2
2018,926,1,157,2
2018,933,1,3,2
2018,936,1,1,2
2018,937,1,3,2
2018,943,1,67,2
2018,944,1,99,2
2018,946,1,120,2
2018,947,2,77,2
2018,948,1,16,2
2018,949,2,343,2
2018,950,2,298,2
2018,951,1,549,2
2018,952,1,183,2
2018,953,2,495,2
2018,954,1,67,2
2018,955,2,33,2
2018,956,2,20,2
2018,957,1,15,2
2018,958,2,65,2
2018,959,1,172,2
2018,960,2,91,2
2018,961,2,286,2
2018,962,1,232,2
2018,964,2,69,2
2018,965,2,28,2
2018,968,1,80,2
2018,970,1,2,2
2018,972,2,38,2
2018,973,1,154,2
2018,974,1,2,2
2018,975,2,1,2
2018,976,1,32,2
2018,979,1,30,2
2018,983,2,8,2
2018,984,1,110,2
2018,986,2,2,2
2018,990,2,34,2
2018,992,2,10,2
2018,995,2,6,2
2018,998,1,21,2
2018,1001,1,67,2
2018,1007,1,13,2
2018,1008,2,66,2
2018,1009,2,53,2
2018,1010,1,23,2
2018,1012,1,59,2
2018,1018,1,6,2
2018,1019,1,8,2
2018,1020,2,11,2
2018,1027,2,27,2
2018,1028,1,5,2
2018,1029,2,7,2
2018,1030,1,12,2
2018,1036,1,26,2
2018,1037,1,2,2
2018,1038,1,2,2
2018,1039,1,77,2
2018,1040,2,138,2
2018,1041,2,11,2
2018,1042,2,36,2
2018,1043,1,25,2
2018,1044,1,74,2
2018,1046,2,38,2
2018,1047,2,14,2
2018,1053,1,276,2
2018,1054,1,360,2
2018,1056,1,258,2
2018,1059,1,135,2
2018,1060,2,95,2
2018,1061,2,150,2
2018,1062,2,132,2
2018,1063,2,62,2
2018,1078,1,50,2
2018,1079,2,48,2
2018,1080,1,146,2
2018,1081,2,35,2
2018,1082,2,10,2
2018,1083,1,45,2
2018,1084,2,90,2
2018,1085,2,24,2
2018,1086,2,68,2
2018,1087,2,49,2
2018,1088,2,16,2
2018,1091,2,15,2
2018,1092,2,7,2
2018,1094,2,6,2
2018,1096,2,14,2
2018,1097,2,94,2
2018,1098,2,145,2
2018,1099,1,16,2
2018,1101,1,8,2
2018,1102,1,35,2
2018,1103,1,72,2
2018,1104,2,7,2
2018,1110,2,106,2
2018,1111,1,20,2
2018,1112,1,337,2
2018,1113,1,84,2
2018,1114,1,200,2
2018,1115,1,146,2
2018,1116,1,76,2
2018,1117,1,38,2
2018,1120,1,115,2
2018,1121,2,18,2
2018,1125,2,106,2
2018,1126,1,53,2
2018,1130,1,21,2
2018,1138,1,45,2
2018,1143,2,94,2
2018,1144,2,71,2
2018,1146,1,79,2
2018,1147,1,84,2
2018,1148,1,32,2
2018,1149,1,23,2
2018,1151,2,47,2
2018,1152,2,40,2
2018,1155,1,30,2
2018,1156,1,25,2
2018,1158,1,28,2
2018,1166,1,3,2
2018,1169,2,122,2
2018,1170,2,207,2
2018,1172,1,41,2
2018,1173,1,143,2
2018,1175,2,125,2
2018,1176,2,64,2
2018,1178,1,40,2
2018,1179,1,27,2
2018,1180,1,19,2
2018,1192,1,80,2
2018,1193,1,48,2
2018,1195,2,78,2
2018,1196,2,46,2
2018,1197,1,14,2
2018,1199,1,16,2
2018,1200,1,10,2
2018,1201,1,16,2
2018,1202,2,23,2
2018,1203,1,25,2
2018,1204,2,2,2
2018,1205,1,120,2
2018,1206,1,2,2
2018,1207,2,3,2
2018,1208,1,4,2
2018,1210,1,6,2
2018,1211,1,2,2
2018,1212,1,3,2
2018,1213,2,3,2
2018,1214,2,3,2
2018,1217,2,12,2
2018,1218,2,1,2
2018,1219,2,2,2
2018,1224,1,6,2
2018,1227,1,211,2
2018,1228,1,6,2
2018,1229,1,3,2
2018,1236,1,82,2
2018,1237,2,229,2
2018,1238,1,197,2
2018,1239,1,226,2
2018,1240,1,222,2
2018,1241,2,18,2
2018,1242,2,35,2
2018,1244,2,147,2
2018,1245,1,301,2
2018,1246,2,24,2
2018,1247,2,43,2
2018,1248,2,63,2
2018,1249,1,24,2
2018,1250,1,47,2
2018,1251,2,1,2
2018,1252,2,51,2
2018,1254,1,86,2
2018,1256,2,33,2
2018,1259,2,4,2
2018,1261,1,9,2
2018,1263,1,1,2
2018,1264,1,12,2
2018,1265,1,76,2
2018,1267,1,22,2
2018,1268,1,100,2
2018,1269,2,481,2
2018,1270,1,137,2
2018,1271,1,155,2
2018,1272,2,184,2
2018,1273,1,120,2
