Código SNIES del programa,Año,Semestre,ID Sexo,Inscripciones 2020
1430,2020,1,2,235
1431,2020,1,2,12
1432,2020,1,2,9
1433,2020,1,2,205
1434,2020,1,1,18
1435,2020,1,1,14
1439,2020,1,1,59
1441,2020,1,1,48
1442,2020,1,1,33
1444,2020,1,1,20
1445,2020,1,1,12
1446,2020,1,2,72
1447,2020,1,2,7
1448,2020,1,2,25
1450,2020,1,1,36
1451,2020,1,2,101
1455,2020,1,1,9
1464,2020,1,1,36
1466,2020,1,1,59
1468,2020,1,1,60
1475,2020,1,1,477
1476,2020,1,1,125
1477,2020,1,1,109
1483,2020,1,2,888
1485,2020,1,1,94
1487,2020,1,2,119
1488,2020,1,2,90
1489,2020,1,1,118
1490,2020,1,1,51
1491,2020,1,2,17
1492,2020,1,1,411
1493,2020,1,2,289
1494,2020,1,1,99
1496,2020,1,1,20
1497,2020,1,1,873
1498,2020,1,1,580
1499,2020,1,1,292
1503,2020,1,2,235
1504,2020,1,2,28
1512,2020,1,1,282
1513,2020,1,1,30
1514,2020,1,2,101
1516,2020,1,1,116
1519,2020,1,2,15
1520,2020,1,2,24
1527,2020,1,1,131
1529,2020,1,1,114
1531,2020,1,1,84
1532,2020,1,2,304
1533,2020,1,2,679
1534,2020,1,2,277
1535,2020,1,1,509
1536,2020,1,1,683
1537,2020,1,1,54
1539,2020,1,2,366
1540,2020,1,2,392
1541,2020,1,1,73
1542,2020,1,1,465
1543,2020,1,1,312
1544,2020,1,1,354
1545,2020,1,2,157
1546,2020,1,2,226
1547,2020,1,2,92
1548,2020,1,1,145
1550,2020,1,1,1
1569,2020,1,1,6
1573,2020,1,1,17
1574,2020,1,1,72
1575,2020,1,1,41
1576,2020,1,1,22
1578,2020,1,1,94
1579,2020,1,1,18
1580,2020,1,1,9
1581,2020,1,2,56
1582,2020,1,2,22
1585,2020,1,2,18
1587,2020,1,1,13
1591,2020,1,1,21
1592,2020,1,1,94
1595,2020,1,1,49
1596,2020,1,2,61
1597,2020,1,1,52
1598,2020,1,1,194
1599,2020,1,1,61
1605,2020,1,1,39
1606,2020,1,2,44
1614,2020,1,1,19
1621,2020,1,2,30
1622,2020,1,1,27
1626,2020,1,1,22
1627,2020,1,2,37
1628,2020,1,2,60
1630,2020,1,1,70
1635,2020,1,2,70
1636,2020,1,2,39
1640,2020,1,1,183
1641,2020,1,1,88
1642,2020,1,1,40
1643,2020,1,2,49
1644,2020,1,1,11
1645,2020,1,1,20
1646,2020,1,1,14
1647,2020,1,2,16
1649,2020,1,2,10
1650,2020,1,1,20
1651,2020,1,2,72
1652,2020,1,2,27
1653,2020,1,2,26
1654,2020,1,1,567
1655,2020,1,1,207
1656,2020,1,2,50
1657,2020,1,2,42
1658,2020,1,2,22
1667,2020,1,1,239
1668,2020,1,1,191
1676,2020,1,1,522
1677,2020,1,1,2
1678,2020,1,1,7
1679,2020,1,2,6
1680,2020,1,1,15
1681,2020,1,2,26
1682,2020,1,1,3
1683,2020,1,2,3
1687,2020,1,1,9
1688,2020,1,1,18
1689,2020,1,1,25
1690,2020,1,1,316
1693,2020,1,2,239
1694,2020,1,1,129
1697,2020,1,2,47
1698,2020,1,2,49
1703,2020,1,2,19
1706,2020,1,2,287
1708,2020,1,1,412
1712,2020,1,1,14
1713,2020,1,1,1313
1714,2020,1,2,177
1715,2020,1,1,21
1716,2020,1,2,3
1717,2020,1,2,150
1718,2020,1,1,583
1719,2020,1,2,392
1724,2020,1,1,92
1725,2020,1,1,585
1730,2020,1,1,143
1731,2020,1,2,109
1735,2020,1,2,394
1736,2020,1,2,93
1737,2020,1,1,35
1738,2020,1,2,65
1739,2020,1,2,1
1741,2020,1,1,79
1742,2020,1,1,48
1743,2020,1,2,52
1751,2020,1,2,75
1752,2020,1,1,8
1755,2020,1,1,72
1762,2020,1,2,287
1763,2020,1,2,25
1764,2020,1,1,26
1765,2020,1,1,288
1766,2020,1,1,9
1767,2020,1,2,74
1768,2020,1,2,8
1769,2020,1,1,186
1770,2020,1,1,208
1771,2020,1,2,69
1774,2020,1,1,9
1775,2020,1,1,13
1776,2020,1,1,3
1778,2020,1,1,195
1779,2020,1,2,627
1780,2020,1,2,184
1781,2020,1,1,16
1782,2020,1,1,111
1783,2020,1,1,155
1784,2020,1,1,74
1785,2020,1,1,66
1786,2020,1,1,177
1787,2020,1,1,6
1788,2020,1,1,60
1790,2020,1,1,5
1792,2020,1,2,144
1793,2020,1,1,50
1794,2020,1,1,18
1795,2020,1,2,2
1796,2020,1,1,132
1797,2020,1,2,19
1798,2020,1,1,98
1799,2020,1,1,19
1800,2020,1,1,7
1801,2020,1,1,4
1802,2020,1,1,36
1807,2020,1,2,482
1808,2020,1,2,162
1813,2020,1,2,436
1814,2020,1,1,54
1827,2020,1,2,1
1828,2020,1,2,20
1834,2020,1,2,43
1837,2020,1,1,56
1838,2020,1,2,431
1840,2020,1,2,21
1841,2020,1,1,28
1846,2020,1,1,42
1847,2020,1,2,79
1850,2020,1,1,7
1853,2020,1,2,20
1854,2020,1,2,45
1855,2020,1,1,49
1856,2020,1,1,39
1870,2020,1,2,204
1872,2020,1,1,26
1874,2020,1,2,2
1875,2020,1,1,73
1877,2020,1,2,297
1878,2020,1,2,59
1881,2020,1,1,49
1883,2020,1,1,111
1884,2020,1,2,25
1892,2020,1,2,238
1893,2020,1,1,4
1894,2020,1,1,324
1895,2020,1,1,171
1914,2020,1,2,23
1915,2020,1,1,91
1916,2020,1,2,59
1918,2020,1,1,53
1919,2020,1,1,49
1928,2020,1,1,99
1936,2020,1,1,7
1942,2020,1,1,14
1944,2020,1,1,3
1950,2020,1,1,11
1956,2020,1,2,123
1958,2020,1,1,408
1980,2020,1,2,324
1981,2020,1,2,212
1982,2020,1,1,66
1983,2020,1,2,53
1984,2020,1,1,26
1985,2020,1,1,126
1988,2020,1,2,44
1989,2020,1,2,40
1991,2020,1,2,66
1993,2020,1,2,1
2004,2020,1,2,42
2009,2020,1,1,26
2016,2020,1,2,57
2035,2020,1,1,67
2037,2020,1,1,20
2039,2020,1,2,89
2040,2020,1,2,130
2046,2020,1,1,18
2048,2020,1,1,9
2049,2020,1,2,20
2051,2020,1,2,217
2052,2020,1,1,265
2053,2020,1,1,39
2054,2020,1,1,136
2055,2020,1,2,133
2056,2020,1,1,34
2063,2020,1,2,66
2065,2020,1,2,99
2068,2020,1,2,135
2069,2020,1,2,48
2070,2020,1,1,181
2071,2020,1,1,39
2076,2020,1,2,255
2078,2020,1,1,82
2086,2020,1,2,188
2087,2020,1,1,432
2088,2020,1,1,71
2093,2020,1,1,25
2094,2020,1,1,36
2095,2020,1,1,28
2111,2020,1,2,15
2115,2020,1,1,32
2130,2020,1,2,133
2131,2020,1,2,88
2134,2020,1,1,141
2145,2020,1,1,63
2162,2020,1,1,19
2168,2020,1,1,34
2189,2020,1,2,54
2190,2020,1,1,60
2206,2020,1,1,56
2217,2020,1,1,44
2234,2020,1,1,93
2239,2020,1,1,106
2249,2020,1,1,63
2268,2020,1,2,84
2337,2020,1,1,107
2377,2020,1,1,3
2381,2020,1,1,162
2382,2020,1,2,153
2384,2020,1,2,165
2414,2020,1,1,1
2427,2020,1,1,27
2445,2020,1,2,36
2446,2020,1,1,89
2449,2020,1,2,40
2459,2020,1,2,59
2460,2020,1,2,177
2470,2020,1,2,26
2497,2020,1,2,33
2501,2020,1,1,1
2506,2020,1,1,14
2513,2020,1,1,1
2518,2020,1,1,1208
2519,2020,1,1,222
2520,2020,1,1,50
2521,2020,1,2,24
2522,2020,1,1,53
2523,2020,1,1,35
2524,2020,1,2,98
2525,2020,1,2,106
2526,2020,1,2,38
2533,2020,1,1,7
2534,2020,1,2,21
2537,2020,1,2,5
2538,2020,1,2,8
2539,2020,1,1,27
2540,2020,1,1,87
2541,2020,1,1,42
2542,2020,1,1,116
2543,2020,1,2,31
2546,2020,1,2,35
2549,2020,1,1,130
2555,2020,1,2,33
2563,2020,1,2,216
2564,2020,1,1,21
2566,2020,1,1,16
2568,2020,1,1,13
2579,2020,1,2,340
2584,2020,1,1,7
2586,2020,1,1,46
2588,2020,1,2,49
2603,2020,1,2,9
2604,2020,1,1,1
2606,2020,1,2,17
2612,2020,1,1,29
2617,2020,1,2,59
2618,2020,1,2,26
2622,2020,1,1,3
2623,2020,1,1,133
2628,2020,1,1,33
2633,2020,1,1,207
2636,2020,1,2,139
2651,2020,1,1,55
2652,2020,1,2,70
2653,2020,1,2,5
2654,2020,1,2,24
2671,2020,1,2,34
2677,2020,1,1,20
2683,2020,1,2,348
2684,2020,1,1,13
2686,2020,1,1,101
2688,2020,1,2,2
2689,2020,1,2,77
2692,2020,1,1,302
2693,2020,1,2,94
2699,2020,1,1,22
2706,2020,1,1,11
2708,2020,1,1,1
2713,2020,1,2,169
2714,2020,1,2,84
2718,2020,1,2,31
2721,2020,1,2,276
2722,2020,1,2,269
2723,2020,1,2,143
2730,2020,1,2,58
2731,2020,1,2,37
2738,2020,1,1,24
2744,2020,1,1,37
2746,2020,1,2,34
2750,2020,1,1,48
2754,2020,1,2,33
2760,2020,1,1,187
2761,2020,1,2,145
2762,2020,1,2,88
2767,2020,1,2,40
2768,2020,1,2,45
2769,2020,1,2,22
2775,2020,1,1,57
2776,2020,1,1,706
2777,2020,1,1,147
2784,2020,1,2,20
2801,2020,1,1,21
2806,2020,1,1,33
2807,2020,1,1,51
2821,2020,1,2,228
2822,2020,1,1,17
2825,2020,1,2,18
2826,2020,1,2,84
2829,2020,1,2,49
2830,2020,1,1,68
2831,2020,1,2,60
2833,2020,1,2,43
2840,2020,1,2,11
2842,2020,1,1,52
2844,2020,1,1,12
2845,2020,1,2,27
2848,2020,1,1,1
2850,2020,1,2,53
2854,2020,1,2,9
2855,2020,1,1,16
2858,2020,1,2,73
2859,2020,1,2,117
2861,2020,1,2,79
2863,2020,1,2,25
2866,2020,1,2,106
2870,2020,1,1,1
2883,2020,1,1,3
2887,2020,1,1,448
2888,2020,1,1,38
2889,2020,1,1,45
2890,2020,1,2,20
2891,2020,1,2,26
2901,2020,1,2,12
2914,2020,1,1,338
2919,2020,1,2,47
2922,2020,1,2,36
2923,2020,1,2,15
2929,2020,1,1,77
2935,2020,1,2,32
2937,2020,1,2,148
2949,2020,1,1,35
2965,2020,1,2,18
2970,2020,1,2,18
2971,2020,1,1,3
2973,2020,1,1,16
2977,2020,1,1,60
2978,2020,1,1,4
2980,2020,1,1,51
2989,2020,1,2,131
2990,2020,1,1,55
2992,2020,1,2,61
2993,2020,1,2,73
2995,2020,1,1,33
2998,2020,1,1,167
3003,2020,1,2,60
3004,2020,1,2,2
3006,2020,1,1,34
3020,2020,1,1,469
3024,2020,1,1,27
3038,2020,1,1,24
3040,2020,1,2,22
3046,2020,1,2,22
3047,2020,1,2,28
3048,2020,1,1,265
3050,2020,1,1,204
3054,2020,1,1,43
3055,2020,1,2,130
3060,2020,1,1,3
3062,2020,1,2,11
3069,2020,1,1,11
3078,2020,1,1,165
3079,2020,1,2,175
3087,2020,1,2,134
3093,2020,1,1,21
3094,2020,1,2,11
3095,2020,1,1,13
3096,2020,1,1,10
3100,2020,1,1,3
3101,2020,1,1,26
3102,2020,1,1,67
3103,2020,1,2,37
3104,2020,1,1,76
3109,2020,1,2,59
3127,2020,1,2,76
3134,2020,1,2,85
3136,2020,1,1,29
3137,2020,1,1,39
3139,2020,1,2,15
3140,2020,1,1,98
3143,2020,1,2,23
3147,2020,1,1,300
3149,2020,1,2,63
3152,2020,1,2,88
3165,2020,1,2,20
3167,2020,1,2,16
3174,2020,1,1,13
3175,2020,1,2,13
3177,2020,1,1,363
3182,2020,1,2,72
3190,2020,1,2,12
3193,2020,1,2,47
3194,2020,1,1,44
3203,2020,1,1,81
3204,2020,1,1,102
3205,2020,1,2,143
3207,2020,1,1,66
3208,2020,1,2,61
3209,2020,1,2,47
3229,2020,1,2,16
3232,2020,1,2,12
3237,2020,1,2,187
3251,2020,1,2,97
3252,2020,1,2,72
3254,2020,1,1,57
3255,2020,1,1,168
3264,2020,1,1,13
3267,2020,1,1,54
3268,2020,1,1,15
3269,2020,1,1,140
3271,2020,1,2,123
3274,2020,1,1,64
3275,2020,1,1,646
3283,2020,1,1,7
3295,2020,1,1,23
3298,2020,1,1,35
3302,2020,1,2,9
3306,2020,1,1,26
3314,2020,1,1,84
3315,2020,1,2,142
3317,2020,1,2,21
3318,2020,1,2,185
3319,2020,1,1,345
3325,2020,1,2,56
3329,2020,1,1,11
3345,2020,1,1,69
3348,2020,1,1,64
3425,2020,1,2,12
3426,2020,1,2,388
3431,2020,1,2,58
3435,2020,1,1,41
3436,2020,1,2,139
3437,2020,1,2,179
3439,2020,1,2,79
3440,2020,1,1,18
3450,2020,1,2,7
3454,2020,1,1,11
3460,2020,1,2,1
3465,2020,1,1,12
3474,2020,1,2,367
3483,2020,1,2,25
3488,2020,1,2,564
3489,2020,1,2,149
3492,2020,1,2,70
3495,2020,1,2,3
3496,2020,1,1,26
3500,2020,1,2,78
3517,2020,1,2,16
3518,2020,1,2,39
3521,2020,1,2,98
3527,2020,1,1,148
3529,2020,1,1,147
3538,2020,1,2,43
3539,2020,1,1,12
3549,2020,1,2,19
3552,2020,1,2,5
3553,2020,1,1,30
3560,2020,1,1,80
3563,2020,1,2,220
3568,2020,1,1,12
3571,2020,1,2,59
3572,2020,1,2,14
3579,2020,1,1,23
3586,2020,1,1,3
3602,2020,1,2,49
3603,2020,1,2,18
3604,2020,1,2,15
3607,2020,1,2,117
3608,2020,1,1,104
3613,2020,1,2,73
3615,2020,1,1,87
3617,2020,1,1,91
3620,2020,1,2,22
3636,2020,1,2,130
