año,codigo snies del programa,id genero,inscritos,semestre
2015,48,2,430,2
2015,65,2,1,2
2015,69,2,87,2
2015,70,2,52,2
2015,71,1,29,2
2015,79,1,11,2
2015,80,2,22,2
2015,85,2,64,2
2015,86,2,27,2
2015,91,1,27,2
2015,92,2,16,2
2015,95,2,30,2
2015,96,2,20,2
2015,97,2,18,2
2015,98,1,17,2
2015,99,1,48,2
2015,100,2,46,2
2015,101,2,25,2
2015,104,2,54,2
2015,105,1,26,2
2015,107,1,29,2
2015,108,2,35,2
2015,110,2,7,2
2015,111,1,6,2
2015,112,1,5,2
2015,131,2,13,2
2015,132,1,11,2
2015,135,2,14,2
2015,136,2,16,2
2015,137,2,11,2
2015,142,2,3,2
2015,146,2,294,2
2015,147,1,54,2
2015,149,1,653,2
2015,150,1,97,2
2015,151,2,703,2
2015,153,2,802,2
2015,154,1,420,2
2015,155,1,56,2
2015,156,2,82,2
2015,157,2,166,2
2015,158,2,98,2
2015,159,1,221,2
2015,165,1,26,2
2015,173,2,12,2
2015,174,2,10,2
2015,177,1,67,2
2015,178,2,84,2
2015,180,1,119,2
2015,181,1,69,2
2015,182,2,69,2
2015,189,1,142,2
2015,190,1,176,2
2015,191,1,213,2
2015,192,2,92,2
2015,193,2,91,2
2015,194,1,9,2
2015,195,1,25,2
2015,197,1,13,2
2015,210,1,50,2
2015,212,2,72,2
2015,213,2,80,2
2015,215,1,89,2
2015,216,1,45,2
2015,217,1,100,2
2015,218,2,75,2
2015,219,1,54,2
2015,224,1,56,2
2015,229,1,101,2
2015,230,1,900,2
2015,233,1,1090,2
2015,234,2,367,2
2015,235,2,493,2
2015,236,1,946,2
2015,238,1,319,2
2015,257,2,154,2
2015,258,1,61,2
2015,267,2,1075,2
2015,268,2,326,2
2015,269,2,210,2
2015,270,2,113,2
2015,271,2,524,2
2015,272,2,170,2
2015,273,2,130,2
2015,275,2,24,2
2015,278,2,18,2
2015,281,1,379,2
2015,288,1,371,2
2015,289,1,62,2
2015,290,2,470,2
2015,291,2,1309,2
2015,292,2,396,2
2015,293,1,69,2
2015,294,1,378,2
2015,296,2,283,2
2015,310,1,25,2
2015,311,1,9,2
2015,312,2,11,2
2015,320,1,155,2
2015,321,1,139,2
2015,325,2,371,2
2015,326,2,60,2
