año,codigo snies del programa,graduados,id genero,semestre
2015,1,52,2,2
2015,2,30,2,2
2015,3,33,1,2
2015,4,24,1,2
2015,5,32,1,2
2015,6,20,2,2
2015,7,65,1,2
2015,8,19,1,2
2015,9,201,2,2
2015,10,42,2,2
2015,11,46,2,2
2015,12,11,1,2
2015,13,40,2,2
2015,14,43,2,2
2015,15,28,1,2
2015,16,38,2,2
2015,17,65,1,2
2015,18,48,1,2
2015,19,48,1,2
2015,20,27,2,2
2015,21,13,1,2
2015,22,13,2,2
2015,23,38,2,2
2015,24,23,1,2
2015,25,77,1,2
2015,26,39,1,2
2015,27,30,2,2
2015,28,45,2,2
2015,29,76,1,2
2015,30,47,2,2
2015,31,26,2,2
2015,32,13,2,2
2015,33,20,1,2
2015,34,35,2,2
2015,35,10,1,2
2015,36,15,2,2
2015,37,52,2,2
2015,38,1,1,2
2015,48,11,2,2
2015,50,1,2,2
2015,51,6,2,2
2015,52,1,1,2
2015,57,1,2,2
2015,59,1,2,2
2015,61,1,1,2
2015,69,58,1,2
2015,70,83,1,2
2015,71,2,1,2
2015,79,14,1,2
2015,80,3,1,2
2015,85,3,1,2
2015,86,6,1,2
2015,87,4,1,2
2015,88,8,1,2
2015,89,10,1,2
2015,90,3,1,2
2015,91,3,2,2
2015,92,6,2,2
2015,93,5,2,2
2015,95,6,1,2
2015,96,10,1,2
2015,97,2,2,2
2015,98,5,2,2
2015,99,7,1,2
2015,100,6,2,2
2015,101,1,2,2
2015,103,3,2,2
2015,104,2,1,2
2015,105,11,1,2
2015,106,10,2,2
2015,107,8,1,2
2015,108,20,1,2
2015,109,5,2,2
2015,110,5,1,2
2015,111,3,2,2
2015,112,2,1,2
2015,113,9,1,2
2015,114,17,2,2
2015,115,13,1,2
2015,116,7,2,2
2015,117,88,2,2
2015,118,22,1,2
2015,119,38,1,2
2015,120,21,1,2
2015,121,51,2,2
2015,122,36,1,2
2015,123,30,2,2
2015,124,22,2,2
2015,125,62,1,2
2015,126,24,2,2
2015,127,57,2,2
2015,128,14,2,2
2015,129,9,2,2
2015,132,8,2,2
2015,134,4,2,2
2015,135,4,1,2
2015,136,8,2,2
2015,137,5,2,2
2015,139,5,1,2
2015,140,9,1,2
2015,141,4,1,2
2015,142,4,1,2
2015,143,25,2,2
2015,144,3,1,2
2015,146,24,1,2
2015,147,27,2,2
2015,149,54,2,2
2015,150,53,2,2
2015,151,72,1,2
2015,153,40,1,2
2015,154,43,2,2
2015,155,19,1,2
2015,156,26,1,2
2015,157,33,2,2
2015,158,38,1,2
2015,159,45,2,2
2015,161,19,2,2
2015,163,6,1,2
2015,165,12,1,2
2015,170,14,2,2
2015,172,8,2,2
2015,173,8,1,2
2015,174,2,2,2
2015,175,8,1,2
2015,176,7,2,2
2015,177,26,2,2
2015,178,39,2,2
2015,180,44,1,2
2015,181,20,1,2
2015,182,47,2,2
2015,187,1,1,2
2015,188,18,1,2
2015,189,38,2,2
2015,190,66,2,2
2015,191,24,2,2
2015,192,34,1,2
2015,193,19,1,2
2015,195,31,1,2
2015,197,50,1,2
2015,204,2,2,2
2015,205,1,1,2
2015,207,1,1,2
2015,208,9,1,2
2015,210,27,2,2
2015,212,32,1,2
2015,213,24,1,2
2015,215,21,2,2
2015,216,14,2,2
2015,217,20,1,2
2015,218,15,1,2
2015,219,5,1,2
2015,223,5,1,2
2015,224,2,2,2
2015,225,7,1,2
2015,229,8,2,2
2015,230,34,1,2
2015,232,14,2,2
2015,233,79,2,2
2015,234,40,2,2
2015,235,55,2,2
2015,236,52,2,2
2015,238,43,1,2
2015,239,1,2,2
2015,240,3,1,2
2015,241,1,1,2
2015,242,2,1,2
2015,243,3,1,2
2015,244,3,1,2
2015,245,37,1,2
2015,246,1,1,2
2015,252,2,2,2
2015,256,1,1,2
2015,257,78,2,2
2015,258,37,2,2
2015,260,24,1,2
2015,262,4,2,2
2015,263,27,2,2
2015,266,11,2,2
2015,267,51,1,2
2015,268,58,1,2
2015,269,86,1,2
2015,270,58,1,2
2015,271,216,1,2
2015,272,52,1,2
2015,273,42,1,2
2015,275,8,1,2
2015,276,15,2,2
2015,279,2,1,2
2015,281,27,2,2
2015,282,9,2,2
2015,283,13,1,2
2015,284,2,1,2
2015,288,40,1,2
2015,289,1,1,2
2015,290,22,2,2
2015,291,35,2,2
2015,292,5,2,2
2015,293,1,2,2
2015,294,25,1,2
2015,295,4,2,2
2015,296,14,2,2
2015,303,1,1,2
2015,306,2,2,2
2015,308,1,1,2
2015,310,3,2,2
2015,314,2,1,2
2015,316,1,2,2
2015,320,35,1,2
2015,321,59,1,2
2015,325,37,1,2
2015,326,46,2,2
2015,327,73,1,2
2015,332,5,2,2
2015,337,25,1,2
2015,340,48,1,2
2015,341,27,2,2
2015,342,25,2,2
2015,343,8,2,2
2015,344,9,2,2
2015,347,39,1,2
2015,351,17,2,2
2015,352,17,2,2
2015,354,18,1,2
2015,358,3,1,2
2015,360,1,1,2
2015,361,114,2,2
2015,362,42,1,2
2015,363,47,2,2
2015,364,41,1,2
2015,365,43,1,2
2015,366,2,1,2
2015,368,2,2,2
2015,372,2,1,2
2015,379,2,2,2
2015,385,5,1,2
2015,387,2,2,2
2015,389,1,2,2
2015,393,1,2,2
2015,395,41,2,2
2015,399,3,1,2
2015,400,8,1,2
2015,401,48,1,2
2015,403,22,1,2
2015,404,19,1,2
2015,405,12,1,2
2015,406,10,2,2
2015,407,2,1,2
2015,408,7,2,2
2015,409,2,2,2
2015,412,7,2,2
2015,413,39,2,2
