año,codigo snies del programa,graduados,id genero,semestre
2017,1,52,2,2
2017,2,24,2,2
2017,3,20,1,2
2017,4,10,2,2
2017,5,26,1,2
2017,6,31,1,2
2017,7,64,2,2
2017,8,14,1,2
2017,9,107,2,2
2017,10,11,2,2
2017,11,44,1,2
2017,12,8,2,2
2017,13,33,1,2
2017,14,54,1,2
2017,15,34,1,2
2017,16,44,1,2
2017,17,40,1,2
2017,18,50,2,2
2017,19,56,2,2
2017,20,22,1,2
2017,21,23,2,2
2017,22,24,1,2
2017,23,48,2,2
2017,24,18,1,2
2017,25,98,2,2
2017,26,35,2,2
2017,27,32,1,2
2017,28,59,1,2
2017,29,72,1,2
2017,30,48,2,2
2017,31,59,2,2
2017,32,19,1,2
2017,33,28,1,2
2017,34,39,1,2
2017,35,19,2,2
2017,36,24,1,2
2017,37,57,2,2
2017,47,1,1,2
2017,48,7,1,2
2017,51,7,2,2
2017,69,77,1,2
2017,70,72,1,2
2017,79,10,1,2
2017,80,2,1,2
2017,85,22,1,2
2017,86,1,2,2
2017,87,5,1,2
2017,88,6,2,2
2017,89,10,2,2
2017,90,2,1,2
2017,91,8,2,2
2017,92,6,2,2
2017,93,1,1,2
2017,95,6,1,2
2017,96,5,1,2
2017,97,1,2,2
2017,98,4,1,2
2017,99,9,2,2
2017,100,5,2,2
2017,101,3,1,2
2017,103,4,1,2
2017,104,5,1,2
2017,105,14,1,2
2017,106,12,1,2
2017,107,10,2,2
2017,108,14,1,2
2017,109,5,2,2
2017,110,2,1,2
2017,111,6,2,2
2017,112,2,1,2
2017,113,10,2,2
2017,114,6,1,2
2017,115,12,1,2
2017,116,8,2,2
2017,117,49,2,2
2017,118,20,2,2
2017,119,42,1,2
2017,120,19,2,2
2017,121,47,1,2
2017,122,45,2,2
2017,123,34,2,2
2017,124,22,2,2
2017,125,64,1,2
2017,126,21,2,2
2017,127,67,1,2
2017,128,14,1,2
2017,129,3,1,2
2017,132,8,2,2
2017,134,3,2,2
2017,135,3,1,2
2017,136,15,2,2
2017,137,6,2,2
2017,139,5,2,2
2017,140,2,2,2
2017,141,2,1,2
2017,142,5,1,2
2017,143,34,2,2
2017,144,17,2,2
2017,146,64,2,2
2017,147,30,1,2
2017,149,70,1,2
2017,150,86,1,2
2017,151,89,2,2
2017,152,1,1,2
2017,153,45,2,2
2017,154,12,1,2
2017,155,28,2,2
2017,156,32,1,2
2017,157,38,1,2
2017,158,34,1,2
2017,159,67,2,2
2017,162,3,2,2
2017,165,15,2,2
2017,169,78,1,2
2017,170,22,2,2
2017,172,16,1,2
2017,173,19,2,2
2017,174,11,2,2
2017,175,23,2,2
2017,176,16,2,2
2017,177,55,2,2
2017,178,52,1,2
2017,180,62,2,2
2017,181,45,2,2
2017,182,63,2,2
2017,188,38,1,2
2017,189,79,2,2
2017,190,85,1,2
2017,191,41,2,2
2017,192,56,2,2
2017,193,40,2,2
2017,194,16,2,2
2017,195,58,1,2
2017,197,60,1,2
2017,204,10,2,2
2017,205,5,1,2
2017,207,8,1,2
2017,208,3,1,2
2017,210,39,1,2
2017,212,72,2,2
2017,213,44,2,2
2017,215,21,2,2
2017,216,23,2,2
2017,217,51,2,2
2017,218,57,2,2
2017,219,22,2,2
2017,222,1,1,2
2017,223,6,1,2
2017,224,7,2,2
2017,225,3,2,2
2017,229,5,1,2
2017,230,34,2,2
2017,232,14,1,2
2017,233,105,2,2
2017,234,37,1,2
2017,235,35,1,2
2017,236,56,2,2
2017,238,37,2,2
2017,240,3,1,2
2017,241,2,1,2
2017,242,3,1,2
2017,243,2,1,2
2017,244,2,1,2
2017,245,29,1,2
2017,246,4,2,2
2017,256,2,2,2
2017,257,74,2,2
2017,258,53,1,2
2017,260,40,1,2
2017,262,2,2,2
2017,263,24,2,2
2017,265,1,2,2
2017,266,21,1,2
2017,267,45,2,2
2017,268,53,2,2
2017,269,67,1,2
2017,270,76,2,2
2017,271,202,2,2
2017,272,98,1,2
2017,275,8,2,2
2017,276,13,1,2
2017,278,3,1,2
2017,279,4,1,2
2017,281,48,2,2
2017,282,9,1,2
2017,283,31,2,2
2017,284,5,1,2
2017,288,40,2,2
2017,289,13,1,2
2017,290,44,2,2
2017,291,40,2,2
2017,292,41,2,2
2017,293,18,1,2
2017,294,53,2,2
2017,295,15,2,2
2017,296,44,1,2
2017,308,1,1,2
2017,310,26,2,2
2017,311,4,2,2
2017,312,12,2,2
2017,314,9,1,2
2017,315,1,1,2
2017,320,46,1,2
2017,321,78,1,2
2017,325,76,2,2
2017,326,57,1,2
2017,327,63,2,2
2017,332,9,1,2
2017,337,32,1,2
2017,338,36,2,2
2017,340,62,1,2
2017,341,15,1,2
2017,342,45,1,2
2017,343,10,1,2
2017,347,54,2,2
2017,351,30,1,2
2017,352,42,1,2
2017,361,88,1,2
2017,362,8,1,2
2017,363,87,1,2
2017,364,69,2,2
2017,365,87,2,2
2017,370,1,2,2
2017,371,1,1,2
2017,372,1,2,2
2017,375,1,2,2
2017,376,1,1,2
2017,385,1,2,2
2017,389,1,2,2
2017,395,45,2,2
2017,399,1,2,2
2017,400,1,2,2
2017,401,52,1,2
2017,403,43,2,2
2017,404,28,1,2
2017,405,24,2,2
2017,406,10,2,2
2017,407,7,1,2
2017,412,30,1,2
2017,413,47,1,2
2017,417,8,1,2
2017,420,19,1,2
2017,426,9,2,2
2017,427,116,1,2
2017,429,87,1,2
2017,430,61,1,2
2017,431,43,1,2
2017,432,24,1,2
2017,434,42,2,2
2017,435,44,2,2
2017,436,20,2,2
2017,437,123,1,2
2017,438,39,1,2
2017,439,57,1,2
2017,440,56,2,2
2017,441,9,1,2
2017,442,14,2,2
2017,444,35,2,2
2017,445,19,1,2
2017,446,41,2,2
2017,448,41,2,2
2017,450,56,2,2
2017,451,28,2,2
2017,452,40,1,2
2017,453,10,1,2
2017,454,4,1,2
2017,455,19,1,2
2017,456,56,2,2
2017,458,6,1,2
2017,460,3,2,2
2017,462,7,1,2
2017,463,2,2,2
2017,464,12,1,2
2017,465,3,1,2
2017,466,1,1,2
2017,467,3,1,2
2017,468,3,2,2
2017,469,2,2,2
2017,471,4,2,2
2017,472,14,1,2
2017,473,6,1,2
2017,474,5,1,2
2017,476,3,1,2
2017,477,2,2,2
2017,478,27,1,2
2017,479,2,2,2
2017,481,5,1,2
2017,483,3,2,2
2017,484,9,1,2
2017,485,3,1,2
2017,494,17,1,2
2017,503,10,1,2
2017,504,8,1,2
2017,507,4,2,2
2017,511,3,2,2
2017,513,2,2,2
2017,515,11,2,2
2017,516,10,1,2
2017,517,5,1,2
2017,519,26,1,2
2017,521,6,1,2
2017,522,8,2,2
2017,523,18,2,2
2017,530,50,1,2
2017,531,169,1,2
2017,532,35,2,2
2017,535,71,2,2
2017,536,71,1,2
2017,537,67,1,2
2017,538,71,1,2
2017,539,6,2,2
2017,540,1,2,2
2017,549,14,1,2
2017,551,11,2,2
2017,555,19,1,2
2017,557,7,2,2
2017,559,11,1,2
2017,565,13,2,2
2017,566,45,1,2
2017,568,28,2,2
2017,569,20,2,2
2017,570,61,2,2
2017,571,30,1,2
2017,572,8,1,2
2017,573,14,2,2
2017,574,22,2,2
2017,575,12,1,2
2017,576,4,2,2
2017,577,16,2,2
2017,578,14,2,2
2017,579,27,2,2
2017,580,23,2,2
2017,581,39,2,2
2017,582,3,2,2
2017,583,14,2,2
2017,584,26,1,2
2017,585,14,2,2
2017,586,16,1,2
2017,587,19,2,2
2017,588,20,2,2
2017,589,21,1,2
2017,591,16,1,2
2017,592,18,2,2
2017,593,12,2,2
2017,594,6,1,2
2017,595,6,1,2
2017,596,20,2,2
2017,599,1,1,2
2017,601,4,1,2
2017,602,2,2,2
2017,603,5,1,2
2017,604,4,2,2
2017,605,6,2,2
2017,608,1,1,2
2017,609,1,1,2
2017,610,2,2,2
2017,611,5,2,2
2017,612,3,2,2
2017,613,1,1,2
2017,616,2,2,2
2017,621,2,2,2
2017,622,1,2,2
2017,623,3,2,2
2017,626,17,2,2
2017,628,5,2,2
2017,633,8,1,2
2017,636,1,1,2
2017,640,2,1,2
2017,642,8,2,2
2017,643,1,1,2
2017,645,16,1,2
2017,650,4,1,2
2017,651,8,2,2
2017,652,7,2,2
2017,655,2,2,2
2017,656,4,2,2
