año,codigo snies del programa,graduados,id genero,semestre
2019,1,44,2,1
2019,2,50,1,1
2019,3,25,1,1
2019,4,2,2,1
2019,5,2,1,1
2019,6,4,1,1
2019,7,13,1,1
2019,8,1,1,1
2019,9,99,2,1
2019,10,7,2,1
2019,11,1,2,1
2019,12,1,1,1
2019,13,14,1,1
2019,14,21,1,1
2019,15,22,2,1
2019,16,10,1,1
2019,17,31,1,1
2019,18,26,2,1
2019,19,15,2,1
2019,20,6,2,1
2019,21,4,1,1
2019,22,9,2,1
2019,23,12,1,1
2019,24,6,1,1
2019,25,11,2,1
2019,26,7,1,1
2019,27,5,1,1
2019,28,11,2,1
2019,29,20,2,1
2019,30,2,1,1
2019,31,3,1,1
2019,32,2,2,1
2019,33,9,1,1
2019,34,10,1,1
2019,35,2,1,1
2019,36,2,2,1
2019,37,9,1,1
2019,38,5,1,1
2019,39,1,2,1
2019,41,3,1,1
2019,45,2,2,1
2019,46,11,1,1
2019,47,5,2,1
2019,48,6,2,1
2019,49,2,1,1
2019,50,1,2,1
2019,52,3,1,1
2019,53,3,1,1
2019,55,13,1,1
2019,57,3,2,1
2019,58,4,1,1
2019,59,1,1,1
2019,60,1,2,1
2019,61,2,2,1
2019,63,8,2,1
2019,64,3,2,1
2019,65,1,1,1
2019,67,3,2,1
2019,69,44,1,1
2019,70,95,2,1
2019,71,36,1,1
2019,79,3,1,1
2019,85,1,1,1
2019,86,11,1,1
2019,87,4,1,1
2019,88,2,1,1
2019,89,15,1,1
2019,90,4,2,1
2019,91,3,1,1
2019,92,6,1,1
2019,93,1,1,1
2019,95,8,2,1
2019,96,6,1,1
2019,97,2,2,1
2019,98,5,2,1
2019,99,3,1,1
2019,100,6,2,1
2019,103,4,1,1
2019,104,11,2,1
2019,105,8,2,1
2019,106,6,2,1
2019,107,6,2,1
2019,108,13,2,1
2019,109,3,2,1
2019,110,2,1,1
2019,111,6,1,1
2019,112,4,1,1
2019,113,11,2,1
2019,114,5,1,1
2019,115,5,2,1
2019,116,6,1,1
2019,117,20,2,1
2019,118,16,2,1
2019,119,6,2,1
2019,120,12,2,1
2019,121,13,2,1
2019,122,9,2,1
2019,123,18,2,1
2019,124,19,2,1
2019,125,11,1,1
2019,126,20,1,1
2019,127,4,1,1
2019,128,8,2,1
2019,132,1,1,1
2019,135,3,1,1
2019,136,11,1,1
2019,137,7,2,1
2019,139,5,1,1
2019,140,1,1,1
2019,141,3,1,1
2019,142,3,1,1
2019,143,6,1,1
2019,144,14,2,1
2019,146,20,1,1
2019,147,18,1,1
2019,149,27,1,1
2019,150,49,1,1
2019,151,9,1,1
2019,155,10,1,1
2019,156,7,1,1
2019,157,7,2,1
2019,158,19,1,1
2019,159,32,1,1
2019,169,20,1,1
2019,170,7,1,1
2019,172,9,2,1
2019,173,4,2,1
2019,175,6,2,1
2019,176,3,1,1
2019,177,5,2,1
2019,178,1,2,1
2019,180,13,2,1
2019,181,2,1,1
2019,182,4,2,1
2019,189,15,2,1
2019,190,24,1,1
2019,191,24,1,1
2019,192,9,2,1
2019,193,11,2,1
2019,210,7,2,1
2019,212,7,1,1
2019,213,5,1,1
2019,215,16,1,1
2019,216,3,1,1
2019,217,6,2,1
2019,218,20,1,1
2019,219,26,2,1
2019,222,5,1,1
2019,223,5,1,1
2019,224,8,1,1
2019,225,2,1,1
2019,229,17,1,1
2019,230,38,2,1
2019,232,9,1,1
2019,233,110,2,1
2019,234,42,2,1
2019,235,48,2,1
2019,236,48,1,1
2019,238,20,1,1
2019,245,30,2,1
2019,246,19,1,1
2019,252,2,1,1
2019,257,49,2,1
2019,258,13,2,1
2019,260,6,1,1
2019,263,30,1,1
2019,266,4,1,1
2019,267,55,1,1
2019,268,33,1,1
2019,269,22,2,1
2019,270,68,2,1
2019,271,132,2,1
2019,272,55,2,1
2019,275,1,2,1
2019,276,6,2,1
2019,278,1,1,1
2019,279,4,2,1
2019,281,32,1,1
2019,282,1,2,1
2019,283,14,2,1
2019,284,8,1,1
2019,288,2,2,1
2019,289,11,2,1
2019,290,6,2,1
2019,291,31,1,1
2019,292,55,1,1
2019,293,20,1,1
2019,294,41,1,1
2019,295,2,2,1
2019,296,27,2,1
2019,297,2,1,1
2019,298,3,1,1
2019,300,1,1,1
2019,302,2,1,1
2019,303,3,1,1
2019,306,2,2,1
2019,308,2,1,1
2019,311,8,2,1
2019,313,9,2,1
2019,320,18,2,1
2019,325,32,1,1
2019,326,7,2,1
2019,327,23,2,1
2019,332,6,1,1
2019,337,27,1,1
2019,338,32,2,1
2019,340,45,2,1
2019,341,17,1,1
2019,342,31,1,1
2019,343,9,1,1
2019,344,1,1,1
2019,347,33,2,1
2019,351,19,1,1
2019,352,59,2,1
2019,358,2,1,1
2019,361,103,1,1
2019,362,5,2,1
2019,363,54,2,1
2019,364,13,1,1
2019,365,61,2,1
2019,368,7,1,1
2019,369,1,2,1
2019,370,3,2,1
2019,371,2,2,1
2019,372,6,1,1
2019,374,3,1,1
2019,375,9,1,1
2019,378,2,1,1
2019,379,3,2,1
2019,380,1,2,1
2019,382,4,1,1
2019,383,5,1,1
2019,384,3,1,1
2019,385,13,1,1
2019,386,3,1,1
2019,388,2,1,1
2019,389,3,2,1
2019,390,4,1,1
2019,391,2,2,1
2019,394,1,1,1
2019,395,33,2,1
2019,400,3,2,1
2019,401,41,1,1
2019,403,43,1,1
2019,404,23,2,1
2019,407,1,1,1
2019,408,1,1,1
2019,412,1,2,1
2019,420,1,1,1
2019,426,30,1,1
2019,430,55,1,1
2019,431,17,2,1
2019,432,7,1,1
2019,434,21,1,1
2019,435,31,2,1
2019,436,20,1,1
2019,437,65,2,1
2019,438,46,1,1
2019,439,71,2,1
2019,440,45,2,1
2019,441,4,1,1
2019,442,5,1,1
2019,444,10,1,1
2019,445,26,1,1
2019,446,20,1,1
2019,448,28,1,1
2019,450,23,2,1
2019,451,17,2,1
2019,452,18,1,1
2019,453,3,1,1
2019,454,2,1,1
2019,455,5,2,1
2019,456,51,1,1
