año,codigo snies del programa,id genero,matriculados primer,semestre
2016,1,2,102,2
2016,2,1,47,2
2016,3,1,40,2
2016,4,1,27,2
2016,5,2,45,2
2016,6,2,26,2
2016,7,1,82,2
2016,8,1,50,2
2016,9,2,108,2
2016,10,2,46,2
2016,11,1,49,2
2016,13,1,38,2
2016,14,2,70,2
2016,15,2,32,2
2016,16,1,54,2
2016,17,1,72,2
2016,18,2,67,2
2016,19,2,67,2
2016,20,1,37,2
2016,21,1,1,2
2016,22,2,3,2
2016,23,1,78,2
2016,24,2,78,2
2016,25,1,109,2
2016,26,2,92,2
2016,27,1,56,2
2016,28,1,72,2
2016,29,1,103,2
2016,30,1,73,2
2016,31,2,59,2
2016,32,1,53,2
2016,33,2,59,2
2016,34,2,31,2
2016,35,2,36,2
2016,36,1,63,2
2016,37,2,56,2
2016,48,1,6,2
2016,65,1,1,2
2016,69,2,34,2
2016,70,1,3,2
2016,71,1,1,2
2016,79,1,7,2
2016,80,1,14,2
2016,85,1,29,2
2016,86,1,5,2
2016,88,1,2,2
2016,89,1,15,2
2016,90,2,2,2
2016,91,2,17,2
2016,92,1,9,2
2016,95,2,13,2
2016,96,1,15,2
2016,97,1,10,2
2016,98,2,12,2
2016,99,2,13,2
2016,100,2,19,2
2016,101,1,14,2
2016,103,2,3,2
2016,104,2,24,2
2016,105,2,20,2
2016,107,2,7,2
2016,108,1,19,2
2016,109,1,2,2
2016,110,1,1,2
2016,111,1,4,2
2016,112,1,1,2
2016,113,1,59,2
2016,114,1,49,2
2016,115,2,55,2
2016,116,2,72,2
2016,117,2,93,2
2016,118,1,59,2
2016,119,1,48,2
2016,120,2,70,2
2016,121,1,49,2
2016,122,1,76,2
2016,123,1,83,2
2016,124,1,49,2
2016,125,2,55,2
2016,126,1,64,2
2016,127,2,62,2
2016,128,2,40,2
2016,129,2,49,2
2016,132,2,23,2
2016,135,1,13,2
2016,136,2,12,2
2016,137,1,23,2
2016,139,2,2,2
2016,141,1,6,2
2016,142,1,4,2
2016,143,1,34,2
2016,144,1,27,2
2016,146,2,41,2
2016,147,2,30,2
2016,149,1,45,2
2016,150,2,65,2
2016,151,2,89,2
2016,153,2,65,2
2016,154,1,49,2
2016,155,2,21,2
2016,156,1,31,2
2016,157,2,64,2
2016,158,1,53,2
2016,159,1,72,2
2016,165,2,17,2
2016,177,2,42,2
2016,178,1,46,2
2016,180,1,47,2
2016,181,1,40,2
2016,182,1,41,2
2016,188,1,52,2
2016,189,1,108,2
2016,190,1,105,2
2016,191,1,54,2
2016,192,2,53,2
2016,193,1,57,2
2016,194,2,13,2
2016,195,2,31,2
2016,197,1,29,2
2016,210,1,50,2
2016,212,1,63,2
2016,213,1,43,2
2016,215,2,35,2
2016,216,2,40,2
2016,217,2,39,2
2016,218,1,33,2
2016,219,2,26,2
2016,224,2,25,2
2016,225,2,24,2
2016,229,2,39,2
2016,230,2,40,2
2016,233,2,177,2
2016,234,1,47,2
2016,235,2,45,2
2016,236,1,80,2
2016,238,2,54,2
2016,239,1,2,2
2016,240,2,3,2
2016,241,1,3,2
2016,242,1,3,2
2016,243,1,5,2
2016,244,2,4,2
2016,245,2,39,2
2016,257,2,39,2
2016,258,2,2,2
2016,267,2,4,2
2016,268,2,3,2
2016,269,1,25,2
2016,270,1,38,2
2016,271,1,3,2
2016,272,1,2,2
2016,281,2,55,2
2016,288,2,55,2
2016,289,1,60,2
2016,290,1,60,2
2016,291,1,55,2
2016,292,2,61,2
2016,293,1,61,2
2016,294,1,55,2
2016,295,2,17,2
2016,296,2,54,2
2016,310,2,30,2
2016,312,2,13,2
2016,314,1,9,2
2016,320,2,65,2
2016,321,1,47,2
2016,325,2,42,2
2016,326,1,41,2
2016,327,2,43,2
2016,337,2,45,2
2016,338,1,44,2
2016,340,2,91,2
2016,341,1,40,2
2016,342,2,29,2
2016,343,1,4,2
2016,344,1,16,2
2016,347,1,55,2
2016,351,2,34,2
2016,352,2,116,2
2016,361,2,198,2
2016,362,2,54,2
2016,363,2,86,2
2016,364,1,44,2
2016,365,2,80,2
2016,380,2,3,2
2016,395,2,50,2
2016,400,2,4,2
2016,401,2,41,2
2016,403,1,55,2
2016,404,1,46,2
2016,405,2,27,2
2016,406,2,15,2
2016,407,2,8,2
2016,412,2,39,2
2016,413,2,56,2
2016,417,1,34,2
2016,420,1,36,2
2016,426,2,55,2
2016,427,1,66,2
2016,429,1,52,2
2016,430,1,52,2
2016,431,2,53,2
2016,432,1,28,2
2016,434,2,44,2
2016,435,2,52,2
2016,436,1,54,2
2016,437,2,117,2
2016,438,2,71,2
2016,439,2,74,2
2016,440,2,74,2
2016,441,1,48,2
2016,442,2,47,2
2016,444,2,81,2
2016,445,2,78,2
2016,446,2,88,2
2016,448,1,90,2
2016,450,2,81,2
2016,451,1,85,2
2016,452,2,48,2
2016,453,2,59,2
2016,454,2,55,2
2016,455,2,64,2
2016,456,1,46,2
2016,458,1,7,2
2016,460,2,3,2
2016,462,2,6,2
2016,463,1,4,2
2016,464,1,12,2
2016,465,1,2,2
2016,466,1,3,2
2016,467,2,4,2
2016,468,1,3,2
2016,469,2,4,2
2016,471,2,4,2
2016,472,2,13,2
2016,473,2,6,2
2016,474,1,6,2
2016,476,1,3,2
2016,477,2,2,2
2016,478,2,29,2
2016,479,1,4,2
2016,481,1,8,2
2016,484,2,9,2
2016,485,2,3,2
2016,494,2,17,2
2016,511,1,14,2
2016,515,1,13,2
2016,516,1,11,2
2016,517,1,5,2
2016,519,2,6,2
2016,521,1,4,2
2016,522,2,24,2
2016,523,2,33,2
2016,530,2,59,2
2016,531,2,256,2
2016,532,1,105,2
2016,535,2,119,2
2016,536,1,117,2
2016,537,1,106,2
2016,538,2,109,2
2016,539,2,59,2
2016,549,1,50,2
2016,551,2,14,2
2016,555,2,45,2
2016,565,2,32,2
2016,566,2,39,2
2016,568,1,33,2
2016,569,1,37,2
2016,570,1,13,2
2016,571,1,37,2
2016,572,2,37,2
2016,573,1,2,2
2016,574,2,2,2
2016,576,1,43,2
2016,577,2,41,2
2016,578,1,59,2
2016,579,1,52,2
2016,580,2,44,2
2016,581,2,39,2
2016,583,1,1,2
2016,584,2,7,2
2016,585,1,1,2
2016,586,2,1,2
2016,587,1,1,2
2016,589,2,1,2
2016,591,2,44,2
2016,592,2,1,2
2016,594,2,35,2
2016,596,2,48,2
2016,603,1,5,2
2016,604,2,4,2
2016,605,2,6,2
2016,608,1,1,2
2016,609,1,1,2
2016,612,1,3,2
2016,613,1,1,2
2016,614,2,1,2
2016,616,2,2,2
2016,626,2,17,2
2016,628,1,19,2
2016,633,1,4,2
2016,636,2,13,2
2016,640,1,7,2
2016,642,2,8,2
2016,643,2,11,2
2016,645,1,43,2
2016,650,1,9,2
2016,651,1,15,2
2016,655,2,13,2
2016,658,2,10,2
2016,660,2,58,2
2016,662,2,19,2
2016,670,2,6,2
2016,672,1,1,2
2016,673,1,2,2
2016,674,1,7,2
2016,677,1,4,2
2016,678,1,1,2
2016,679,1,3,2
2016,683,2,141,2
2016,684,1,40,2
2016,685,1,24,2
2016,687,2,33,2
2016,690,1,45,2
2016,693,1,46,2
2016,694,2,70,2
2016,696,2,154,2
2016,697,2,69,2
2016,698,1,83,2
2016,699,1,113,2
2016,700,1,149,2
2016,701,2,112,2
2016,702,2,33,2
2016,703,2,130,2
2016,706,2,51,2
2016,707,1,38,2
2016,717,2,5,2
2016,736,1,51,2
2016,737,1,71,2
2016,738,1,48,2
2016,739,2,45,2
2016,740,1,96,2
2016,741,2,48,2
2016,742,2,104,2
2016,744,2,20,2
2016,745,1,22,2
2016,746,2,38,2
2016,747,1,60,2
2016,748,2,36,2
2016,749,1,6,2
2016,750,2,12,2
2016,751,1,2,2
2016,753,1,5,2
2016,754,1,2,2
2016,755,2,2,2
2016,756,1,8,2
2016,759,1,4,2
2016,762,1,6,2
2016,766,1,22,2
2016,770,2,16,2
2016,772,1,7,2
2016,773,1,2,2
2016,774,1,2,2
2016,776,2,3,2
2016,779,1,49,2
2016,786,1,133,2
2016,788,1,64,2
2016,789,1,3,2
2016,790,1,62,2
2016,791,2,84,2
2016,794,1,29,2
2016,799,2,42,2
2016,800,1,39,2
2016,801,2,46,2
2016,803,2,21,2
2016,805,1,23,2
2016,807,1,35,2
2016,808,1,41,2
2016,809,1,64,2
2016,810,1,40,2
2016,811,2,41,2
2016,817,1,2,2
2016,818,2,2,2
2016,819,1,2,2
2016,827,1,2,2
2016,829,2,2,2
2016,834,2,2,2
2016,835,2,2,2
2016,839,2,33,2
2016,842,1,74,2
2016,852,2,46,2
2016,855,2,226,2
2016,856,1,58,2
2016,857,2,52,2
2016,866,1,80,2
2016,870,1,56,2
2016,873,1,34,2
2016,882,1,70,2
2016,884,2,87,2
2016,885,1,58,2
2016,889,2,37,2
2016,895,2,9,2
2016,898,1,40,2
2016,902,2,38,2
2016,904,2,66,2
2016,906,1,36,2
2016,907,2,35,2
2016,908,1,35,2
2016,910,2,71,2
2016,913,2,50,2
2016,914,1,30,2
2016,915,2,69,2
2016,916,2,59,2
2016,917,2,103,2
2016,918,1,101,2
2016,919,2,107,2
2016,920,1,122,2
2016,921,1,59,2
2016,925,1,89,2
2016,926,2,61,2
2016,933,1,2,2
2016,935,2,67,2
2016,936,2,13,2
2016,937,2,12,2
2016,943,2,24,2
2016,944,1,64,2
2016,946,2,39,2
2016,947,1,33,2
2016,948,2,12,2
2016,949,1,180,2
2016,950,2,138,2
2016,951,1,162,2
2016,952,1,66,2
2016,953,2,208,2
2016,954,2,47,2
2016,955,1,23,2
2016,956,1,32,2
2016,957,1,8,2
2016,958,2,37,2
2016,959,1,65,2
2016,960,2,41,2
2016,961,1,158,2
2016,962,2,103,2
2016,964,1,30,2
2016,965,1,13,2
2016,968,2,6,2
2016,972,2,4,2
2016,973,1,8,2
2016,974,2,1,2
2016,976,1,1,2
2016,979,1,2,2
2016,983,1,1,2
2016,984,2,13,2
2016,986,1,1,2
2016,990,2,6,2
2016,992,2,6,2
2016,995,1,2,2
2016,998,1,11,2
2016,1001,2,28,2
2016,1003,1,1,2
2016,1006,2,1,2
2016,1007,2,5,2
2016,1008,1,29,2
2016,1009,2,23,2
2016,1010,1,15,2
2016,1012,2,225,2
2016,1018,1,2,2
2016,1020,2,2,2
2016,1021,1,3,2
2016,1025,1,5,2
2016,1027,1,15,2
2016,1028,1,5,2
2016,1029,1,10,2
2016,1030,1,1,2
2016,1036,1,19,2
2016,1037,1,2,2
2016,1038,2,2,2
2016,1039,2,63,2
2016,1040,1,127,2
2016,1041,2,11,2
2016,1042,2,34,2
2016,1043,1,20,2
2016,1044,1,58,2
2016,1046,1,45,2
2016,1047,2,12,2
2016,1048,2,45,2
2016,1050,2,2,2
2016,1053,1,38,2
2016,1054,2,42,2
2016,1056,2,9,2
2016,1059,1,25,2
2016,1060,1,3,2
2016,1061,2,11,2
2016,1062,1,10,2
2016,1063,1,4,2
2016,1078,2,51,2
2016,1079,1,40,2
2016,1080,2,79,2
2016,1081,1,49,2
2016,1082,2,97,2
2016,1083,2,53,2
2016,1084,2,89,2
2016,1085,2,15,2
2016,1086,2,37,2
2016,1087,1,59,2
2016,1088,2,11,2
2016,1091,2,17,2
2016,1092,2,10,2
2016,1094,2,7,2
2016,1096,2,19,2
2016,1097,2,56,2
2016,1098,2,77,2
2016,1099,2,9,2
2016,1101,2,14,2
2016,1102,2,37,2
2016,1103,2,65,2
2016,1104,2,27,2
2016,1110,1,69,2
2016,1111,2,18,2
2016,1112,2,135,2
2016,1113,2,17,2
2016,1114,1,82,2
2016,1115,2,54,2
2016,1116,2,28,2
2016,1117,1,20,2
2016,1120,1,79,2
2016,1121,1,11,2
2016,1125,2,69,2
2016,1126,2,53,2
2016,1130,1,11,2
2016,1138,2,29,2
2016,1143,1,53,2
2016,1144,1,54,2
2016,1146,2,66,2
2016,1147,1,68,2
2016,1148,2,21,2
2016,1149,1,9,2
2016,1151,2,31,2
2016,1152,2,21,2
2016,1155,2,33,2
2016,1156,1,14,2
2016,1158,2,15,2
2016,1166,1,11,2
2016,1169,1,127,2
2016,1170,1,166,2
2016,1172,1,69,2
2016,1173,1,95,2
2016,1175,1,83,2
2016,1176,1,37,2
2016,1178,1,45,2
2016,1179,2,33,2
2016,1180,1,11,2
2016,1192,1,59,2
2016,1193,2,31,2
2016,1195,2,26,2
2016,1196,1,50,2
2016,1197,1,10,2
2016,1199,1,7,2
2016,1200,2,13,2
2016,1201,1,9,2
2016,1202,1,17,2
2016,1203,2,12,2
2016,1204,1,7,2
2016,1205,2,103,2
2016,1206,1,2,2
2016,1207,2,2,2
2016,1208,2,4,2
2016,1210,1,5,2
2016,1211,2,2,2
2016,1212,1,3,2
2016,1213,2,3,2
2016,1214,1,3,2
2016,1217,1,11,2
2016,1224,1,14,2
2016,1227,1,29,2
2016,1228,1,4,2
2016,1229,2,6,2
2016,1236,1,20,2
2016,1237,2,83,2
2016,1238,1,74,2
2016,1239,1,45,2
2016,1240,1,91,2
2016,1241,1,14,2
2016,1242,1,10,2
2016,1244,1,125,2
2016,1245,1,271,2
2016,1246,1,14,2
2016,1247,1,70,2
2016,1248,2,40,2
2016,1249,1,14,2
2016,1250,1,49,2
2016,1251,1,4,2
2016,1252,2,59,2
2016,1254,2,88,2
2016,1256,1,24,2
2016,1259,2,3,2
2016,1261,1,8,2
2016,1264,1,12,2
2016,1265,1,74,2
2016,1267,2,10,2
2016,1268,2,11,2
2016,1269,1,118,2
2016,1270,2,72,2
2016,1271,2,79,2
2016,1272,2,136,2
2016,1273,2,92,2
2016,1275,1,16,2
2016,1276,2,111,2
2016,1277,1,27,2
2016,1279,1,5,2
2016,1280,2,5,2
