año,codigo snies del programa,id genero,matriculados primer,semestre
2019,1,1,86,1
2019,2,1,42,1
2019,3,2,58,1
2019,4,1,33,1
2019,5,1,55,1
2019,6,1,26,1
2019,7,1,97,1
2019,8,1,2,1
2019,9,2,118,1
2019,10,1,53,1
2019,11,1,56,1
2019,12,2,47,1
2019,13,2,41,1
2019,14,1,76,1
2019,15,1,48,1
2019,16,2,50,1
2019,17,1,89,1
2019,18,1,117,1
2019,19,2,114,1
2019,20,1,44,1
2019,21,1,58,1
2019,23,1,73,1
2019,24,1,88,1
2019,25,2,122,1
2019,27,1,58,1
2019,28,2,89,1
2019,29,1,115,1
2019,30,2,68,1
2019,31,2,42,1
2019,32,1,56,1
2019,33,1,76,1
2019,34,2,44,1
2019,35,1,50,1
2019,36,2,75,1
2019,37,2,68,1
2019,38,1,6,1
2019,39,1,3,1
2019,40,1,3,1
2019,41,2,3,1
2019,45,1,2,1
2019,46,2,8,1
2019,47,1,6,1
2019,48,1,10,1
2019,49,1,2,1
2019,50,1,2,1
2019,52,2,6,1
2019,53,1,4,1
2019,55,1,12,1
2019,57,1,8,1
2019,58,1,5,1
2019,59,1,3,1
2019,60,1,3,1
2019,61,1,2,1
2019,63,1,5,1
2019,64,1,8,1
2019,65,1,1,1
2019,66,1,3,1
2019,67,1,4,1
2019,69,2,1,1
2019,70,2,76,1
2019,79,2,7,1
2019,80,1,12,1
2019,86,1,15,1
2019,87,1,6,1
2019,88,1,15,1
2019,89,1,25,1
2019,90,1,8,1
2019,92,2,14,1
2019,95,1,3,1
2019,96,2,6,1
2019,99,2,1,1
2019,100,1,1,1
2019,101,1,2,1
2019,104,1,21,1
2019,105,1,33,1
2019,106,1,22,1
2019,107,1,10,1
2019,108,1,22,1
2019,109,1,11,1
2019,110,1,1,1
2019,111,1,9,1
2019,112,1,4,1
2019,113,1,79,1
2019,114,1,59,1
2019,115,1,55,1
2019,116,1,65,1
2019,117,1,106,1
2019,118,1,54,1
2019,119,1,45,1
2019,120,2,64,1
2019,121,2,53,1
2019,122,1,68,1
2019,123,1,77,1
2019,124,2,55,1
2019,125,1,72,1
2019,126,1,59,1
2019,127,1,59,1
2019,128,2,41,1
2019,129,1,55,1
2019,132,1,7,1
2019,134,1,13,1
2019,136,1,8,1
2019,137,1,6,1
2019,139,2,14,1
2019,140,1,18,1
2019,142,2,4,1
2019,143,1,58,1
2019,144,1,38,1
2019,146,1,52,1
2019,147,2,35,1
2019,151,2,80,1
2019,155,1,28,1
2019,156,1,62,1
2019,157,1,65,1
2019,158,1,61,1
2019,159,1,62,1
2019,169,1,44,1
2019,170,1,16,1
2019,172,1,28,1
2019,173,1,11,1
2019,176,2,42,1
2019,178,2,46,1
2019,180,1,50,1
2019,181,1,41,1
2019,189,1,89,1
2019,190,2,97,1
2019,191,1,50,1
2019,192,2,47,1
2019,193,1,48,1
2019,194,1,12,1
2019,195,1,28,1
2019,197,2,23,1
2019,204,1,9,1
2019,205,1,7,1
2019,207,1,3,1
2019,210,1,38,1
2019,212,2,40,1
2019,213,2,50,1
2019,215,2,36,1
2019,216,1,35,1
2019,217,1,44,1
2019,218,2,41,1
2019,222,2,31,1
2019,223,2,29,1
2019,224,1,25,1
2019,229,2,41,1
2019,230,1,43,1
2019,232,1,45,1
2019,233,1,109,1
2019,234,2,45,1
2019,235,1,46,1
2019,236,1,77,1
2019,238,1,60,1
2019,241,1,1,1
2019,245,1,28,1
2019,246,2,20,1
2019,256,2,12,1
2019,257,1,83,1
2019,260,1,82,1
2019,263,2,81,1
2019,266,1,1,1
2019,267,1,56,1
2019,268,1,81,1
2019,269,1,161,1
2019,270,1,92,1
2019,271,1,217,1
2019,272,1,86,1
2019,276,1,28,1
2019,281,1,69,1
2019,282,1,52,1
2019,283,1,67,1
2019,284,2,33,1
2019,288,2,63,1
2019,290,1,67,1
2019,291,1,65,1
2019,292,1,71,1
2019,293,1,62,1
2019,294,2,67,1
2019,295,1,2,1
2019,296,1,68,1
2019,297,1,4,1
2019,298,2,4,1
2019,302,2,3,1
2019,303,1,3,1
2019,305,2,3,1
2019,306,2,3,1
2019,308,2,4,1
2019,311,2,9,1
2019,312,2,1,1
2019,316,2,2,1
2019,320,2,35,1
2019,326,2,44,1
2019,327,1,87,1
2019,337,2,43,1
2019,338,1,47,1
2019,340,1,80,1
2019,341,2,40,1
2019,342,1,44,1
2019,343,2,8,1
2019,347,1,34,1
2019,351,2,33,1
2019,352,1,1,1
2019,354,2,9,1
2019,358,2,15,1
2019,361,1,219,1
2019,362,2,157,1
2019,363,2,245,1
2019,364,2,129,1
2019,365,2,216,1
2019,366,1,12,1
2019,367,1,1,1
2019,368,1,8,1
2019,369,1,1,1
2019,370,2,3,1
2019,371,1,1,1
2019,372,1,10,1
2019,374,2,3,1
2019,375,1,12,1
2019,378,1,2,1
2019,379,2,3,1
2019,380,2,2,1
2019,382,2,7,1
2019,383,2,5,1
2019,384,2,2,1
2019,385,2,15,1
2019,386,1,4,1
2019,388,2,4,1
2019,390,2,3,1
2019,391,1,2,1
2019,394,1,1,1
2019,395,1,52,1
2019,401,2,38,1
2019,403,2,66,1
2019,404,1,52,1
2019,405,1,35,1
2019,406,1,14,1
2019,407,1,7,1
2019,412,1,30,1
2019,413,1,62,1
2019,417,1,25,1
2019,426,1,57,1
2019,427,1,65,1
2019,429,1,40,1
2019,430,2,60,1
2019,431,1,56,1
2019,432,2,31,1
2019,434,1,54,1
2019,435,1,57,1
2019,436,2,54,1
2019,437,1,117,1
2019,438,1,68,1
2019,439,1,86,1
2019,440,1,91,1
2019,441,1,54,1
2019,442,2,54,1
2019,444,2,70,1
2019,445,2,65,1
2019,446,1,67,1
2019,448,1,53,1
2019,450,2,57,1
2019,451,2,68,1
2019,452,2,41,1
2019,453,1,77,1
2019,454,2,69,1
2019,455,1,81,1
2019,456,1,54,1
2019,494,2,10,1
2019,504,2,1,1
2019,513,2,3,1
2019,515,2,11,1
2019,516,1,11,1
2019,517,1,3,1
2019,519,2,10,1
2019,522,1,30,1
2019,523,1,29,1
2019,530,1,28,1
2019,531,1,142,1
2019,532,1,72,1
2019,535,1,95,1
2019,536,1,85,1
2019,537,1,61,1
2019,538,1,87,1
2019,539,1,53,1
2019,549,1,51,1
2019,551,2,15,1
2019,557,2,43,1
2019,559,2,52,1
2019,565,2,1,1
2019,566,1,1,1
2019,570,2,102,1
2019,571,2,1,1
2019,573,2,61,1
2019,574,1,68,1
2019,575,1,66,1
2019,576,2,1,1
2019,577,1,2,1
2019,579,2,58,1
2019,580,2,92,1
2019,581,1,95,1
2019,582,2,51,1
2019,583,1,40,1
2019,584,1,62,1
2019,585,1,56,1
2019,586,1,50,1
2019,587,2,49,1
2019,588,1,43,1
2019,589,1,46,1
2019,591,2,51,1
2019,592,1,78,1
2019,593,2,60,1
2019,594,1,45,1
2019,595,2,46,1
2019,596,1,55,1
2019,601,2,4,1
2019,602,2,2,1
2019,606,1,2,1
2019,608,1,1,1
2019,609,1,1,1
2019,610,1,2,1
2019,611,1,8,1
2019,615,2,5,1
2019,616,1,2,1
2019,618,2,1,1
2019,621,2,6,1
2019,626,1,16,1
2019,628,1,13,1
2019,640,1,7,1
2019,642,2,12,1
2019,645,1,6,1
2019,656,1,15,1
2019,658,1,14,1
2019,659,1,9,1
2019,660,1,37,1
2019,662,2,10,1
2019,664,2,11,1
2019,670,2,3,1
2019,674,1,3,1
2019,676,1,10,1
2019,677,2,6,1
2019,678,1,2,1
2019,679,2,2,1
2019,680,1,6,1
2019,683,1,77,1
2019,684,2,40,1
2019,685,2,27,1
2019,687,1,45,1
2019,689,2,51,1
2019,690,2,4,1
2019,691,1,98,1
2019,692,2,33,1
2019,693,1,47,1
2019,694,1,88,1
2019,696,1,145,1
2019,697,1,62,1
2019,698,1,81,1
2019,699,2,90,1
2019,700,2,140,1
2019,701,1,128,1
2019,702,1,58,1
2019,703,1,112,1
2019,704,1,49,1
2019,705,1,46,1
2019,706,1,52,1
2019,707,1,46,1
2019,709,1,3,1
2019,710,1,4,1
2019,711,1,5,1
2019,712,2,1,1
2019,713,1,2,1
2019,714,1,4,1
2019,716,2,4,1
2019,728,1,5,1
2019,731,1,2,1
2019,732,1,10,1
2019,733,1,3,1
2019,736,1,51,1
2019,737,2,123,1
2019,738,2,41,1
2019,739,1,39,1
2019,740,2,91,1
2019,741,2,48,1
2019,742,2,103,1
2019,744,2,30,1
2019,745,2,31,1
2019,746,1,33,1
2019,747,2,47,1
