año,codigo snies del programa,id genero,matriculados primer,semestre
2018.0,1,1.0,102.0,1.0
2018.0,2,1.0,57.0,1.0
2018.0,3,2.0,46.0,1.0
2018.0,4,1.0,32.0,1.0
2018.0,5,2.0,54.0,1.0
2018.0,6,2.0,37.0,1.0
2018.0,7,1.0,158.0,1.0
2018.0,8,1.0,2.0,1.0
2018.0,9,2.0,128.0,1.0
2018.0,10,1.0,58.0,1.0
2018.0,11,2.0,66.0,1.0
2018.0,12,2.0,51.0,1.0
2018.0,13,1.0,47.0,1.0
2018.0,14,1.0,75.0,1.0
2018.0,15,2.0,39.0,1.0
2018.0,16,2.0,53.0,1.0
2018.0,17,1.0,92.0,1.0
2018.0,18,2.0,117.0,1.0
2018.0,19,1.0,103.0,1.0
2018.0,20,1.0,54.0,1.0
2018.0,21,1.0,56.0,1.0
2018.0,23,2.0,84.0,1.0
2018.0,24,1.0,103.0,1.0
2018.0,25,2.0,121.0,1.0
2018.0,27,1.0,56.0,1.0
2018.0,28,2.0,81.0,1.0
2018.0,29,1.0,130.0,1.0
2018.0,30,2.0,83.0,1.0
2018.0,31,2.0,70.0,1.0
2018.0,32,1.0,59.0,1.0
2018.0,33,1.0,79.0,1.0
2018.0,34,2.0,46.0,1.0
2018.0,35,2.0,50.0,1.0
2018.0,36,1.0,66.0,1.0
2018.0,37,2.0,56.0,1.0
2018.0,38,1.0,6.0,1.0
2018.0,39,1.0,3.0,1.0
2018.0,40,2.0,3.0,1.0
2018.0,41,1.0,3.0,1.0
2018.0,45,1.0,2.0,1.0
2018.0,46,2.0,10.0,1.0
2018.0,48,1.0,8.0,1.0
2018.0,49,1.0,2.0,1.0
2018.0,50,2.0,2.0,1.0
2018.0,52,2.0,6.0,1.0
2018.0,53,1.0,3.0,1.0
2018.0,55,1.0,12.0,1.0
2018.0,57,1.0,7.0,1.0
2018.0,58,1.0,5.0,1.0
2018.0,59,1.0,2.0,1.0
2018.0,60,1.0,3.0,1.0
2018.0,61,2.0,2.0,1.0
2018.0,63,2.0,8.0,1.0
2018.0,64,1.0,6.0,1.0
2018.0,65,2.0,1.0,1.0
2018.0,66,1.0,2.0,1.0
2018.0,67,2.0,4.0,1.0
2018.0,69,2.0,45.0,1.0
2018.0,70,1.0,97.0,1.0
2018.0,71,1.0,35.0,1.0
2018.0,79,2.0,6.0,1.0
2018.0,80,2.0,8.0,1.0
2018.0,85,1.0,1.0,1.0
2018.0,86,1.0,7.0,1.0
2018.0,87,1.0,6.0,1.0
2018.0,88,2.0,10.0,1.0
2018.0,89,2.0,21.0,1.0
2018.0,90,2.0,13.0,1.0
2018.0,92,2.0,8.0,1.0
2018.0,93,1.0,1.0,1.0
2018.0,95,1.0,2.0,1.0
2018.0,96,1.0,15.0,1.0
2018.0,99,2.0,2.0,1.0
2018.0,100,1.0,4.0,1.0
2018.0,101,1.0,5.0,1.0
2018.0,103,1.0,24.0,1.0
2018.0,104,1.0,7.0,1.0
2018.0,105,1.0,20.0,1.0
2018.0,106,2.0,21.0,1.0
2018.0,107,1.0,6.0,1.0
2018.0,108,1.0,18.0,1.0
2018.0,109,1.0,13.0,1.0
2018.0,110,1.0,3.0,1.0
2018.0,111,1.0,3.0,1.0
2018.0,112,1.0,5.0,1.0
2018.0,113,1.0,66.0,1.0
2018.0,114,1.0,53.0,1.0
2018.0,115,2.0,52.0,1.0
2018.0,116,1.0,62.0,1.0
2018.0,117,1.0,89.0,1.0
2018.0,118,1.0,52.0,1.0
2018.0,119,1.0,42.0,1.0
2018.0,120,2.0,70.0,1.0
2018.0,121,2.0,56.0,1.0
2018.0,122,1.0,75.0,1.0
2018.0,123,1.0,64.0,1.0
2018.0,124,2.0,50.0,1.0
2018.0,125,2.0,48.0,1.0
2018.0,126,2.0,60.0,1.0
2018.0,127,2.0,61.0,1.0
2018.0,128,2.0,39.0,1.0
2018.0,129,1.0,43.0,1.0
2018.0,132,1.0,10.0,1.0
2018.0,134,2.0,20.0,1.0
2018.0,135,1.0,7.0,1.0
2018.0,136,2.0,10.0,1.0
2018.0,137,1.0,12.0,1.0
2018.0,139,1.0,9.0,1.0
2018.0,140,2.0,12.0,1.0
2018.0,142,2.0,3.0,1.0
2018.0,143,2.0,65.0,1.0
2018.0,144,1.0,37.0,1.0
2018.0,146,2.0,52.0,1.0
2018.0,147,1.0,40.0,1.0
2018.0,151,1.0,99.0,1.0
2018.0,155,2.0,34.0,1.0
2018.0,156,1.0,66.0,1.0
2018.0,157,2.0,90.0,1.0
2018.0,158,2.0,73.0,1.0
2018.0,159,1.0,85.0,1.0
2018.0,162,2.0,5.0,1.0
2018.0,169,2.0,63.0,1.0
2018.0,170,1.0,38.0,1.0
2018.0,172,2.0,20.0,1.0
2018.0,173,1.0,11.0,1.0
2018.0,176,1.0,46.0,1.0
2018.0,177,2.0,61.0,1.0
2018.0,178,2.0,45.0,1.0
2018.0,180,2.0,48.0,1.0
2018.0,181,1.0,44.0,1.0
2018.0,188,1.0,4.0,1.0
2018.0,189,2.0,89.0,1.0
2018.0,190,1.0,94.0,1.0
2018.0,191,1.0,49.0,1.0
2018.0,192,2.0,45.0,1.0
2018.0,193,1.0,44.0,1.0
2018.0,194,2.0,11.0,1.0
2018.0,195,1.0,18.0,1.0
2018.0,197,2.0,25.0,1.0
2018.0,204,2.0,13.0,1.0
2018.0,205,1.0,9.0,1.0
2018.0,207,1.0,5.0,1.0
2018.0,210,1.0,40.0,1.0
2018.0,212,2.0,54.0,1.0
2018.0,213,2.0,45.0,1.0
2018.0,215,1.0,38.0,1.0
2018.0,216,1.0,49.0,1.0
2018.0,217,1.0,45.0,1.0
2018.0,218,1.0,31.0,1.0
2018.0,222,2.0,28.0,1.0
2018.0,223,1.0,11.0,1.0
2018.0,224,1.0,27.0,1.0
2018.0,225,1.0,23.0,1.0
2018.0,229,2.0,40.0,1.0
2018.0,230,1.0,38.0,1.0
2018.0,232,2.0,43.0,1.0
2018.0,233,1.0,177.0,1.0
2018.0,234,2.0,44.0,1.0
2018.0,235,1.0,46.0,1.0
2018.0,236,1.0,77.0,1.0
2018.0,238,2.0,50.0,1.0
2018.0,245,2.0,31.0,1.0
2018.0,246,1.0,15.0,1.0
2018.0,252,1.0,2.0,1.0
2018.0,257,2.0,91.0,1.0
2018.0,258,1.0,95.0,1.0
2018.0,260,1.0,86.0,1.0
2018.0,263,1.0,92.0,1.0
2018.0,266,1.0,42.0,1.0
2018.0,267,1.0,58.0,1.0
2018.0,268,2.0,95.0,1.0
2018.0,269,2.0,142.0,1.0
2018.0,270,1.0,102.0,1.0
2018.0,271,2.0,238.0,1.0
2018.0,272,1.0,91.0,1.0
2018.0,275,2.0,5.0,1.0
2018.0,276,2.0,27.0,1.0
2018.0,279,1.0,22.0,1.0
2018.0,281,1.0,60.0,1.0
2018.0,282,1.0,50.0,1.0
2018.0,283,1.0,59.0,1.0
2018.0,284,2.0,30.0,1.0
2018.0,288,2.0,52.0,1.0
2018.0,289,2.0,51.0,1.0
2018.0,290,1.0,59.0,1.0
2018.0,291,1.0,51.0,1.0
2018.0,292,2.0,59.0,1.0
2018.0,293,1.0,57.0,1.0
2018.0,294,1.0,58.0,1.0
2018.0,295,1.0,1.0,1.0
2018.0,296,1.0,60.0,1.0
2018.0,297,1.0,3.0,1.0
2018.0,298,1.0,3.0,1.0
2018.0,300,2.0,2.0,1.0
2018.0,302,2.0,3.0,1.0
2018.0,303,2.0,3.0,1.0
2018.0,305,2.0,3.0,1.0
2018.0,306,1.0,3.0,1.0
2018.0,308,1.0,2.0,1.0
2018.0,311,1.0,10.0,1.0
2018.0,313,1.0,10.0,1.0
2018.0,320,1.0,81.0,1.0
2018.0,325,2.0,45.0,1.0
2018.0,326,1.0,49.0,1.0
2018.0,327,1.0,56.0,1.0
2018.0,337,1.0,41.0,1.0
2018.0,338,1.0,45.0,1.0
2018.0,340,1.0,101.0,1.0
2018.0,341,1.0,40.0,1.0
2018.0,342,2.0,38.0,1.0
2018.0,343,1.0,16.0,1.0
2018.0,347,1.0,37.0,1.0
2018.0,351,1.0,35.0,1.0
2018.0,352,2.0,138.0,1.0
2018.0,354,2.0,13.0,1.0
2018.0,361,2.0,198.0,1.0
