año,codigo snies del programa,matriculados,semestre
2020,435,50.0,1.0
2020,436,43.0,1.0
2020,437,105.0,1.0
2020,438,71.0,1.0
2020,439,64.0,1.0
2020,440,70.0,1.0
2020,441,35.0,1.0
2020,442,35.0,1.0
2020,444,50.0,1.0
2020,445,56.0,1.0
2020,446,54.0,1.0
2020,448,38.0,1.0
2020,451,59.0,1.0
2020,452,82.0,1.0
2020,453,108.0,1.0
2020,454,103.0,1.0
2020,455,115.0,1.0
2020,456,33.0,1.0
2020,483,21.0,1.0
2020,504,16.0,1.0
2020,510,19.0,1.0
2020,511,12.0,1.0
2020,513,15.0,1.0
2020,515,9.0,1.0
2020,516,6.0,1.0
2020,517,11.0,1.0
2020,519,5.0,1.0
2020,521,8.0,1.0
2020,522,22.0,1.0
2020,523,18.0,1.0
2020,530,22.0,1.0
2020,531,106.0,1.0
2020,532,74.0,1.0
2020,535,92.0,1.0
2020,536,87.0,1.0
2020,537,63.0,1.0
2020,538,63.0,1.0
2020,539,47.0,1.0
2020,549,49.0,1.0
2020,551,15.0,1.0
2020,557,43.0,1.0
2020,559,55.0,1.0
2020,570,137.0,1.0
2020,573,66.0,1.0
2020,574,70.0,1.0
2020,575,64.0,1.0
2020,579,59.0,1.0
2020,580,95.0,1.0
2020,581,93.0,1.0
2020,582,52.0,1.0
2020,583,39.0,1.0
2020,584,44.0,1.0
2020,585,46.0,1.0
2020,586,46.0,1.0
2020,587,48.0,1.0
2020,588,45.0,1.0
2020,589,44.0,1.0
2020,591,52.0,1.0
2020,592,80.0,1.0
2020,593,60.0,1.0
2020,594,43.0,1.0
2020,595,47.0,1.0
2020,596,57.0,1.0
2020,601,4.0,1.0
2020,602,2.0,1.0
2020,608,1.0,1.0
2020,609,1.0,1.0
2020,610,2.0,1.0
2020,611,8.0,1.0
2020,613,1.0,1.0
2020,614,1.0,1.0
2020,615,6.0,1.0
2020,616,2.0,1.0
2020,622,5.0,1.0
2020,626,13.0,1.0
2020,628,6.0,1.0
2020,642,7.0,1.0
2020,654,9.0,1.0
2020,659,8.0,1.0
2020,660,27.0,1.0
2020,662,6.0,1.0
2020,664,6.0,1.0
2020,670,8.0,1.0
2020,672,2.0,1.0
2020,673,3.0,1.0
2020,674,1.0,1.0
2020,676,7.0,1.0
2020,677,4.0,1.0
2020,678,2.0,1.0
2020,679,3.0,1.0
2020,680,4.0,1.0
2020,683,80.0,1.0
2020,684,43.0,1.0
2020,685,40.0,1.0
2020,687,45.0,1.0
2020,689,50.0,1.0
2020,690,1.0,1.0
2020,691,110.0,1.0
2020,692,35.0,1.0
2020,693,47.0,1.0
2020,694,70.0,1.0
2020,696,139.0,1.0
2020,697,62.0,1.0
2020,698,99.0,1.0
2020,699,83.0,1.0
2020,700,134.0,1.0
2020,701,126.0,1.0
2020,702,58.0,1.0
2020,703,101.0,1.0
2020,704,49.0,1.0
2020,705,45.0,1.0
2020,706,53.0,1.0
2020,707,47.0,1.0
2020,709,3.0,1.0
2020,710,4.0,1.0
2020,711,5.0,1.0
2020,712,1.0,1.0
2020,713,1.0,1.0
2020,714,4.0,1.0
2020,716,3.0,1.0
2020,717,17.0,1.0
2020,728,6.0,1.0
2020,731,1.0,1.0
2020,732,8.0,1.0
2020,733,1.0,1.0
2020,736,48.0,1.0
2020,737,104.0,1.0
2020,738,39.0,1.0
2020,739,38.0,1.0
2020,740,110.0,1.0
2020,741,43.0,1.0
2020,742,92.0,1.0
2020,744,24.0,1.0
2020,745,26.0,1.0
2020,746,27.0,1.0
2020,747,45.0,1.0
2020,748,45.0,1.0
2020,750,1.0,1.0
2020,761,4.0,1.0
2020,766,25.0,1.0
2020,770,16.0,1.0
2020,774,4.0,1.0
2020,777,59.0,1.0
2020,783,58.0,1.0
2020,788,2.0,1.0
2020,789,114.0,1.0
2020,791,66.0,1.0
2020,794,37.0,1.0
2020,799,42.0,1.0
2020,801,52.0,1.0
2020,803,42.0,1.0
2020,805,43.0,1.0
2020,807,46.0,1.0
2020,808,42.0,1.0
2020,809,23.0,1.0
2020,810,46.0,1.0
2020,811,45.0,1.0
2020,818,38.0,1.0
2020,831,51.0,1.0
2020,834,133.0,1.0
2020,835,78.0,1.0
2020,839,62.0,1.0
2020,842,62.0,1.0
2020,852,38.0,1.0
2020,855,103.0,1.0
2020,856,63.0,1.0
2020,857,55.0,1.0
2020,870,51.0,1.0
2020,873,37.0,1.0
2020,882,59.0,1.0
2020,884,58.0,1.0
2020,885,57.0,1.0
2020,889,43.0,1.0
2020,895,15.0,1.0
2020,898,39.0,1.0
2020,902,37.0,1.0
2020,906,33.0,1.0
2020,907,34.0,1.0
2020,908,36.0,1.0
2020,913,81.0,1.0
2020,915,77.0,1.0
2020,916,63.0,1.0
2020,917,124.0,1.0
2020,918,124.0,1.0
2020,919,115.0,1.0
2020,920,126.0,1.0
2020,921,69.0,1.0
2020,923,9.0,1.0
2020,925,86.0,1.0
2020,926,51.0,1.0
2020,933,3.0,1.0
2020,936,9.0,1.0
2020,937,2.0,1.0
2020,943,30.0,1.0
2020,944,52.0,1.0
2020,946,51.0,1.0
2020,947,38.0,1.0
2020,949,180.0,1.0
2020,950,105.0,1.0
2020,951,124.0,1.0
2020,952,76.0,1.0
2020,953,230.0,1.0
2020,954,63.0,1.0
2020,955,20.0,1.0
2020,956,16.0,1.0
2020,957,35.0,1.0
2020,958,36.0,1.0
2020,959,65.0,1.0
2020,960,41.0,1.0
2020,961,118.0,1.0
2020,962,128.0,1.0
2020,964,31.0,1.0
2020,965,18.0,1.0
2020,967,6.0,1.0
2020,969,2.0,1.0
2020,971,8.0,1.0
2020,973,8.0,1.0
2020,974,1.0,1.0
2020,975,1.0,1.0
2020,976,1.0,1.0
2020,977,2.0,1.0
2020,978,5.0,1.0
2020,979,2.0,1.0
2020,980,8.0,1.0
2020,981,6.0,1.0
2020,982,2.0,1.0
2020,983,1.0,1.0
2020,985,12.0,1.0
2020,986,3.0,1.0
2020,988,2.0,1.0
2020,990,4.0,1.0
2020,991,12.0,1.0
2020,995,2.0,1.0
2020,998,11.0,1.0
2020,999,10.0,1.0
2020,1001,40.0,1.0
2020,1003,59.0,1.0
2020,1005,30.0,1.0
2020,1006,22.0,1.0
2020,1007,7.0,1.0
2020,1008,30.0,1.0
2020,1009,22.0,1.0
2020,1010,12.0,1.0
2020,1012,36.0,1.0
2020,1019,3.0,1.0
2020,1020,7.0,1.0
2020,1021,7.0,1.0
2020,1026,13.0,1.0
2020,1027,26.0,1.0
2020,1028,14.0,1.0
2020,1029,6.0,1.0
2020,1030,13.0,1.0
2020,1033,9.0,1.0
2020,1036,14.0,1.0
2020,1037,5.0,1.0
2020,1038,2.0,1.0
2020,1039,42.0,1.0
2020,1040,75.0,1.0
2020,1041,14.0,1.0
2020,1042,26.0,1.0
2020,1043,20.0,1.0
2020,1044,36.0,1.0
2020,1046,33.0,1.0
2020,1047,24.0,1.0
2020,1053,4.0,1.0
2020,1054,10.0,1.0
2020,1056,9.0,1.0
2020,1063,27.0,1.0
2020,1079,37.0,1.0
2020,1080,106.0,1.0
2020,1081,40.0,1.0
2020,1082,6.0,1.0
2020,1083,38.0,1.0
2020,1084,68.0,1.0
2020,1085,29.0,1.0
2020,1086,65.0,1.0
2020,1087,49.0,1.0
2020,1088,14.0,1.0
2020,1091,7.0,1.0
2020,1092,3.0,1.0
2020,1094,3.0,1.0
2020,1096,20.0,1.0
2020,1097,101.0,1.0
2020,1098,166.0,1.0
2020,1099,13.0,1.0
2020,1101,23.0,1.0
2020,1102,22.0,1.0
2020,1103,110.0,1.0
2020,1104,18.0,1.0
2020,1110,100.0,1.0
2020,1111,30.0,1.0
2020,1112,312.0,1.0
2020,1113,42.0,1.0
2020,1114,124.0,1.0
2020,1115,108.0,1.0
2020,1116,63.0,1.0
2020,1117,30.0,1.0
2020,1120,33.0,1.0
2020,1125,19.0,1.0
2020,1126,36.0,1.0
2020,1136,30.0,1.0
2020,1138,23.0,1.0
2020,1143,69.0,1.0
2020,1144,57.0,1.0
2020,1146,61.0,1.0
2020,1147,58.0,1.0
2020,1148,18.0,1.0
2020,1149,11.0,1.0
2020,1151,42.0,1.0
2020,1152,36.0,1.0
2020,1155,16.0,1.0
2020,1156,18.0,1.0
2020,1158,34.0,1.0
2020,1166,33.0,1.0
2020,1169,56.0,1.0
2020,1170,85.0,1.0
2020,1172,35.0,1.0
2020,1173,41.0,1.0
2020,1175,93.0,1.0
2020,1176,50.0,1.0
2020,1178,53.0,1.0
2020,1179,28.0,1.0
2020,1180,41.0,1.0
