codigo snies del programa,año,semestre,graduados
341.0,2009.0,2,9.0
342.0,2009.0,2,8.0
343.0,2009.0,2,4.0
344.0,2009.0,2,1.0
347.0,2009.0,2,44.0
351.0,2009.0,2,3.0
352.0,2009.0,2,29.0
354.0,2009.0,2,1.0
356.0,2009.0,2,5.0
357.0,2009.0,2,6.0
360.0,2009.0,2,2.0
361.0,2009.0,2,68.0
362.0,2009.0,2,10.0
363.0,2009.0,2,97.0
364.0,2009.0,2,43.0
365.0,2009.0,2,18.0
366.0,2009.0,2,2.0
368.0,2009.0,2,1.0
370.0,2009.0,2,2.0
372.0,2009.0,2,1.0
375.0,2009.0,2,1.0
380.0,2009.0,2,2.0
381.0,2009.0,2,8.0
382.0,2009.0,2,1.0
385.0,2009.0,2,1.0
386.0,2009.0,2,1.0
387.0,2009.0,2,1.0
389.0,2009.0,2,1.0
393.0,2009.0,2,9.0
395.0,2009.0,2,4.0
400.0,2009.0,2,8.0
401.0,2009.0,2,54.0
402.0,2009.0,2,1.0
403.0,2009.0,2,40.0
404.0,2009.0,2,39.0
405.0,2009.0,2,29.0
406.0,2009.0,2,9.0
407.0,2009.0,2,2.0
408.0,2009.0,2,15.0
409.0,2009.0,2,8.0
412.0,2009.0,2,45.0
413.0,2009.0,2,67.0
417.0,2009.0,2,7.0
420.0,2009.0,2,5.0
421.0,2009.0,2,2.0
425.0,2009.0,2,2.0
426.0,2009.0,2,36.0
427.0,2009.0,2,150.0
428.0,2009.0,2,108.0
429.0,2009.0,2,55.0
430.0,2009.0,2,53.0
431.0,2009.0,2,33.0
432.0,2009.0,2,42.0
433.0,2009.0,2,8.0
434.0,2009.0,2,61.0
435.0,2009.0,2,43.0
436.0,2009.0,2,39.0
437.0,2009.0,2,72.0
438.0,2009.0,2,29.0
439.0,2009.0,2,34.0
440.0,2009.0,2,55.0
441.0,2009.0,2,17.0
442.0,2009.0,2,7.0
444.0,2009.0,2,48.0
445.0,2009.0,2,30.0
446.0,2009.0,2,35.0
447.0,2009.0,2,60.0
448.0,2009.0,2,36.0
450.0,2009.0,2,58.0
451.0,2009.0,2,32.0
452.0,2009.0,2,25.0
453.0,2009.0,2,5.0
454.0,2009.0,2,3.0
455.0,2009.0,2,19.0
456.0,2009.0,2,69.0
458.0,2009.0,2,6.0
460.0,2009.0,2,2.0
462.0,2009.0,2,6.0
463.0,2009.0,2,2.0
464.0,2009.0,2,8.0
465.0,2009.0,2,2.0
466.0,2009.0,2,1.0
467.0,2009.0,2,2.0
468.0,2009.0,2,3.0
469.0,2009.0,2,3.0
470.0,2009.0,2,2.0
471.0,2009.0,2,2.0
472.0,2009.0,2,8.0
473.0,2009.0,2,5.0
474.0,2009.0,2,4.0
476.0,2009.0,2,1.0
477.0,2009.0,2,1.0
479.0,2009.0,2,3.0
481.0,2009.0,2,6.0
482.0,2009.0,2,3.0
483.0,2009.0,2,1.0
484.0,2009.0,2,6.0
486.0,2009.0,2,6.0
490.0,2009.0,2,1.0
494.0,2009.0,2,1.0
503.0,2009.0,2,1.0
504.0,2009.0,2,2.0
507.0,2009.0,2,3.0
510.0,2009.0,2,3.0
511.0,2009.0,2,2.0
512.0,2009.0,2,1.0
513.0,2009.0,2,9.0
516.0,2009.0,2,7.0
517.0,2009.0,2,1.0
519.0,2009.0,2,3.0
521.0,2009.0,2,1.0
522.0,2009.0,2,1.0
523.0,2009.0,2,12.0
527.0,2009.0,2,1.0
530.0,2009.0,2,34.0
531.0,2009.0,2,31.0
532.0,2009.0,2,21.0
535.0,2009.0,2,43.0
536.0,2009.0,2,12.0
537.0,2009.0,2,33.0
538.0,2009.0,2,51.0
539.0,2009.0,2,9.0
540.0,2009.0,2,29.0
549.0,2009.0,2,30.0
551.0,2009.0,2,10.0
552.0,2009.0,2,1.0
553.0,2009.0,2,4.0
554.0,2009.0,2,3.0
555.0,2009.0,2,9.0
557.0,2009.0,2,12.0
558.0,2009.0,2,2.0
559.0,2009.0,2,16.0
565.0,2009.0,2,18.0
566.0,2009.0,2,15.0
567.0,2009.0,2,1.0
568.0,2009.0,2,26.0
569.0,2009.0,2,22.0
570.0,2009.0,2,84.0
571.0,2009.0,2,31.0
572.0,2009.0,2,20.0
573.0,2009.0,2,34.0
574.0,2009.0,2,10.0
575.0,2009.0,2,14.0
576.0,2009.0,2,13.0
577.0,2009.0,2,15.0
578.0,2009.0,2,5.0
579.0,2009.0,2,27.0
580.0,2009.0,2,127.0
