año,codigo snies del programa,matriculados,semestre
2018,663,2,1
2018,664,8,1
2018,670,4,1
2018,672,3,1
2018,673,4,1
2018,674,8,1
2018,676,6,1
2018,678,1,1
2018,679,2,1
2018,680,2,1
2018,683,55,1
2018,684,13,1
2018,685,18,1
2018,687,4,1
2018,689,49,1
2018,690,1,1
2018,691,1,1
2018,693,26,1
2018,694,21,1
2018,695,1,1
2018,696,70,1
2018,697,61,1
2018,698,14,1
2018,699,16,1
2018,700,37,1
2018,701,52,1
2018,702,16,1
2018,703,71,1
2018,704,4,1
2018,706,24,1
2018,707,11,1
2018,709,2,1
2018,710,2,1
2018,711,5,1
2018,712,1,1
2018,713,1,1
2018,714,3,1
2018,715,1,1
2018,716,3,1
2018,721,1,1
2018,726,1,1
2018,728,8,1
2018,731,3,1
2018,732,7,1
2018,736,16,1
2018,737,78,1
2018,738,27,1
2018,739,26,1
2018,740,54,1
2018,741,14,1
2018,742,58,1
2018,744,7,1
2018,745,8,1
2018,746,12,1
2018,747,28,1
2018,748,9,1
2018,750,11,1
2018,751,1,1
2018,753,2,1
2018,754,1,1
2018,755,1,1
2018,760,3,1
2018,761,4,1
2018,767,11,1
2018,770,14,1
2018,772,8,1
2018,773,3,1
2018,774,1,1
2018,775,3,1
2018,777,6,1
2018,779,15,1
2018,783,12,1
2018,786,34,1
2018,788,13,1
2018,789,26,1
2018,790,12,1
2018,791,34,1
2018,794,37,1
2018,799,6,1
2018,800,12,1
2018,801,42,1
2018,803,6,1
2018,805,10,1
2018,808,14,1
2018,809,21,1
2018,810,21,1
2018,811,11,1
2018,817,2,1
2018,818,2,1
2018,819,11,1
2018,827,77,1
2018,834,29,1
2018,835,17,1
2018,842,29,1
2018,843,47,1
2018,847,3,1
2018,850,7,1
2018,852,37,1
2018,854,148,1
2018,855,116,1
2018,856,39,1
2018,857,12,1
2018,866,37,1
2018,870,10,1
2018,873,10,1
2018,882,8,1
2018,884,2,1
2018,885,6,1
2018,889,30,1
2018,895,9,1
2018,898,29,1
2018,902,19,1
2018,906,34,1
2018,907,14,1
2018,908,39,1
2018,911,1,1
2018,912,1,1
2018,913,23,1
2018,915,55,1
2018,916,40,1
2018,917,108,1
2018,918,37,1
2018,919,46,1
2018,920,56,1
2018,921,25,1
2018,923,1,1
2018,925,86,1
2018,926,38,1
2018,933,5,1
2018,935,34,1
2018,936,19,1
2018,937,11,1
2018,943,17,1
2018,944,18,1
2018,946,15,1
2018,947,49,1
2018,948,13,1
2018,949,144,1
2018,950,88,1
2018,951,91,1
2018,952,38,1
2018,953,206,1
2018,954,63,1
2018,955,10,1
2018,956,12,1
2018,957,19,1
2018,958,18,1
2018,959,64,1
2018,960,32,1
2018,961,113,1
2018,962,89,1
2018,964,20,1
2018,965,2,1
2018,967,6,1
2018,969,2,1
2018,971,5,1
2018,973,8,1
2018,974,1,1
2018,975,1,1
2018,977,2,1
2018,978,6,1
2018,979,1,1
2018,980,8,1
2018,981,5,1
2018,982,2,1
2018,983,1,1
2018,985,10,1
2018,986,2,1
2018,988,2,1
2018,990,6,1
2018,991,6,1
2018,992,5,1
2018,994,6,1
2018,995,2,1
2018,998,11,1
2018,999,9,1
2018,1001,27,1
2018,1002,2,1
2018,1003,52,1
2018,1005,16,1
2018,1006,17,1
2018,1007,8,1
2018,1008,39,1
2018,1009,18,1
2018,1010,19,1
2018,1012,84,1
2018,1018,1,1
2018,1019,6,1
2018,1020,7,1
2018,1021,3,1
2018,1025,9,1
2018,1026,8,1
2018,1027,8,1
2018,1028,9,1
2018,1029,3,1
2018,1030,7,1
2018,1033,6,1
2018,1036,2,1
2018,1037,2,1
2018,1039,39,1
2018,1040,70,1
2018,1041,20,1
2018,1042,4,1
2018,1043,14,1
2018,1044,76,1
2018,1046,33,1
2018,1047,10,1
2018,1050,16,1
2018,1053,48,1
2018,1054,10,1
2018,1056,36,1
2018,1059,11,1
2018,1060,14,1
2018,1061,22,1
2018,1062,19,1
2018,1063,8,1
2018,1074,2,1
2018,1077,2,1
2018,1078,26,1
2018,1079,18,1
2018,1080,58,1
2018,1081,19,1
2018,1082,2,1
2018,1083,35,1
2018,1084,23,1
2018,1085,14,1
2018,1086,21,1
2018,1087,38,1
2018,1088,14,1
2018,1091,13,1
2018,1092,3,1
2018,1094,3,1
2018,1096,6,1
2018,1097,83,1
2018,1098,92,1
2018,1099,14,1
2018,1101,2,1
2018,1102,9,1
2018,1103,18,1
2018,1104,31,1
2018,1110,69,1
2018,1111,5,1
2018,1112,99,1
2018,1113,14,1
2018,1114,60,1
