año,codigo snies del programa,inscritos,semestre
2016,992,12,2
2016,995,5,2
2016,998,13,2
2016,1001,61,2
2016,1003,1,2
2016,1006,1,2
2016,1007,14,2
2016,1008,66,2
2016,1009,86,2
2016,1010,24,2
2016,1012,345,2
2016,1018,5,2
2016,1020,6,2
2016,1021,5,2
2016,1025,10,2
2016,1027,32,2
2016,1028,7,2
2016,1029,12,2
2016,1030,1,2
2016,1036,33,2
2016,1037,4,2
2016,1038,2,2
2016,1039,104,2
2016,1040,202,2
2016,1041,16,2
2016,1042,40,2
2016,1043,20,2
2016,1044,82,2
2016,1046,56,2
2016,1047,13,2
2016,1048,60,2
2016,1050,15,2
2016,1053,136,2
2016,1054,97,2
2016,1056,46,2
2016,1059,58,2
2016,1060,12,2
2016,1061,39,2
2016,1062,27,2
2016,1063,11,2
2016,1078,90,2
2016,1079,53,2
2016,1080,156,2
2016,1081,63,2
2016,1082,134,2
2016,1083,71,2
2016,1084,147,2
2016,1085,21,2
2016,1086,60,2
2016,1087,71,2
2016,1088,18,2
2016,1091,27,2
2016,1092,17,2
2016,1094,7,2
2016,1096,26,2
2016,1097,94,2
2016,1098,106,2
2016,1099,13,2
2016,1101,10,2
2016,1102,40,2
2016,1103,87,2
2016,1104,30,2
2016,1110,117,2
2016,1111,30,2
2016,1112,353,2
2016,1113,53,2
2016,1114,204,2
2016,1115,114,2
2016,1116,55,2
2016,1117,25,2
2016,1120,115,2
2016,1121,19,2
2016,1125,109,2
2016,1126,73,2
2016,1130,15,2
2016,1131,17,2
2016,1136,2,2
2016,1138,70,2
2016,1143,101,2
2016,1144,125,2
2016,1146,119,2
2016,1147,133,2
2016,1148,43,2
2016,1149,19,2
2016,1151,62,2
2016,1152,56,2
2016,1153,1,2
2016,1155,76,2
2016,1156,23,2
2016,1158,36,2
2016,1166,33,2
2016,1169,221,2
2016,1170,315,2
2016,1172,97,2
2016,1173,191,2
2016,1175,160,2
2016,1176,45,2
2016,1178,66,2
2016,1179,58,2
2016,1180,35,2
2016,1192,104,2
2016,1193,59,2
2016,1195,75,2
2016,1196,92,2
2016,1197,15,2
2016,1199,9,2
2016,1200,25,2
2016,1201,11,2
2016,1202,34,2
2016,1203,29,2
2016,1204,16,2
2016,1205,161,2
2016,1206,2,2
2016,1207,3,2
2016,1208,5,2
2016,1210,5,2
2016,1211,2,2
2016,1212,3,2
2016,1213,3,2
2016,1214,3,2
2016,1217,13,2
2016,1224,19,2
2016,1228,4,2
2016,1229,12,2
