año,codigo snies del programa,matriculados,semestre
2020,2973,48,2
2020,2977,169,2
2020,2978,9,2
2020,2980,57,2
2020,2989,603,2
2020,2990,200,2
2020,2992,412,2
2020,2993,410,2
2020,2995,175,2
2020,2998,683,2
2020,3003,166,2
2020,3006,57,2
2020,3015,19,2
2020,3020,1687,2
2020,3024,30,2
2020,3035,9,2
2020,3040,72,2
2020,3046,1,2
2020,3047,137,2
2020,3050,109,2
2020,3053,5,2
2020,3054,260,2
2020,3055,271,2
2020,3060,12,2
2020,3062,8,2
2020,3069,23,2
2020,3072,1,2
2020,3078,512,2
2020,3079,462,2
2020,3087,1307,2
2020,3093,35,2
2020,3094,5,2
2020,3095,12,2
2020,3096,20,2
2020,3098,98,2
2020,3100,54,2
2020,3101,261,2
2020,3102,195,2
2020,3103,264,2
2020,3104,610,2
2020,3109,201,2
2020,3127,381,2
2020,3128,2,2
2020,3134,291,2
2020,3136,266,2
2020,3137,181,2
2020,3139,106,2
2020,3140,651,2
2020,3141,172,2
2020,3143,11,2
2020,3147,806,2
2020,3149,278,2
2020,3151,1,2
2020,3152,112,2
2020,3165,64,2
2020,3167,58,2
2020,3173,9,2
2020,3174,35,2
2020,3175,40,2
2020,3177,633,2
2020,3182,321,2
2020,3190,59,2
2020,3193,425,2
2020,3194,36,2
2020,3203,420,2
2020,3204,352,2
2020,3205,394,2
2020,3207,22,2
2020,3208,24,2
2020,3209,31,2
2020,3227,9,2
2020,3229,21,2
2020,3232,10,2
2020,3233,17,2
2020,3237,447,2
2020,3239,3,2
2020,3251,438,2
2020,3252,159,2
2020,3254,238,2
2020,3255,731,2
2020,3256,2,2
2020,3264,21,2
2020,3267,260,2
2020,3268,10,2
2020,3269,354,2
2020,3271,523,2
2020,3273,1,2
2020,3274,172,2
2020,3275,268,2
2020,3283,14,2
2020,3290,150,2
2020,3295,41,2
2020,3298,75,2
2020,3302,35,2
2020,3306,104,2
2020,3308,2,2
2020,3312,78,2
2020,3314,521,2
2020,3315,330,2
2020,3317,55,2
2020,3318,268,2
2020,3319,242,2
2020,3325,38,2
2020,3329,24,2
2020,3345,200,2
2020,3347,522,2
2020,3348,722,2
2020,3425,22,2
2020,3426,163,2
2020,3431,217,2
2020,3435,262,2
2020,3436,225,2
2020,3437,439,2
